Tau,Variable,TO_Mean,TO_Std,FROM_Mean,FROM_Std,NET_Mean,NET_Std
0.05,dlog_SOLVPN,40.84348222047128,13.341273366512516,36.918003698349025,7.840427420261981,3.925478522122253,11.10839528705353
0.05,dlog_COPPER,19.725946629523914,7.3413264226029975,30.477997357540097,9.395848754123017,-10.752050728016183,10.162637977332142
0.05,dlog_DXY,36.89553686711009,13.987123548649944,32.88903893359063,8.660663842093804,4.006497933519458,12.703237789054237
0.05,d_UST10Y,24.032585117885098,9.786867518652816,22.965797582533444,9.866901712709366,1.066787535351655,7.7744890889633425
0.05,dlog_VIX,34.09483540375775,8.168187604292262,32.34154866673492,5.8372969844412985,1.7532867370228231,9.526932837332497
0.5,dlog_SOLVPN,40.588704751997774,9.594371644918064,36.429992331623374,7.813493510002261,4.158712420374396,4.422395520112453
0.5,dlog_COPPER,18.912220599406265,5.167246262991028,23.686759387664623,5.462910033599819,-4.774538788258359,3.6419199171623498
0.5,dlog_DXY,32.48100340315742,14.982696085947397,31.715301967876634,9.702800614885522,0.7657014352807884,6.714300331692565
0.5,d_UST10Y,18.108376464467735,10.162577203765794,20.61926526764404,9.456163214535508,-2.5108888031763024,2.9275411064634516
0.5,dlog_VIX,33.421126218065325,9.388392327911276,31.060112482285838,5.2453631485854695,2.361013735779481,5.2775091256607185
0.95,dlog_SOLVPN,37.130051050557014,10.359510692010028,34.8191128495647,6.566940292323353,2.3109382009923003,7.24643693546726
0.95,dlog_COPPER,26.375424111612887,11.46105312511792,27.120866151466466,7.039943789476947,-0.7454420398535792,12.2683150366481
0.95,dlog_DXY,33.530347062001546,12.588384522562635,33.686095489286416,9.36886954455022,-0.15574842728486626,7.622753716267937
0.95,d_UST10Y,25.44958354106211,10.4153184014601,25.072242965862923,8.552359171325893,0.3773405751991888,6.467717433251357
0.95,dlog_VIX,31.350545199778836,10.159241174340481,33.13763350883187,7.993214133805875,-1.787088309053039,10.250175029530444
