Date,Tau,Total_Spillover,dlog_SOLVPN_TO,dlog_SOLVPN_FROM,dlog_SOLVPN_NET,dlog_COPPER_TO,dlog_COPPER_FROM,dlog_COPPER_NET,dlog_DXY_TO,dlog_DXY_FROM,dlog_DXY_NET,d_UST10Y_TO,d_UST10Y_FROM,d_UST10Y_NET,dlog_VIX_TO,dlog_VIX_FROM,dlog_VIX_NET
2021-07-28,0.05,28.086110184326845,25.690522529907945,29.41177418816654,-3.721251658258595,36.705600055291484,30.43433857592761,6.271261479363872,25.877326289801296,31.634527730795583,-5.757201440994287,19.257120466002764,12.39284209423035,6.864278371772414,32.89998158063076,36.55706833251418,-3.657086751883419
2021-07-29,0.05,28.18557689759187,25.722923181897684,29.48464125883614,-3.7617180769384575,37.091805542023195,30.506243007622537,6.585562534400658,25.836398590916453,31.55996822391234,-5.723569632995886,19.537878172382307,12.823742235331249,6.714135937051058,32.73887900073973,36.553289762257066,-3.814410761517337
2021-07-30,0.05,28.322606603763596,25.656956228081828,29.469220228661275,-3.8122640005794466,37.58652628482297,30.8613020066938,6.725224278129172,26.344587742482016,31.971701904890494,-5.627114162408478,19.32476970503394,12.871429699734538,6.4533400052994025,32.70019305839722,36.43937917883785,-3.7391861204406283
2021-08-02,0.05,28.380757400249177,25.663630861198282,29.43535411692465,-3.771723255726368,37.64421598117512,31.039549458914994,6.604666522260128,26.554472830689246,32.10175695239751,-5.5472841217082625,19.460397397847917,12.9031082357416,6.557289162106317,32.58106993033524,36.42401823726708,-3.842948306931838
2021-08-03,0.05,28.41887318711283,25.412794512386483,29.370454722854554,-3.9576602104680703,37.8854235159445,31.00852603803672,6.876897477907782,27.03446508115266,32.282887194356725,-5.2484221132040645,19.07281914837696,12.776370788131175,6.296448360245787,32.68886367770354,36.656127192184975,-3.967263514481438
2021-08-04,0.05,28.37044906708483,25.574413991429303,29.372064891674498,-3.797650900245195,37.35237299846433,30.885250954725706,6.467122043738627,26.560651353481813,32.155783548886696,-5.595132195404883,19.571004645546708,12.936036540344343,6.634968105202365,32.79380234650201,36.50310939979289,-3.7093070532908783
2021-08-05,0.05,28.077418365925297,25.646523684907095,29.32053974680794,-3.6740160619008435,36.325447268973264,30.2404719615734,6.084975307399862,25.855590370694735,31.84495268261206,-5.989362311917326,20.7567391542961,12.667824045516983,8.088915108779116,31.80279135075519,36.313303393115994,-4.510512042360805
2021-08-06,0.05,28.086790310124492,25.18791309254288,29.258518048258118,-4.07060495571524,36.906596496850916,30.674955286327254,6.231641210523662,25.342414224352318,31.562579316938265,-6.2201650925859475,19.80688571144419,12.572224496707463,7.234661214736725,33.19014202543211,36.36567440239132,-3.175532376959211
2021-08-09,0.05,28.143839828238537,25.44342798350845,29.456453803481743,-4.0130258199732936,36.97282058847829,30.409308473156184,6.5635121153221085,25.282704713079298,31.549371885646583,-6.266667172567285,19.926875789362796,12.834524372908673,7.0923514164541235,33.093370066763924,36.46954060599955,-3.3761705392356234
2021-08-10,0.05,28.17662608451754,25.862405848856074,29.69047870744409,-3.8280728585880155,36.55880263517106,30.211290225612387,6.347512409558675,24.88134478801016,31.41464443024735,-6.533299642237189,20.65333901517694,13.11240902225883,7.540929992918109,32.92723813537339,36.45430803702499,-3.5270699016515934
2021-08-11,0.05,28.27681621153538,26.288212629668685,29.939223971135753,-3.6510113414670684,36.05744078535359,29.968395994567942,6.08904479078565,24.92525750453033,31.692654378141462,-6.767396873611133,21.667477670044597,13.287292316242649,8.380185353801949,32.44569246807967,36.496514397589074,-4.050821929509404
2021-08-12,0.05,27.288248739386507,23.866206585708973,26.56749460123009,-2.7012880155211185,33.61411588042251,30.476160119471807,3.137955760950703,25.199954431693673,31.3404224551874,-6.140468023493728,22.73461426561876,13.38124211017121,9.35337215544755,31.026352533488488,34.67592441087193,-3.6495718773834405
2021-08-13,0.05,27.60970231655471,24.125575406333745,26.6197904047073,-2.494214998373554,34.21867395794628,31.330317676850118,2.8883562810961614,25.617832427866695,31.962371040530392,-6.344538612663698,21.587698309692016,13.356572683463607,8.231125626228408,32.498731480934836,34.77945977722216,-2.2807282962873217
2021-08-16,0.05,27.899105786309804,23.962522200647207,26.471322339108905,-2.508800138461698,34.79190910884711,31.605506763939562,3.1864023449075454,26.77185713075311,32.67907745946067,-5.907220328707563,22.947686037308536,13.397999085073165,9.549686952235371,31.021554453993073,35.34162328396672,-4.320068829973646
2021-08-17,0.05,27.960431220459885,24.304187833816503,26.787679842547284,-2.4834920087307815,34.49012243531834,32.17354981656574,2.316572618752602,26.167006597943576,32.635388655498375,-6.468382057554798,22.712934360388083,13.333477733974908,9.379456626413175,32.127904874833014,34.87206005371319,-2.7441551788801775
2021-08-18,0.05,27.908426836775767,23.972744160057434,26.568824388046643,-2.5960802279892086,34.81875577928943,32.38649321790253,2.4322625613868993,26.078473238881205,31.963244148977942,-5.884770910096737,22.45225559466615,13.857391422472087,8.594864172194061,32.21990541098465,34.766181006479634,-2.5462755954949827
2021-08-19,0.05,28.810358753255684,20.43567093617621,25.183106937455356,-4.747436001279148,38.76869631091009,32.35635434580928,6.412341965100808,28.80088433339275,31.87898779016788,-3.0781034567751284,21.381123528389125,18.80478768839434,2.5763358399947833,34.66541865741027,35.828557004451554,-1.1631383470412828
2021-08-20,0.05,26.289864877489748,25.18070788045724,24.378974331050728,0.8017335494065136,29.98856303260855,33.453459000552414,-3.464895967943864,25.715320373919948,24.374093255093754,1.3412271188261933,15.458408632443065,18.825059913787733,-3.3666512813446676,35.10632446801997,30.417737886964126,4.688586581055844
2021-08-23,0.05,27.035077310567186,24.92467813046193,23.910769688158883,1.0139084423030482,28.00628374505958,34.659638494442156,-6.653354749382576,31.59918638896606,24.084726282874293,7.514460106091768,16.050010510903157,19.68145000884798,-3.6314394979448217,34.5952277774452,32.83880207851257,1.756425698932631
