Date,Tau,Equation,Intercept,L1_dlog_SOLVPN,L1_dlog_COPPER,L1_dlog_DXY,L1_d_UST10Y,L1_dlog_VIX
2021-07-28,0.05,dlog_SOLVPN,-0.017346749191095717,0.30001088178117374,-0.21337393892211853,-0.1831502601528232,0.01697729525185432,0.0054391953932879655
2021-07-28,0.05,dlog_COPPER,-0.024152445499260728,-0.31115572495222965,0.31607070315310937,0.3388962720091353,-0.1362104278940503,-0.08111959702284088
2021-07-28,0.05,dlog_DXY,-0.005539259396380019,0.0572170343351277,0.0058495129088972295,-0.0010388760656043772,0.029326331310102205,0.010068887432676032
2021-07-28,0.05,d_UST10Y,-0.06109521896619295,-1.268925351434772,0.20186624696263666,0.374453393955541,-0.21537635447697934,-0.11695987973966426
2021-07-28,0.05,dlog_VIX,-0.11935106864429101,-1.2743024530020852,2.4061871777032877,-2.263201000831799,-0.3070538228666857,-0.13296260922153103
2021-07-29,0.05,dlog_SOLVPN,-0.01734675295815369,0.300010111554168,-0.2133741024838578,-0.18315450514285558,0.016977390176232454,0.005439122479845404
2021-07-29,0.05,dlog_COPPER,-0.024138028304441308,-0.3133323888104713,0.31670740481700765,0.32729238554608386,-0.13554140146273252,-0.08166703449099455
2021-07-29,0.05,dlog_DXY,-0.005532116397427823,0.05572747381511922,0.005716036981027461,-0.002520021097605518,0.029426052646313663,0.009851511793039613
2021-07-29,0.05,d_UST10Y,-0.061095279720604606,-1.268926109690097,0.20186568470192512,0.374406426116785,-0.2153712312733882,-0.11696240129897228
2021-07-29,0.05,dlog_VIX,-0.11935128706518028,-1.2743212049527672,2.4061940321543602,-2.2632599249089935,-0.3070537121278356,-0.13296185019316464
2021-07-30,0.05,dlog_SOLVPN,-0.017346803113860804,0.3000147892836944,-0.2133762585977963,-0.18314472615659483,0.016978637739247127,0.005438855216872374
2021-07-30,0.05,dlog_COPPER,-0.024138297993427687,-0.31330379113352125,0.31671011212209177,0.32745855759654674,-0.1355504833383827,-0.08165950314171733
2021-07-30,0.05,dlog_DXY,-0.005541010583136348,0.057581344322556016,0.005878536666620582,-0.0006843040679262447,0.029302016550138164,0.010122058634307374
2021-07-30,0.05,d_UST10Y,-0.06109525215769157,-1.2689243002843331,0.20186604484321102,0.3744307698625349,-0.2153738476725211,-0.1169610582521492
2021-07-30,0.05,dlog_VIX,-0.11935101474175203,-1.2742928562877038,2.4061876540715588,-2.2631837755708375,-0.3070529529854724,-0.13296257133748046
2021-08-02,0.05,dlog_SOLVPN,-0.017346756527493123,0.30001225077297367,-0.21337530703998198,-0.18315332156401887,0.016977544612980733,0.0054391129113419145
2021-08-02,0.05,dlog_COPPER,-0.024152431817269504,-0.3111575291479385,0.3160690587786057,0.3388623540854869,-0.13620936973678643,-0.08112050220133693
2021-08-02,0.05,dlog_DXY,-0.00554105524124038,0.05759282592471704,0.005871986983773503,-0.000694033700690877,0.029300597267519983,0.010124268118979096
2021-08-02,0.05,d_UST10Y,-0.06109524022533512,-1.268923950041972,0.20186557038283265,0.37443221354335066,-0.21537453374583926,-0.1169606870463702
2021-08-02,0.05,dlog_VIX,-0.119351050733286,-1.2743016674591772,2.4061855373245535,-2.2632033035942243,-0.30705392490086236,-0.1329626260138932
2021-08-03,0.05,dlog_SOLVPN,-0.01734677351226535,0.3000131375457853,-0.21337604514029396,-0.18315053778662538,0.016977876311710105,0.005438885532762672
2021-08-03,0.05,dlog_COPPER,-0.024138254568921942,-0.31331046381366745,0.31670488851842354,0.32742127920792896,-0.13554950521403986,-0.08166088404470961
