Date,Magnitude,Top1_DeltaS,Top2_DeltaS,Top3_DeltaS,Peak,PeakHorizon,HalfLife,DurationAboveHalf,AUC
2020-10-22,1.5067612615427504,0.3655812891009371,0.1451802998648636,0.1417475939306694,2.53024326886556,9,2.0,9,15.027130019067274
2020-10-28,1.792369097903208,0.2103365645589121,0.1988770582413369,0.1552015111986223,2.604841999952389,6,2.0,8,14.900864039333085
2020-11-04,1.5630634914163894,0.1602122955532204,0.1481207375619889,0.1234025761594084,2.565466801382909,2,5.0,6,12.45282159255472
2020-11-09,2.874064226296976,0.2397894209826816,0.2394529457502797,0.2372329133211076,1.757554722270238,0,3.0,5,16.4016079433836
2021-02-01,1.5764218712410825,0.1624919059910055,0.1411084323393751,0.1065091821465065,1.0454493000150509,1,2.0,4,7.086117463739859
2021-06-17,1.9528410075981244,0.1545515849627982,0.132538546880095,0.1320639368876144,1.2906505123306706,0,1.0,1,7.723276659527108
2022-03-01,1.7542547162877469,0.1262059218825916,0.1075140983651408,0.1060555409148247,1.5166249054487926,1,3.0,14,10.692238681264962
2022-03-02,2.625763698988451,0.312901534613845,0.2002329771168973,0.1896652290495739,1.5851618342826654,20,2.0,20,22.530986188044917
2022-03-07,1.4272127059856172,0.1307234795285849,0.1302477476770463,0.1152528433865145,0.6437230916929829,0,1.0,7,5.514090987796811
2022-06-13,1.649687574720431,0.1518082264997071,0.1145129841605958,0.1109745090534166,1.4486003041320672,0,1.0,6,11.234768101881278
2022-07-28,1.4751367482057527,0.1696952512036493,0.1053718097629395,0.097160120405605,1.1771931169806722,0,1.0,4,7.332975543574385
2022-09-13,1.8388763211553063,0.1343593018324377,0.1326591267540141,0.1152427486854437,0.8550569555931528,16,7.0,18,12.153747725546928
2022-11-10,1.5326092762232646,0.1657159493832021,0.1028666782592045,0.0997640310358329,1.2515543106143865,1,2.0,6,9.607354048777392
2022-11-17,1.6776962550163554,0.263122120668646,0.1575099362755558,0.1550920553855497,1.1772698908509125,17,1.0,7,10.191636694942988
2022-12-15,1.6357617519257166,0.2601680928764853,0.1651347723831998,0.1488121595164473,0.9511700757481404,18,14.0,19,12.639942701321932
2022-12-20,1.8804423567765929,0.2298467117824159,0.2038003525334725,0.171115239605266,1.2818061117930313,0,1.0,2,6.960326568076154
2023-01-03,1.4849943735885918,0.1284731039366255,0.0930904598700095,0.0751893425216331,0.7530919638332109,0,2.0,8,6.989627591181081
2023-05-11,1.5331712696897026,0.1850270605785912,0.1171866434568157,0.103494466571864,1.1407737274601284,0,1.0,2,5.894038986592773
2023-10-02,1.9999223003802344,0.1880527294631595,0.1776402949202511,0.1151491729512993,1.590282111107551,0,2.0,5,8.827131535017376
2023-10-16,1.4928313749145314,0.1664506919997442,0.1047300375320592,0.0908326074706512,1.123189197807734,1,2.0,5,6.920108647937667
2024-02-15,1.9970310857880025,0.2413528738735064,0.1735192600648933,0.1379628850784403,1.464115364461052,0,2.0,2,6.693508244129576
2024-04-10,1.5383171426595226,0.286729253021482,0.2270227104866452,0.1452921842611768,1.2564449805942326,11,1.0,5,8.939168077583918
2024-04-30,1.5512542622136265,0.1245647599708004,0.0974306246471094,0.0837221115950732,1.1373080810511866,0,1.0,5,6.623462336506717
2024-08-05,2.3512050576100947,0.2573286036937157,0.256513993107169,0.2120646708224144,1.5560155247836978,0,2.0,2,10.545384591476491
2024-11-06,2.0281088874671847,0.0902292727082288,0.0899151015931346,0.0894144528482947,1.699720634768449,1,2.0,2,5.9336279872038125
2024-12-18,2.227944252296012,0.2973645880813089,0.2634677930050816,0.19082355074186,1.9499733265108257,0,2.0,6,13.577789503932252
2025-01-13,1.631532434468171,0.2168973354486224,0.2018716259732724,0.1811989979956015,1.3148693262986202,0,1.0,6,10.92391896259866
2025-02-03,1.550285049901912,0.1746117707447285,0.1392988833174903,0.0820406548448459,1.0512528233474816,0,1.0,6,7.246435877453471
2025-04-03,2.268956414103629,0.1739230507775401,0.1659636312321895,0.1547807061003195,2.145371355892221,1,5.0,6,17.495660493554222
2025-04-08,1.8161503712587928,0.1352919972636185,0.1235610773486913,0.0905542556680194,2.0368768300383984,16,2.0,20,30.70565098174797
2025-07-08,2.6226640301584108,0.323924105692048,0.2891410800471812,0.2178855532334089,2.6225738093676028,14,2.0,4,14.309732673466725
2025-07-09,2.0348951629841747,0.1769198218561031,0.1659337357475904,0.1503536660990461,2.3742555156937786,17,13.0,20,38.78378623528754
2025-07-31,2.8407847779301725,0.4136282316540856,0.4084618510961066,0.3579170811255974,2.515935387898531,0,2.0,2,11.13979329320403
2025-09-02,1.4298339323969202,0.3608711804565377,0.2813527607014836,0.0788976218120418,0.849805241740946,7,8.0,18,9.749374992318929
2025-11-13,1.586987412708092,0.2106920423822336,0.1558912018625014,0.1275313780909883,1.1460585842136632,2,3.0,8,8.327620964329032
2025-11-17,1.8905487502374383,0.1431531087356607,0.1266435029296898,0.1213033111468386,1.276343995037872,8,4.0,20,17.480517395859533
2025-11-24,1.4520681793532206,0.1400434565776618,0.1354697728055927,0.1133983567362249,0.8850446124446978,4,12.0,19,11.103696083979544
2025-12-29,1.5394538426361677,0.2678968059925544,0.2594694315997484,0.1100967122583852,1.1337787205345036,0,1.0,2,2.385120145331072
