Date,dlog_SOLVPN_const,dlog_SOLVPN_L1_dlog_SOLVPN,dlog_SOLVPN_L1_dlog_COPPER,dlog_SOLVPN_L1_dlog_DXY,dlog_SOLVPN_L1_d_UST10Y,dlog_SOLVPN_L1_dlog_VIX,dlog_COPPER_const,dlog_COPPER_L1_dlog_SOLVPN,dlog_COPPER_L1_dlog_COPPER,dlog_COPPER_L1_dlog_DXY,dlog_COPPER_L1_d_UST10Y,dlog_COPPER_L1_dlog_VIX,dlog_DXY_const,dlog_DXY_L1_dlog_SOLVPN,dlog_DXY_L1_dlog_COPPER,dlog_DXY_L1_dlog_DXY,dlog_DXY_L1_d_UST10Y,dlog_DXY_L1_dlog_VIX,d_UST10Y_const,d_UST10Y_L1_dlog_SOLVPN,d_UST10Y_L1_dlog_COPPER,d_UST10Y_L1_dlog_DXY,d_UST10Y_L1_d_UST10Y,d_UST10Y_L1_dlog_VIX,dlog_VIX_const,dlog_VIX_L1_dlog_SOLVPN,dlog_VIX_L1_dlog_COPPER,dlog_VIX_L1_dlog_DXY,dlog_VIX_L1_d_UST10Y,dlog_VIX_L1_dlog_VIX
2021-05-19,-0.003198352116200929,0.06926564165926927,-0.17140061493955921,-0.3993812346698302,-0.008492883268889632,-0.00241480614287578,-0.03047452174127421,-0.044421879519974644,-0.008734911090430859,-0.09972201007624713,-0.05664827086799401,-0.02504855829947037,0.004843829837453594,-0.01218869673939327,-0.01204743571967843,-0.059401003219532206,0.021487500300005413,0.003889734012834319,0.050412518178968184,-0.6431915453412923,0.6432846396767048,1.4120660573547519,-0.11106728089419006,-0.0822714198414521,0.03130184985036455,-0.04028816235358395,1.0965350389792863,-2.1735060265581887,0.028253084569688818,-0.06972082461910668
2021-05-20,0.001778233399322488,0.065827750237751,-0.18413723341581698,-0.3959009152665359,0.008932058465778159,-0.01671709271744597,-0.013001785211483229,-0.05649227815752307,-0.05345303724780154,-0.08750264726542144,0.004530506232712027,-0.07526372777892987,-0.000801969881408726,-0.008288503251198879,0.0024019084718781124,-0.06334933008890449,0.0017193820108871022,0.02011528570282753,0.007125428639342228,-0.6132882485273279,0.7540696634031256,1.381793715572024,-0.2626320456789058,0.04213202055832471,0.0016045057070432633,-0.019772842290514236,1.172539709436924,-2.1942745319372103,-0.07572874991453693,0.015626834959238223
2021-05-21,-0.0010829662545218145,0.06447392863166808,-0.18739749499597969,-0.3947367260189669,0.0226650471983552,0.01050734486634005,-0.017282635465130716,-0.05851782976766909,-0.058330953262381136,-0.08576081850871327,0.025077435986531157,-0.03453125376951477,0.0008786692343905728,-0.007493282426975679,0.004316952440234913,-0.06403316282494882,-0.0063472336864094855,0.0041239323390481995,0.003765381925309605,-0.6148781074638734,0.7502409787482138,1.3831608799537722,-0.24650472523737554,0.0741030093433542,-0.01237774922905082,-0.026388766072278372,1.1566072985298632,-2.188585313139949,-0.008617687170137195,0.14866859115993697
2021-05-24,0.0003508852467464414,0.06147436220424292,-0.19056798203146255,-0.3933366003077255,0.025646956443777007,0.002501801639411671,-0.01072273464426126,-0.07224090935583732,-0.07283599823267545,-0.07935521388761473,0.03871973359510415,-0.0711567826610233,0.00024530466448994333,-0.006168306236265486,0.005717428121173958,-0.06465162995220912,-0.007664410301309129,0.007660161466164604,0.00030659960313098467,-0.6076424576603882,0.7578889286937452,1.3797834520579364,-0.2536977818232795,0.09341423604168739,-0.024653779801294858,-0.0007077460126850219,1.18375166860031,-2.200572597751348,-0.03414753389978587,0.2172086689254989
2021-05-25,0.0016292841653341677,0.0627039607129929,-0.18142707858520798,-0.39368171542014874,0.028205878840462453,-0.015655678052163207,-0.010386372011109615,-0.07191738671661342,-0.07043091300625505,-0.07944601796001127,0.03939301785940148,-0.07593424108315866,-0.00014562420306658683,-0.006544312149275684,0.0029221793293214586,-0.06454609524147477,-0.008446917717543802,0.01321264032882641,-0.007015215577030768,-0.6146847766861392,0.7055359388405339,1.3817600409241373,-0.2683535802415114,0.19740815257763028,-0.01540297791056657,0.008189924381269118,1.249897443329995,-2.203069933667473,-0.01563055629498962,0.0858167809792523
2021-05-26,0.001891927350268477,0.06284103677599097,-0.1811649583155895,-0.3937678120895911,0.024010528130026586,-0.013238572457275066,-0.007625699385293265,-0.07047656450427203,-0.06767573680326949,-0.0803509899224969,-0.004704794405920733,-0.05052776708237997,0.0004157046492082413,-0.006251349097002687,0.003482390591379186,-0.06473010361258423,-0.017413346447717637,0.018378550534130154,-0.00384872078416029,-0.6130321518909475,0.708696129229865,1.3807220370043292,-0.31893382347981697,0.22654940854414513,-0.025482498119910785,0.002929323587260625,1.2398379911665625,-2.199765781230323,0.14537541948047755,-0.0069450574742662835
2021-05-27,0.0015916209874759898,0.06276570122410564,-0.18298538445826473,-0.3944408890833015,0.018999610480351068,-0.009299473157081245,-0.002811133858566778,-0.06926877141034193,-0.03849033803590425,-0.06956009871187664,0.07563113703774235,-0.11368011430777164,0.0005507547301385769,-0.006217470119932608,0.004301050228191043,-0.06442741571204265,-0.015159898242920375,0.01660710728418676,0.0027123568280244185,-0.6113862247175097,0.7484687038043021,1.3954273877456367,-0.20945555834393836,0.14048817430871557,-0.02702619997155377,0.00254206695420589,1.2304802300419042,-2.203225681952463,0.11961718118574066,0.013303580706326062
2021-05-28,0.002734783979776473,0.059526287672312016,-0.16145924854027732,-0.3955735599973421,0.035236305378719884,-0.011546372038968113,-0.002671639282957046,-0.06966406116488735,-0.03586360920141468,-0.06969831299061359,0.07761242131601902,-0.11395429236293772,0.0006372427055141087,-0.0064625535606892765,0.0059296473099236194,-0.06451310989107217,-0.013931482979297995,0.01643711425915288,-0.0027087826079817165,-0.5960241873934873,0.6463868614810198,1.4007987713553929,-0.28645366589010196,0.1511434808742322,-0.02876438068749826,0.0074675991876854055,1.197749714276913,-2.201503454454235,0.09492926690483414,0.0167199931807306
2021-06-01,0.00344416912864748,0.06011965512299365,-0.15871780363530766,-0.39466803932665484,0.0287047815520968,-0.007805371406042394,-0.002668918780836522,-0.06966178559228706,-0.03585309572127045,-0.0696948403059814,0.077587372829384,-0.1139399455723812,0.00029381709324284203,-0.0067498129999043425,0.004602466445627928,-0.0649514880996518,-0.010769459397619831,0.01462603118966036,-0.00021886521098204862,-0.5939414881142355,0.6560092385108514,1.4039771176668083,-0.30937908916786483,0.16427426402205125,-0.017647293354395868,0.016766522037066304,1.240712105688603,-2.187312640911012,-0.007429121784821732,0.07534686296453683
2021-06-02,0.004561826423905855,0.06383716779713064,-0.15737993068999412,-0.396396635636818,0.04158789959925342,0.0076278583464941645,-0.003284203832915669,-0.07170832525074515,-0.03658961238726888,-0.06874322528478057,0.07049504677182081,-0.12243614168931675,0.0002779556270221884,-0.006802570855067847,0.0045834797431569246,-0.06492695636519338,-0.010952292849867309,0.014407007296169954,-0.0013875805779738155,-0.5978288283639551,0.6546102473559562,1.405784681648705,-0.32285074823577276,0.14813599619109302,-0.018748638547368933,0.01310326610803779,1.2393937588721138,-2.185609273300148,-0.02012421194522763,0.06013887973737448
