Date,TCI,TO_dlog_SOLVPN,FROM_dlog_SOLVPN,NET_dlog_SOLVPN,TO_dlog_COPPER,FROM_dlog_COPPER,NET_dlog_COPPER,TO_dlog_DXY,FROM_dlog_DXY,NET_dlog_DXY,TO_d_UST10Y,FROM_d_UST10Y,NET_d_UST10Y,TO_dlog_VIX,FROM_dlog_VIX,NET_dlog_VIX
2021-05-19,25.398027184639407,27.70859560005883,27.107181704475646,0.6014138955831818,29.961027286052477,27.63809943374891,2.322927852303568,27.815431254862467,30.420684566818657,-2.60525331195619,12.799839809114877,12.017107467797883,0.7827323413169935,28.705241973108485,29.80706275035605,-1.101820777247564
2021-05-20,28.892543676966387,31.156650689080333,28.160234736822588,2.9964159522577454,28.873926035749875,35.68424280578404,-6.810316770034163,28.804245406216268,37.76551544535831,-8.961270039142043,7.087389251409226,12.607812128306117,-5.520422876896891,48.54050700237622,30.244913268560893,18.29559373381533
2021-05-21,24.658603480017895,28.613639967568172,28.210010810047446,0.4036291575207258,29.67958547259666,26.12919534196305,3.550390130633609,28.15516885341416,26.037886432957812,2.1172824204563483,7.289913917577828,14.892808202158147,-7.6028942845803185,29.554709188932648,28.023116612962983,1.5315925759696647
2021-05-24,26.094200502177756,29.15364893147635,28.077606560996347,1.0760423704800033,28.737164568294293,31.964430016398648,-3.2272654481043546,26.373162430291163,25.94872451543995,0.4244379148512145,7.496270624042889,16.84245986631935,-9.34618924227646,38.71075595678406,27.637781551734484,11.072974405049578
2021-05-25,29.37722778773243,31.24606467936323,27.77176990028559,3.4742947790776384,27.954388116209252,32.97807925846803,-5.023691142258777,27.76941102416902,27.734498867621348,0.03491215654767288,7.377900895376732,29.599566930006883,-22.22166603463015,52.53837422354388,28.802223982280275,23.73615024126361
2021-05-26,29.15875128886635,30.764445301928422,26.901530309667056,3.8629149922613664,27.321527746080854,26.250460418865785,1.0710673272150686,26.472108364574996,30.325369614136832,-3.853261249561836,8.173374090160056,32.93502775886073,-24.76165366870067,53.06230094158737,29.381368342801295,23.68093259878607
2021-05-27,29.65643164920081,30.438671024875863,27.236616546028504,3.2020544788473586,26.74099509522463,40.90524325699645,-14.16424816177182,22.935134518338362,26.60179891495178,-3.6666643966134167,9.253954138092036,24.604313387108732,-15.350359249016696,58.913403469473266,28.934186140918673,29.979217328554594
2021-05-28,29.34046903670997,29.784684983488695,27.27719094275801,2.507494040730684,24.928119088691282,40.67820192536935,-15.750082836678068,22.820237405270817,25.353233922537598,-2.532996517266781,9.751235438619222,24.86046229799015,-15.109226859370928,59.418068267479875,28.533256094894778,30.884812172585097
2021-06-01,28.49682969596164,28.886795721606028,26.22089815163503,2.6658975699709977,24.394650830871424,40.01449518098613,-15.619844350114708,22.246391404109588,22.80015794009751,-0.553766535987922,8.771333748300103,25.9415366808345,-17.170202932534394,58.18497677492104,27.50706052625501,30.67791624866603
2021-06-02,28.677761271196736,28.559854763599535,27.141583558117567,1.4182712054819682,24.384632691382468,41.718929109131764,-17.334296417749297,21.354956716248285,21.8487395682058,-0.4937828519575156,8.906767402073301,25.21116943165773,-16.30440202958443,60.18259478268006,27.468384688870827,32.714210093809236
2021-06-03,27.55374720605905,26.619981957818172,27.284327860249448,-0.6643459024312754,24.672008397062573,39.05664743058787,-14.3846390335253,22.32125607772688,21.08190553004874,1.2393505476781392,11.136790729144009,22.009708027728713,-10.872917298584705,53.01869886854359,28.33614718168046,24.68255168686313
2021-06-04,26.390049881380072,23.84639646009483,26.81582089517609,-2.969424435081258,24.831783334314316,37.29351265810232,-12.461729323788006,21.86919056903812,21.064426551471062,0.8047640175670594,17.700433630250277,16.98868682088478,0.7117468093654971,43.70244541320283,29.787802481266112,13.914642931936719
2021-06-07,25.75479393800581,24.08803927977109,24.97845935614261,-0.8904200763715231,23.670561256209808,37.47413264938791,-13.803571393178103,22.433002389215282,20.82881384060572,1.6041885486095637,13.119866240525969,16.54742531747482,-3.4275590769488495,45.46250052430689,28.945138526417956,16.517361997888933
2021-06-08,25.509778927918553,23.91258557564131,24.881766772730064,-0.9691811970887549,23.159700215599077,37.480484613374365,-14.320784397775288,22.075859560450684,20.045163545450563,2.030696015000121,13.798573872596453,16.404601743447923,-2.60602787085147,44.602175415305325,28.736877964589947,15.865297450715378
2021-06-09,23.32976746773813,22.514087162903706,24.627136520277748,-2.1130493573740416,22.888188502833174,34.45058948209188,-11.562400979258705,20.905971371215237,18.789377672038597,2.11659369917664,12.843102894213931,10.555942035116583,2.287160859097348,37.49748740752463,28.225791629165897,9.271695778358733
2021-06-10,23.379005004676774,22.458943364334715,24.786537092066663,-2.327593727731948,24.97195135765041,33.39736959723594,-8.425418239585525,20.442127203308026,17.362658910263285,3.079468293044741,12.426335651913078,12.164693401855608,0.26164225005747,36.595667446177686,29.18376602196242,7.411901424215266
2021-06-11,24.03690359570272,22.42109330258727,25.145859977428053,-2.724766674840783,24.39604016632314,35.637026550545755,-11.240986384222616,19.557929256736063,16.311255722309593,3.2466735344264706,11.927335336308209,14.24488872599431,-2.3175533896861005,41.88211991655892,28.845487002235927,13.036632914322993
2021-06-14,23.90807885562732,21.444724980623487,24.16860275157774,-2.723877770954253,25.303208947024693,34.793002801603514,-9.48979385457882,19.28795799715427,15.813064129789034,3.4748938673652354,11.576802098317662,15.82962411245653,-4.252822014138868,41.92770025501661,28.936100482709882,12.991599772306728
2021-06-15,24.979405319108732,22.97869972166826,24.78239102337101,-1.8036913017027487,25.92464333322031,39.49680632744109,-13.572162994220783,18.54035000082129,14.828148903460992,3.7122010973602997,8.973032690849935,16.61750874878306,-7.644476057933124,48.4803008489839,29.17217159248756,19.30812925649634
2021-06-16,23.595158427744824,26.354126260999365,25.66222143366864,0.691904827330724,15.841413003160632,34.63222054820465,-18.790807545044018,19.949709050730213,16.079555609657092,3.8701534410731213,12.080148142651549,14.691154249805361,-2.6110061071538126,43.75039568118236,26.9106402973884,16.83975538379396
2021-06-17,24.949928480214474,26.86089355707022,24.919142115161264,1.9417514419089557,16.006028841894484,44.47810644302494,-28.472077601130458,18.301669373246664,15.918638301952214,2.3830310712944502,14.91252196150935,12.503181853846257,2.409340107663093,48.66852866735165,26.930573687087666,21.737954980263986
2021-06-18,24.083399878174827,27.47412278725143,24.63476529831823,2.839357488933203,14.778393737000805,44.37072048984956,-29.592326752848756,17.466912151975535,15.780787568122111,1.6861245838534238,11.841552190930338,11.66484794795365,0.17670424297668852,48.856018523715996,23.965878086630543,24.890140437085453
2021-06-21,22.001615114879822,25.40059640384452,24.153485733149026,1.2471106706954949,16.286834829408072,33.154938793118525,-16.868103963710453,19.554089877796667,14.43242279692859,5.121667080868077,13.915517199182737,13.455038491266391,0.46047870791634615,34.85103726416714,24.812189759936576,10.038847504230564
2021-06-22,21.80190256018877,24.599559468194943,22.893847057439622,1.7057124107553214,16.01626133719082,35.053815494050355,-19.037554156859535,18.786889792942183,14.183180079942915,4.603709712999269,12.860910089417798,13.049940285653062,-0.1890301962352634,36.74589211319814,23.828729883857914,12.917162229340224
