,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
dlog_SOLVPN,1325.0,0.00037298283849056604,0.012396525587046873,-0.054526341,-0.006622422,0.000660336,0.007733886,0.071345523,-0.06833196763601547,1.72373565912218
dlog_COPPER,1325.0,0.0005111505894339623,0.01714703323101028,-0.249053674,-0.008701271,0.000534974,0.010271087,0.123294635,-2.214270017911994,36.283798942335615
dlog_DXY,1325.0,4.348511094339625e-05,0.004450241676452129,-0.021670748,-0.00250773,7.71e-05,0.002750341,0.016575779,-0.2663487821263429,1.4533632547637851
d_UST10Y,1325.0,0.0025833962264150945,0.061157923174407935,-0.288,-0.035,0.004,0.041,0.241,-0.16926850432371215,0.93972506996238
dlog_VIX,1325.0,-0.0003816253162264148,0.07642058121279958,-0.442448692,-0.04155567,-0.007104826,0.03447865,0.554109613,1.0612936147608973,7.481613071806075
