Date,SOLVPN,COPPER,GOLD,SILVER,DXY,UST10Y,VIX,OIL,GAS,PJM_LMP
2023-03-22,830.66,4.0445,1949.6,22.786,101.972,3.451,22.26,70.71,2.03,26.079538083333333
2023-03-23,839.13,4.1235,1995.9,23.256,102.207,3.414,22.61,69.77,2.08,24.737442416666667
2023-03-27,846.79,4.0785,1953.8,23.145,102.518,3.539,20.6,72.87,2.04,31.072581541666665
2023-03-28,842.74,4.0855,1973.5,23.42,102.106,3.572,19.97,73.12,2.02,28.580644916666667
2023-03-29,857.24,4.0865,1966.9,23.466,102.298,3.566,19.12,72.95,1.94,23.695844458333337
2023-03-30,865.87,4.0955,1988.5,24.076,101.821,3.547,19.02,74.32,1.95,27.365771541666664
2023-04-03,870.54,4.0495,1991.3,24.118,101.787,3.415,18.55,80.4,2.09,30.96369195833333
2023-04-04,868.37,3.975,2029.4,25.201,101.267,3.339,19.0,80.7,2.13,28.965306333333334
2023-04-05,864.02,3.989,2026.8,25.143,101.545,3.309,19.08,80.69,2.17,34.80375525
2023-04-10,869.82,3.9795,1994.8,25.02,102.249,3.415,18.97,79.79,2.15,35.83489708333334
2023-04-11,873.81,4.0225,2010.0,25.296,101.884,3.432,19.1,81.54,2.19,28.345575041666667
2023-04-12,872.41,4.0805,2015.7,25.563,101.171,3.4,19.09,83.26,2.22,26.842593833333336
2023-04-13,878.31,4.119,2045.8,26.035,100.7,3.449,17.8,82.16,2.04,33.58763533333333
2023-04-17,879.19,4.0675,1997.6,25.197,101.796,3.606,16.95,80.93,2.21,27.922614874999997
2023-04-18,878.06,4.094,2010.3,25.368,101.448,3.578,16.83,80.85,2.23,31.420158999999998
2023-04-19,876.89,4.079,1998.0,25.471,101.668,3.591,16.46,79.18,2.2,29.883970208333334
2023-04-20,863.78,4.0295,2009.8,25.478,101.566,3.536,17.17,77.27,2.19,39.188590041666664
2023-04-24,857.52,3.961,1990.6,25.411,101.073,3.496,16.89,78.64,2.19,39.79155304166667
2023-04-25,844.28,3.8585,1995.1,24.978,101.592,3.4,18.76,77.05,2.21,34.54243041666667
2023-04-26,846.09,3.8605,1986.9,24.972,101.205,3.445,18.84,74.33,2.19,35.61791483333334
2023-04-27,863.37,3.884,1999.0,25.209,101.252,3.528,17.03,74.77,2.17,32.051856875
2023-05-01,863.35,3.934,1992.2,25.23,101.92,3.57,16.08,75.65,2.24,29.829238833333335
2023-05-02,842.43,3.8625,2023.3,25.619,101.725,3.433,17.78,71.71,2.12,31.100662875
2023-05-03,831.7,3.845,2037.0,25.681,101.115,3.364,18.34,68.62,2.01,34.948859875000004
2023-05-04,843.3,3.863,2055.7,26.227,101.184,3.377,20.09,68.52,1.96,34.582336125000005
2023-05-08,853.16,3.9295,2033.2,25.834,101.155,3.507,16.98,73.13,2.12,40.19675770833333
2023-05-09,847.12,3.9015,2042.9,25.898,101.399,3.522,17.71,73.68,2.22,37.23162683333333
2023-05-10,853.33,3.841,2037.1,25.658,101.269,3.439,16.94,72.53,2.12,35.18041145833333
2023-05-11,844.08,3.71,2020.5,24.424,101.873,3.386,16.93,70.81,2.07,36.804668875
2023-05-15,843.72,3.751,2022.7,24.291,102.271,3.507,17.12,71.07,2.25,34.120486291666666
2023-05-16,828.58,3.667,1993.0,23.893,102.404,3.541,17.99,70.85,2.28,31.074927875
2023-05-17,840.93,3.7545,1984.9,23.897,102.726,3.572,16.87,72.78,2.25,28.176308125000002
2023-05-18,842.39,3.6895,1959.8,23.633,103.455,3.651,16.05,71.82,2.3,30.006464500000003
2023-05-22,848.17,3.685,1977.2,23.861,103.079,3.719,17.21,71.81,2.3,30.63430729166667
2023-05-23,835.75,3.6545,1974.5,23.624,103.385,3.698,18.53,72.87,2.22,33.193586375
2023-05-24,818.58,3.5615,1964.6,23.24,103.799,3.744,20.03,74.37,2.25,29.857978958333334
2023-05-25,841.5,3.588,1943.7,22.91,104.175,3.823,19.14,71.68,2.23,23.858366333333333
2023-05-30,866.02,3.6695,1968.1,23.353,104.078,3.694,17.46,69.45,2.11,30.72852370833333
2023-05-31,863.81,3.6455,1973.1,23.696,104.245,3.646,17.94,68.11,2.1,32.59966541666667
2023-06-01,870.03,3.7185,1986.5,24.096,103.502,3.601,15.65,70.09,1.77,39.04165283333334
2023-06-05,879.33,3.774,1965.7,23.743,103.936,3.689,14.73,72.14,1.92,27.681228583333333
2023-06-06,882.07,3.7745,1972.9,23.779,104.074,3.677,13.96,71.71,1.95,31.534795208333335
2023-06-07,884.0,3.7605,1949.9,23.638,104.055,3.793,13.94,72.52,2.13,25.157150333333334
2023-06-08,884.92,3.7995,1969.9,24.455,103.316,3.718,13.65,71.28,2.1,24.691104375
2023-06-12,894.74,3.7595,1960.9,24.165,103.631,3.743,15.01,67.08,1.9,20.618861
2023-06-13,904.78,3.8355,1949.9,23.929,103.318,3.827,14.61,69.39,2.0,22.017940999999997
2023-06-14,915.73,3.8725,1960.1,24.212,102.916,3.79,13.88,68.22,2.05,26.863382041666668
2023-06-15,921.95,3.9,1961.8,24.044,102.108,3.72,14.5,70.61,2.18,24.328386041666665
2023-06-20,905.89,3.889,1938.9,23.334,102.125,3.719,13.88,70.94,2.38,27.221286125000002
2023-06-21,893.75,3.91,1936.1,22.911,101.676,3.727,13.2,72.55,2.24,26.383817125000004
2023-06-22,884.07,3.896,1915.0,22.567,101.994,3.797,12.91,69.22,2.27,25.0029315
2023-06-26,881.58,3.794,1925.1,22.923,102.334,3.723,14.25,69.09,2.62,31.175914000000002
2023-06-27,888.2,3.7795,1915.1,23.049,102.127,3.772,13.74,67.68,2.68,31.007726958333333
2023-06-28,893.81,3.736,1913.4,22.981,102.548,3.714,13.43,69.54,2.71,29.550882041666668
2023-06-29,900.62,3.699,1917.9,22.798,103.008,3.842,13.54,69.85,2.4,33.86444933333333
2023-07-03,912.03,3.794,1929.5,23.112,102.654,3.858,13.57,69.71,2.48,32.68884225
2023-07-05,917.11,3.7685,1927.1,23.402,103.035,3.934,14.18,71.78,2.65,38.088841708333334
2023-07-06,907.16,3.7345,1915.4,22.89,102.867,4.031,15.44,71.76,2.5,34.9058225
2023-07-10,907.9,3.7845,1931.0,23.345,101.642,4.0,15.07,73.05,2.55,33.55549045833333
2023-07-11,916.63,3.766,1937.1,23.281,101.403,3.978,14.84,74.87,2.57,35.693398875
2023-07-12,926.09,3.853,1961.7,24.31,100.193,3.861,13.54,75.77,2.55,39.415724000000004
2023-07-13,937.0,3.94,1963.8,24.949,99.456,3.767,13.61,76.86,2.5,41.50520095833333
2023-07-17,923.58,3.844,1956.4,25.018,99.529,3.809,13.48,74.17,2.46,37.63497145833333
2023-07-18,924.29,3.8295,1980.8,25.256,99.625,3.789,13.3,75.76,2.52,33.63661379166667
2023-07-19,934.3,3.814,1980.8,25.387,99.988,3.748,13.76,75.4,2.51,32.33401104166666
2023-07-20,916.89,3.8345,1970.9,24.962,100.597,3.856,13.99,75.65,2.61,32.61800341666667
2023-07-24,921.56,3.8555,1962.2,24.581,101.083,3.878,13.91,78.81,2.68,38.538658000000005
2023-07-25,919.55,3.9155,1963.7,24.824,101.096,3.89,13.86,79.76,2.66,36.614369583333335
2023-07-26,922.44,3.902,1970.1,24.97,100.636,3.873,13.19,79.11,2.6,40.62558295833333
2023-07-27,916.46,3.8755,1945.7,24.367,101.544,4.002,14.41,80.17,2.47,103.36009670833333
2023-07-31,928.96,4.014,1979.6,25.092,101.626,3.967,13.63,81.8,2.58,28.63614925
2023-08-01,928.37,3.9165,1949.7,24.445,102.085,4.037,13.93,81.37,2.49,31.536305625
2023-08-02,914.14,3.8535,1946.0,23.991,102.389,4.09,16.09,79.5,2.43,27.169110458333336
2023-08-03,900.77,3.91,1939.9,23.816,102.35,4.179,15.92,81.56,2.44,30.358216041666665
2023-08-07,907.23,3.848,1940.7,23.352,101.861,4.097,15.77,81.94,2.65,32.703705041666666
2023-08-08,902.66,3.782,1930.8,22.922,102.34,4.028,15.99,82.94,2.77,28.0818405
2023-08-09,899.71,3.798,1921.9,22.841,102.312,4.016,15.96,84.35,2.92,28.842425666666667
2023-08-10,899.62,3.7805,1920.1,22.929,102.367,4.107,15.85,82.81,2.83,31.045375833333335
2023-08-14,894.94,3.7395,1915.6,22.813,103.058,4.201,14.82,82.5,2.74,36.08040675
2023-08-15,889.08,3.6855,1906.9,22.759,103.095,4.219,16.46,81.06,2.65,38.54189991666667
2023-08-16,870.47,3.6765,1900.2,22.637,103.319,4.258,16.78,79.4,2.55,29.539044041666667
2023-08-17,868.04,3.711,1887.2,22.821,103.47,4.284,17.89,80.43,2.56,29.420163875
2023-08-21,861.6,3.7385,1895.7,23.443,103.206,4.342,17.13,80.71,2.6,37.968377374999996
2023-08-22,866.69,3.7755,1898.6,23.553,103.473,4.332,16.97,80.25,2.58,30.829681041666664
2023-08-23,881.86,3.824,1920.5,24.495,103.333,4.196,15.98,78.91,2.6,29.918844083333337
2023-08-24,879.93,3.782,1919.1,24.343,103.919,4.241,17.2,79.52,2.42,31.104519125
2023-08-28,884.58,3.777,1918.5,24.369,103.992,4.206,15.08,80.65,2.6,30.347342541666666
2023-08-29,899.54,3.818,1936.4,24.901,103.471,4.12,14.45,81.14,2.5,29.423988166666664
2023-08-30,905.45,3.831,1954.0,24.978,103.093,4.112,13.88,81.64,2.48,27.391231291666667
2023-08-31,907.1,3.809,1947.0,24.692,103.587,4.106,13.57,83.55,2.56,22.006603166666665
2023-09-05,902.42,3.838,1934.3,23.762,104.763,4.266,14.01,86.74,2.6,41.661038125
2023-09-06,896.92,3.7755,1925.8,23.397,104.821,4.296,14.45,87.55,2.49,57.33217595833333
2023-09-07,895.36,3.752,1924.1,23.134,105.028,4.25,14.4,86.87,2.45,47.38065229166667
2023-09-11,892.9,3.7965,1929.2,23.282,104.539,4.294,13.8,87.3,2.5,38.887997625000004
2023-09-12,890.32,3.7785,1917.2,23.301,104.69,4.28,14.23,88.87,2.72,37.08775583333333
2023-09-13,884.9,3.78,1914.4,23.08,104.749,4.254,13.48,88.59,2.76,34.255069666666664
2023-09-14,898.58,3.8075,1914.4,22.902,105.395,4.286,12.82,90.13,2.81,28.41305675
2023-09-18,887.19,3.7645,1935.2,23.399,105.292,4.303,14.0,91.47,2.54,29.40110329166667
2023-09-19,879.47,3.734,1935.3,23.351,104.832,4.365,14.11,91.16,2.46,25.529653916666664
2023-09-20,875.85,3.762,1948.6,23.728,104.788,4.399,15.14,89.2,2.78,30.868540041666666
2023-09-21,850.01,3.6835,1921.2,23.582,105.044,4.494,17.54,89.56,2.7,30.564503375
2023-09-25,848.77,3.6595,1918.2,23.277,105.69,4.531,16.9,89.68,2.63,34.973750583333334
2023-09-26,832.41,3.6355,1901.6,23.086,105.93,4.55,18.94,91.43,2.55,33.284591999999996
2023-09-27,827.94,3.6295,1872.3,22.609,106.366,4.608,18.22,93.67,2.72,31.513739958333332
2023-09-28,841.56,3.708,1869.5,22.741,105.933,4.579,17.34,91.65,2.74,35.39200295833333
2023-10-02,839.21,3.6415,1838.2,21.421,106.606,4.685,17.61,88.81,2.7,41.38509691666667
2023-10-03,820.48,3.621,1832.6,21.377,106.719,4.795,19.78,89.26,2.71,47.95294233333333
2023-10-04,825.63,3.589,1826.1,21.146,106.53,4.735,18.58,84.32,2.92,48.252000125
2023-10-05,831.56,3.552,1823.2,21.019,106.065,4.721,18.49,82.3,2.92,41.01372083333333
2023-10-10,853.46,3.634,1866.7,21.953,105.557,4.657,17.03,85.89,3.34,38.756940750000005
2023-10-11,870.36,3.612,1878.4,22.133,105.569,4.558,16.09,83.7,3.19,35.30679408333334
2023-10-12,863.27,3.591,1874.2,21.959,106.367,4.697,16.69,82.87,3.16,36.81582420833333
2023-10-16,858.48,3.582,1925.1,22.765,106.034,4.7,17.21,86.65,2.98,48.3146945
2023-10-17,850.32,3.5785,1926.4,23.024,106.046,4.836,17.88,86.66,2.94,47.920822541666666
2023-10-18,832.32,3.587,1958.8,23.099,106.354,4.911,19.22,88.35,2.92,40.816901666666666
2023-10-19,807.22,3.601,1971.2,23.031,106.046,4.99,21.4,89.35,2.84,38.5816515
2023-10-23,802.82,3.5865,1978.2,23.21,105.334,4.848,20.37,85.49,2.65,41.96799529166667
