Date,dlog_SOLVPN,dlog_COPPER,dlog_DXY,d_UST10Y,dlog_VIX
2020-10-13,-0.4901995,-0.6384568,0.4629241,-3.5000000000000004,3.9113316
2020-10-14,-1.3363814,0.19688280000000002,-0.1819136,-0.2,1.2578782
2020-10-15,-0.0539916,1.1408207,0.5319672999999999,1.2,2.1361127
2020-10-16,0.4899479,-0.5850821,-0.1972882,1.0,1.6182773000000001
2020-10-19,-0.5042147,0.6012856,-0.2672255,2.3,6.2575633
2020-10-20,0.1252744,1.9891577,-0.405406,1.4000000000000001,0.5809003
2020-10-21,-0.046832200000000004,1.5914619,-0.4869387,3.5000000000000004,-2.4139103
2020-10-22,-1.4824205,-1.4169003,0.39339789999999997,4.0,-1.9028058
2020-10-23,0.0867796,-0.7799482,-0.21429079999999998,-2.0,-2.0122849
2020-10-26,-0.29059419999999997,-1.2704198999999998,0.3003086,-3.8,16.4006026
2020-10-27,-0.6577228,0.129387,-0.1258261,-3.2,2.704921
2020-10-28,-2.3030976,-0.9581884,0.5173462,0.3,18.8797295
2020-10-29,-0.07897209999999999,-0.1306336,0.6062371000000001,5.7,-6.911701000000001
2020-10-30,-1.5200297,-0.2781643,0.069142,4.3,1.1374278999999998
2020-11-02,0.9611776000000001,0.9620947,0.10946560000000001,-2.1999999999999997,-2.3687069000000003
2020-11-03,1.4251921,0.40489159999999996,-0.6233205,4.3999999999999995,-4.3485112
2020-11-04,2.4485557,0.5158806,-0.159383,-12.5,-18.4179822
2020-11-05,1.5820649999999998,0.1285554,-0.9627509,-0.5,-6.9669461
2020-11-06,1.0386263,1.3874714,-0.31503590000000004,5.4,-10.3830786
2020-11-09,-3.1072901,0.0791578,0.5299028,10.4,3.5174540999999997
2020-11-10,-2.5851773000000002,0.0,0.022647499999999997,3.5999999999999996,-3.7590974
2020-11-11,2.8008152,-0.6987483,0.3100778,1.7000000000000002,-5.5973158000000005
2020-11-12,0.2575335,0.33410259999999997,-0.0731261,-9.4,7.790823500000001
2020-11-13,0.9765100000000001,1.0271087,-0.2218561,1.5,-9.2946113
2020-11-16,-0.5477274,1.3894533,-0.12946380000000002,1.3,-2.8542003
2020-11-17,-0.4618422,-0.684508,-0.250773,-4.9,1.1514742
2020-11-18,-0.1364863,0.015609099999999999,-0.0942022,0.8,4.8559486
2020-11-19,0.10238219999999999,0.1559576,-0.029253200000000004,-2.8000000000000003,-3.1099418
2020-11-20,-0.7209687,2.7361067,0.1202086,-1.7999999999999998,2.5209624
2020-11-23,-0.499941,-0.9904843,0.1070913,3.5000000000000004,-4.487379300000001
2020-11-24,-0.9271491999999999,1.2932854,-0.2966751,2.6,-4.6057802
2020-11-25,0.714518,0.3169575,-0.2758083,-0.3,-1.8186559000000002
2020-11-26,0.0576541,0.8941222000000001,0.0,-2.3,0.0
2020-11-27,1.0663516,1.8995216,-0.1795753,-1.7000000000000002,-1.9482678
2020-11-30,-0.7044151000000001,0.6281519,0.0620716,0.0,-1.3040513
2020-12-01,1.4162575,1.3452145,-0.6125978,8.7,0.9675934
2020-12-02,-1.3317156,0.1292268,-0.1995483,0.8999999999999999,1.9075446999999999
2020-12-03,0.25215699999999996,0.0573806,-0.43666510000000003,-2.7,0.5182578999999999
2020-12-04,1.3591870000000001,0.9846672000000001,-0.0264591,6.2,-2.3295562999999997
2020-12-07,-0.5972134,-0.19900500000000002,0.104693,-4.5,2.4234971
2020-12-08,-0.2429934,-0.49925220000000003,0.19696629999999998,-0.7000000000000001,-2.9540023
2020-12-09,-1.9528318,0.3996009,0.12633819999999998,1.7000000000000002,7.4073432
2020-12-10,0.2003797,1.7507153000000002,-0.2891653,-3.2,1.1163322
2020-12-11,-0.050584399999999995,-1.3101547,0.1650256,-1.0,3.447865
2020-12-14,-0.06115689999999999,-0.0567376,-0.2630697,0.2,5.873018
2020-12-15,0.24966430000000003,0.5094831,-0.3555265,1.3,-7.6912499
2020-12-16,0.238547,0.4366512,-0.0553195,0.8999999999999999,-1.7184825000000001
2020-12-17,2.2480086999999997,1.1875794,-0.6862881000000001,1.5,-2.5659747
2020-12-18,-0.46392819999999996,0.8298803,0.2359568,1.0,-1.6552102
2020-12-21,-0.4215579,-1.5127622,-0.00445,-0.7000000000000001,15.395197099999999
2020-12-22,0.6584199,-1.5928168,0.6615166,-1.7000000000000002,-3.7663897000000004
2020-12-23,-0.4825548,1.0178205,-0.2277679,2.4,-3.8709081999999997
2020-12-24,0.26012650000000004,0.1826741,-0.0996733,-1.9,-7.9435142
2020-12-28,0.688333,0.2383791,0.027697000000000003,-0.3,0.7864949
2020-12-29,-0.15779500000000002,-0.4632563,-0.39624229999999994,1.7000000000000002,6.1654181
2020-12-30,0.6368244000000001,-0.126716,-0.2996098,-1.4000000000000001,-1.3522562
2020-12-31,1.2907846,-0.8489015000000001,0.27291529999999997,-1.0,-0.0878735
2021-01-04,-2.0199423000000003,1.0037548,-0.0545235,0.2,17.0159992
2021-01-05,0.5670145,2.3631903,-0.4864615,3.6999999999999997,-6.2340962
2021-01-06,-1.9508943,0.3017835,0.1039623,8.4,-1.0712263
2021-01-07,1.219521,1.2387009,0.3223776,4.2,-11.3951137
2021-01-08,0.9312101999999999,-0.6106268,0.3080193,3.8,-3.6881029
2021-01-11,-0.8387252,-3.0121095,0.4143821,2.5,11.0541874
2021-01-12,-0.1541894,1.1436666,-0.41882330000000006,-1.5,-3.1641534
2021-01-13,0.7777675000000001,0.3184496,0.2993384,-3.6999999999999997,-4.9197448
2021-01-14,0.5141557,1.3046947,-0.1318202,3.6999999999999997,4.5762494
2021-01-15,0.9611231,-1.7202654000000002,0.5956839,-4.2,4.5815956
2021-01-19,1.65387,0.8707124,-0.3067927,0.5,-4.624615599999999
2021-01-20,0.8972203,0.2199314,-0.0077399999999999995,-1.5,-7.410797199999999
2021-01-21,0.24188310000000002,0.1646317,-0.3787464,3.2,-1.2121361000000002
2021-01-22,-0.00783,-0.5911889,0.0942669,-2.3,2.7297554
2021-01-25,0.8124899,0.0964785,0.1783094,-5.3,5.677799800000001
2021-01-26,0.4066818,-0.2759003,-0.2492786,0.0,-0.7357748
2021-01-27,-1.76944,-1.7277844,0.5442853,-2.0,48.0214139
2021-01-28,-0.3497799,0.6304749000000001,-0.23527209999999998,3.9,-20.8404547
2021-01-29,0.1351305,-0.6164211,0.1569096,1.9,9.1058127
2021-02-01,2.9945729,-0.35193949999999996,0.4472752,0.8,-9.0065571
2021-02-02,0.7794599,-0.5940612,0.2349532,1.6,-16.8136922
2021-02-03,-1.0342419,1.1565714,-0.044971699999999996,4.3999999999999995,-10.9455133
2021-02-04,-0.6735976,-0.2949233,0.4072969,-0.3,-5.1040621
2021-02-05,0.4066261,2.0050797,-0.5346435,3.3000000000000003,-4.2220154
2021-02-08,0.3839071,1.0831667999999999,-0.12420930000000001,0.7000000000000001,1.7573475
