Variable,AIC,BIC,LogLik,MeanType,VolType,P_GARCH,Q_GARCH,Dist
dlog_SOLVPN,4241.258443845974,4267.200507528459,-2115.629221922987,AR,GARCH,1,1,normal
dlog_COPPER,5074.572697579462,5100.514761261947,-2532.286348789731,AR,GARCH,1,1,normal
dlog_DXY,1490.8159675744037,1516.7580312568884,-740.4079837872018,AR,GARCH,1,1,normal
d_UST10Y,8416.32433455862,8442.266398241105,-4203.16216727931,AR,GARCH,1,1,normal
dlog_VIX,8985.536682593767,9011.478746276252,-4487.768341296884,AR,GARCH,1,1,normal
