Date,z_dlog_SOLVPN,z_dlog_COPPER,z_dlog_DXY,z_d_UST10Y,z_dlog_VIX
2020-10-14,-1.1352983024573657,0.14438544794201108,-0.5178062533868426,-0.12147804290263191,0.2065689664053178
2020-10-15,0.018886699811679297,1.0911012471560382,1.4526443428142117,0.2530679540914435,0.3403821703623521
2020-10-16,0.3805488909721932,-0.6412805691008938,-0.5535670605331029,0.209283952019377,0.27980856277919736
2020-10-19,-0.5316586144948647,0.5494930327763576,-0.7575331174364817,0.5585723921940466,1.043757998755804
2020-10-20,0.1083657195471241,1.9453974582762348,-1.1445028037501825,0.32623298395120925,0.13726446368761216
2020-10-21,-0.10260185422890107,1.4489865422356356,-1.3600232491062514,0.8996497673447412,-0.37415676045336926
2020-10-22,-1.4366582466908255,-1.3643352490651084,1.0334706927773283,1.0444072375458775,-0.3199863058998446
2020-10-23,0.16144117827714183,-0.7462537042926128,-0.5942408969344876,-0.58747120837234,-0.3394601486680161
2020-10-26,-0.3278428400842989,-1.1953492017885479,0.7910320689763831,-1.109038048795097,2.73529979556808
2020-10-27,-0.6489801141004515,0.07233781102719743,-0.36330567398046654,-0.9450553044808715,0.3688365054100689
2020-10-28,-2.204795912486832,-0.9174838499692937,1.4089154515151614,0.008123502997184038,2.3559231198657042
2020-10-29,0.0796301526794794,-0.16299036563583758,1.6263935899067385,1.5083026377446913,-0.5410391924413855
2020-10-30,-1.4010142096587415,-0.30416146668875643,0.16455136623127833,1.1164945294821311,0.09357499233644329
2020-11-02,0.9191112872109138,0.843836796313509,0.2712855112308859,-0.6284916627613563,-0.28570474703017196
2020-11-03,1.1161824568925758,0.321103469085165,-1.7152561009855467,1.1121339532060708,-0.6217111271022552
2020-11-04,1.9532983076802604,0.43192181907626115,-0.443114749319955,-3.3718217917741105,-2.7302213214434494
2020-11-05,1.0407403148947818,0.06813776489408084,-2.5788945807939005,-0.20645210697144284,-0.7365392534157561
2020-11-06,0.6687787590480235,1.2836489143776388,-0.7836523504362127,1.1949245359005827,-1.1455224012384486
2020-11-09,-2.6583784343953805,0.01719340177584137,1.261226994659052,2.3486284234647057,0.33828479149157165
2020-11-10,-1.6557358469659487,-0.05247245082012646,0.038125112298795366,0.7499709205187431,-0.44960061600270745
2020-11-11,2.0351753191274127,-0.7322776478991467,0.7365378969806877,0.32710555447624745,-0.7970692510501738
2020-11-12,-0.04208563352092826,0.27605265336858975,-0.19784859098521954,-2.0818432354566503,1.0787587210779046
2020-11-13,0.5831542725505184,0.9588487675175872,-0.5764770252776151,0.23344447961995243,-1.214816242803092
2020-11-16,-0.4606965698919176,1.3067288381304312,-0.3503536125880908,0.22883738914552357,-0.41419252816313096
