Date,sigma_dlog_SOLVPN,sigma_dlog_COPPER,sigma_dlog_DXY,sigma_d_UST10Y,sigma_dlog_VIX
2020-10-14,1.1819474485898867,1.0081980425755193,0.36464683042993745,3.905745340298775,7.170349586897956
2020-10-15,1.1926368564042635,0.9948918143179617,0.3602278427981961,3.8489835731035487,6.587090951977871
2020-10-16,1.1619958569744813,1.0056000298868002,0.36851950118087584,3.7969334589052606,6.301127060598586
2020-10-19,1.1373390110777009,1.0004087966669435,0.36427759066585924,3.744719329337328,6.112056546641501
2020-10-20,1.117982627944218,0.9930815053664203,0.3620140202202053,3.711486980562951,6.614188537309952
2020-10-21,1.0911634501715286,1.0542754907647396,0.36487650160156626,3.665401543445005,6.248225725943182
2020-10-22,1.0655741828378096,1.0839247101406764,0.3714385124753047,3.6656696455565227,6.122376568368219
2020-10-23,1.0991489071567724,1.108944022540806,0.3725521025257495,3.6839202432525346,6.027116484463628
2020-10-26,1.073645857021704,1.1051662109882912,0.36854989564060997,3.6539857760383705,5.981824328176755
2020-10-27,1.0517222289171948,1.1209051269254675,0.366573361074325,3.681131561769432,9.435665568815388
2020-10-28,1.0397087101936004,1.1042808757235238,0.36114075941141205,3.686624959872514,8.085875831129085
2020-10-29,1.1455810382604448,1.1069621230362645,0.36859752253856914,3.63415489430601,11.13936143695742
2020-10-30,1.117305344329565,1.0911872130406675,0.38064184142677077,3.7266607796663584,9.429471726290522
2020-11-02,1.1483814612443513,1.0772991841956292,0.3740518692316592,3.754682214170175,7.93831742915587
2020-11-03,1.1459298934714333,1.0773889884107701,0.3679916027197474,3.7267546114549144,7.081720046790541
2020-11-04,1.15571991280149,1.0640738271368861,0.38203846318392276,3.754147474765712,6.797895398022928
2020-11-05,1.2412389271243234,1.0529077713287562,0.37666255219952866,4.392207864163924,10.495799433023207
2020-11-06,1.2445592560002758,1.03805945479411,0.4158445432229011,4.32633495583391,9.288849767106925
2020-11-09,1.2266577154085887,1.0581480692447798,0.41297137695072267,4.366968253614276,9.190363709939339
2020-11-10,1.411489176087005,1.0430652741999769,0.4178279940942174,4.706710376372184,7.903042057152431
2020-11-11,1.4732611065606234,1.0284397012767275,0.40997021217636676,4.677151122354564,7.167559800724606
2020-11-12,1.5886498629051617,1.025442554355059,0.4066300969456498,4.610343171772367,7.0394349247061605
2020-11-13,1.540879422169907,1.0128417067916569,0.39939129335018225,4.878229402906321,7.326088414963012
2020-11-16,1.5093197277603103,1.0179658504652795,0.3946256294190643,4.802745971122621,7.761090808513361
2020-11-17,1.4735440250772371,1.039131147242684,0.3883661060158181,4.728696339339842,7.0517749376613885
2020-11-18,1.43448831831818,1.0355077246130568,0.38470073757803386,4.748713185035083,6.502585898706802
2020-11-19,1.3935396835849696,1.0210517722274333,0.3783274202255688,4.672363928279067,6.564142689068363
2020-11-20,1.3540304526812215,1.007170280913727,0.3716785791785536,4.631131644261103,6.337734357775079
2020-11-23,1.3285186456806477,1.1308658396428828,0.36580903255895636,4.572797287873596,6.178585177291405
2020-11-24,1.2965622709849702,1.13407845997994,0.3599831597869082,4.540330331337304,6.301961733396958
2020-11-25,1.2793948803809623,1.1447612135766039,0.35878102033484327,4.490755572185866,6.428231939508658
2020-11-26,1.256822105987902,1.1285808911764321,0.3570093749340752,4.420228950992962,6.194739294752891
2020-11-27,1.2233466522486927,1.1243976627703773,0.35093055576231724,4.375977946133004,6.001659772551002
2020-11-30,1.2137529974680867,1.1680397309915427,0.3469778932212421,4.322666431759329,5.958266190008469
2020-12-01,1.1986859086266068,1.1556939666916057,0.3413603738879302,4.255327174698817,5.904087085288189
2020-12-02,1.2135288904292831,1.1672654810976857,0.3569890680344487,4.479086890501925,5.8600064494816175
2020-12-03,1.232938501617254,1.149405107783457,0.3532849793611453,4.410465911652983,5.889833576048806
2020-12-04,1.2028334073430331,1.1319212358644104,0.35805542677501045,4.374809018550259,5.843770444955572
2020-12-07,1.208427760080618,1.1305331358264212,0.3520102620526365,4.446802312661401,5.900016480514363
2020-12-08,1.1907857327311617,1.1147511157442946,0.34659193079398815,4.461214627689113,5.938755429336559
2020-12-09,1.1615169058821118,1.1037994732797083,0.342823722217889,4.394327977499305,5.996588032291996
2020-12-10,1.2211072539612502,1.0897554926339255,0.33797161609927445,4.333767917523847,6.756031918826733
2020-12-11,1.1916861165752122,1.1268108386081641,0.3375008089335799,4.312969073789012,6.350867662745247
2020-12-14,1.1614235417515049,1.143871734663831,0.3334141526105847,4.25223702464866,6.29418532359334
2020-12-15,1.1324920838339223,1.1267287473874403,0.3322983185622091,4.186284279145314,6.646726068108741
2020-12-16,1.105619335462379,1.113619792488764,0.3346427191790912,4.126805641516198,7.083120772843751
2020-12-17,1.0796698074165245,1.0997322917957282,0.32948875768370167,4.065861727729859,6.565284395837391
2020-12-18,1.1672563571149772,1.1072584048254348,0.35152217762048193,4.01152918114711,6.316247516444431
2020-12-21,1.1503235146727064,1.101846749976459,0.34841349598434107,3.954046194352055,6.1177436171894435
2020-12-22,1.1259954321799537,1.130824143636965,0.3426004176237523,3.898807650764985,9.139196571641955
2020-12-23,1.1085068521754484,1.1618161479904185,0.3603348051891909,3.8581597455989267,7.865644355676436
2020-12-24,1.0905736030123683,1.160628288055996,0.35709408667963993,3.8227521678591265,7.192021752264623
2020-12-28,1.0663087344462228,1.1431262470300088,0.3516479809596531,3.787134628745922,7.504724396993377
2020-12-29,1.0510637663223152,1.1264092460656714,0.34574839496480664,3.7336307725786635,6.752616568164644
2020-12-30,1.0290886726566373,1.1144345928858246,0.3490702701663956,3.6902921297878746,6.913236009710825
2020-12-31,1.0156417090174623,1.0984498162586864,0.3484965660612398,3.6499770426482163,6.421555080048096
2021-01-04,1.029779570944874,1.0974720788803345,0.34653208058118135,3.6059071689721742,6.127093628370126
2021-01-05,1.127263738936026,1.0982775167376182,0.34098373893163825,3.5554280062416366,9.73253852654465
2021-01-06,1.111765661495294,1.1775302625103945,0.34905159448544315,3.566053025382286,8.481525598366497
2021-01-07,1.1842395466721787,1.1603009173695518,0.3437067747103861,3.838583641894775,7.360959519097569
2021-01-08,1.1955723262501314,1.1671391298200526,0.34357164109400545,3.859330302125104,8.413110029035822
2021-01-11,1.1779006345465075,1.1571242769505228,0.3429719908324607,3.8630403152849535,7.5307885683392675
