Date,Total_Spillover,SOLVPN_TO,SOLVPN_FROM,COPPER_TO,COPPER_FROM
2021-07-29,16.16398824342225,33.79801338523872,1.553019386960843,33.457482493483695,6.94981103165597
2021-07-30,16.025432370751318,33.28955003934554,1.394438135417504,33.30908349698469,6.942155105988382
2021-08-02,16.162119458346382,32.8616263600068,1.4167814147102131,34.56337226236784,6.655041489560426
2021-08-03,16.252642663966782,32.92755080455911,1.5707321232114226,34.759143993505624,6.568372280450887
2021-08-04,16.28634733761323,32.75537697095719,1.6547490879227393,34.8506586235293,6.5524654688355275
2021-08-05,16.261358174904917,32.59190065307658,1.702913947018984,34.59549782360129,6.522883035459159
2021-08-06,16.180455176403953,32.67853252595497,1.665120579345803,33.75773377460878,6.63360256289292
2021-08-09,16.113287553555995,31.918190736424933,1.6318004637077803,33.58327284566819,6.4930617771877035
2021-08-10,16.291346567735214,32.116417845650226,1.6692895923878546,33.8195849843116,6.720041294204049
2021-08-11,16.18538742912229,32.1510520813073,1.6143124731869847,33.136530051877926,6.621907899918174
2021-08-12,16.21177576386198,32.48074038975845,1.609393872924653,33.10467520879477,6.681428673256454
2021-08-13,15.881650728021171,30.323208338800907,1.8953434611347402,32.87430175843243,6.591557008435458
2021-08-16,15.893739682267968,29.993654478404057,1.889671003796063,33.0868863651169,6.622112229933095
2021-08-17,15.687408739504145,29.74372813510533,1.599865840603964,33.67674668461036,6.008264459485274
2021-08-18,15.966203844239033,29.987356693117274,1.5413964237697533,34.873714225646026,5.999186408561334
2021-08-19,15.96069456738643,30.57731128876559,1.571573294794655,33.99240453758057,6.347759578335538
2021-08-20,15.702412284786831,27.128404644598113,1.644406586158169,35.04709084409777,6.278613005866412
2021-08-23,15.895550653219276,26.229141011963787,1.5334599007538623,37.83442126453875,6.9401793537538765
2021-08-24,16.03004376024763,26.66409772147711,1.307520395548134,37.37850469501843,7.221336469820019
2021-08-25,15.646672114302627,25.126259783789024,1.109802107908271,37.75950186290829,7.251720339731114
2021-08-26,15.641490259372265,25.558023721667066,0.938620010654075,37.667240909902745,7.288247347250092
2021-08-27,15.816915114971467,26.485552670171682,0.9394299412414591,37.164043426902225,7.771507187068906
2021-08-30,15.849868898162365,25.615736018627246,0.9360771173605102,38.39576147008621,7.43387122124181
2021-08-31,15.68987261632773,25.742892810801806,0.8518665784512424,38.068398070815476,7.352538086331108
