Date,delta_total
2020-10-15,0.22714757839757374
2020-10-19,0.21653479733799716
2020-10-20,0.25548433681046
2020-10-21,0.34382095743141505
2020-10-22,1.5067612615427504
2020-10-26,1.0097398572529668
2020-10-27,0.26922222634458565
2020-10-28,1.7923690979032074
2020-10-29,1.3819206954626364
2020-11-02,0.2474255813702902
2020-11-03,0.3085974249140655
2020-11-04,1.5630634914163894
2020-11-05,1.1165095040267365
2020-11-09,2.8740642262969747
2020-11-10,2.860248951291296
2020-11-11,2.1643811577043848
2020-11-12,0.6741829001360523
2020-11-16,0.15857220333829114
2020-11-17,0.30425419724987895
2020-11-18,0.2837302132883618
2020-11-19,0.5528731017759455
2020-11-23,0.3538358864119071
2020-11-24,0.5727966075692463
2020-11-25,0.297250573907627
2020-11-30,0.8801824027097843
2020-12-01,1.0471024773618745
2020-12-02,0.40385925528326977
2020-12-03,0.4524175071899846
2020-12-07,0.3454433632412136
2020-12-08,0.16413015701366698
2020-12-09,0.6231030166067313
2020-12-10,0.5712667623854749
2020-12-14,0.2797137629083468
2020-12-15,0.28001456393244767
2020-12-16,0.47645981322659303
2020-12-17,0.5840078497940452
2020-12-21,0.644925161698916
2020-12-22,0.8005127570856205
2020-12-23,0.3005642220166064
2020-12-28,0.11769957395279111
2020-12-29,0.2706734994743918
2020-12-30,0.1205616458938499
2021-01-04,0.7724193200372842
2021-01-05,1.2596229617407417
2021-01-06,0.8989712548767779
2021-01-07,0.6820765207395592
2021-01-11,1.1343982161546822
2021-01-12,0.6964045895052338
2021-01-13,0.392009367128188
2021-01-14,0.3204687420084507
2021-01-19,0.261580531494948
2021-01-20,0.34042890245511503
2021-01-21,0.6150158841746993
2021-01-25,0.38932763484285154
2021-01-26,0.18732946152296148
2021-01-27,0.9888990792143033
2021-01-28,0.6280723733035314
2021-02-01,1.5764218712410827
2021-02-02,1.673521673318582
2021-02-03,0.4474901369528709
2021-02-04,0.6931848340414781
2021-02-08,0.28757938970493424
2021-02-09,0.5123551455855251
2021-02-10,0.16874350269288177
2021-02-11,0.2949533116382553
2021-02-16,0.3951076127690951
2021-02-17,0.47884597192977796
2021-02-18,0.2924795271107595
2021-02-22,0.5508491856880673
2021-02-23,0.7992933576931535
2021-02-24,0.7164318696100782
2021-02-25,1.085141983375019
2021-03-01,0.5134177648771063
2021-03-02,1.137374833919028
2021-03-03,0.9462742169815275
2021-03-04,0.845887969290284
2021-03-08,0.7955631537290855
2021-03-09,1.3869156227933452
