r,trace_stat,trace_95crit,trace_reject_95,maxeig_stat,maxeig_95crit,maxeig_reject_95,eigenvalue
0,103.35059511256607,69.8189,True,65.1236911600133,33.8777,True,0.048032379031391514
1,38.226903952552796,47.8545,False,19.304362558123696,27.5858,False,0.014485416985276061
2,18.922541394429103,29.7961,False,14.947189312070227,21.1314,False,0.011234368930235593
3,3.9753520823588726,15.4943,False,3.968074399625556,14.2639,False,0.0029948069697508166
4,0.007277682733316869,3.8415,False,0.007277682733316869,3.8415,False,5.500878848444023e-06
