Window,N_events,Mean_delta_raw_SOLVPN_to_COPPER,Median_delta_raw_SOLVPN_to_COPPER,Mean_delta_raw_COPPER_to_SOLVPN,Median_delta_raw_COPPER_to_SOLVPN,Mean_delta_pairwise_net,Median_delta_pairwise_net,Mean_delta_SOLVPN_to_ALL,Median_delta_SOLVPN_to_ALL,N_DC_driven,N_Copper_driven,N_Coupled,N_Weak_Neutral
5,5,6.704933296091586,9.223670781630485,1.903954455686445,-0.558701063541486,4.800978840405138,2.63482070696652,24.948034617263566,13.953625445383707,4,0,0,1
10,5,5.459952251234101,5.359745230860799,1.4895958748050362,-0.259022537434046,3.9703563764290655,2.1851111056628367,15.672690547038652,8.61496487238739,4,0,0,1
20,5,4.022451023067598,3.0200330219189837,2.5893172769467863,2.321150492150293,1.433133746120811,1.8683199613634491,12.929361131388157,9.978025246100415,4,1,0,0
