t,raw_SOLVPN_to_COPPER,raw_COPPER_to_SOLVPN,pairwise_net_SOLVPN_to_COPPER,SOLVPN_to_ALL,event_mask_raw,event_mask_net,event_mask_final
0,2.649028727115471,3.85644915196377,-1.2074204248482991,39.316273687638116,0,0,0
1,4.777695955796104,3.4177435088846124,1.3599524469114916,42.652077212648116,0,0,0
2,12.96329412168878,2.439825892905273,10.523468228783507,83.06214502574403,0,1,0
3,30.603641904656666,2.677231978939041,27.926409925717625,161.22843794225633,1,1,1
4,29.367464754854833,3.990139336994394,25.37732541786044,186.7434151462474,1,1,1
5,28.54089206649803,5.166279827189481,23.37461223930855,205.42126068037462,1,1,1
6,12.695329365308444,2.0713601087420677,10.623969256566376,74.5704395885904,0,1,0
7,12.178887925343412,5.882674887083902,6.29621303825951,107.23307223603994,0,1,0
8,4.9100545290718935,3.554799516632122,1.3552550124397715,48.0827578821774,0,0,0
9,2.4646428554852142,9.220716720349548,-6.756073864864334,37.33047822347132,0,0,0
10,4.035897477171875,5.505629146578772,-1.4697316694068974,50.02544281751501,0,0,0
11,5.029296761927625,8.122571346659937,-3.0932745847323115,59.98661666902197,0,0,0
12,2.8893452495384877,5.04809687755736,-2.1587516280188725,49.747374850458336,0,0,0
13,10.781827625487011,7.442398019575594,3.339429605911417,106.92362619447107,0,0,0
14,4.089710946007596,7.901108991750419,-3.8113980457428234,47.81169042799016,0,0,0
15,9.673917282421447,9.161118667433119,0.5127986149883288,124.34877575689973,0,0,0
16,5.882806644524455,3.9557757869653187,1.927030857559136,81.28038010922822,0,0,0
17,4.908727830843981,4.223750718342681,0.6849771125012998,67.29326837947178,0,0,0
18,5.829968921933492,5.998517959866337,-0.16854903793284493,77.16355020470823,0,0,0
19,6.7523739941331815,5.5575006034604115,1.19487339067277,79.96411732162646,0,0,0
20,6.340812428263559,4.974558194959981,1.3662542333035788,77.47684287085924,0,0,0
21,6.244040545433502,5.046427723112966,1.1976128223205356,77.67623557264648,0,0,0
22,5.970327093736465,4.569183877898751,1.4011432158377142,80.54526985302186,0,0,0
23,4.139217471775777,3.790525223543729,0.34869224823204803,72.45368325705348,0,0,0
24,3.6383804519411207,2.923104055333666,0.7152763966074547,75.30070702020534,0,0,0
25,4.012669868855946,2.734329167200212,1.278340701655734,74.42843846380583,0,0,0
26,3.208079635441968,2.348061908680161,0.8600177267618072,62.275879163215095,0,0,0
27,3.571339433918895,2.643259562101654,0.9280798718172409,74.33495003300025,0,0,0
28,3.271304505832439,2.513457705192291,0.7578468006401478,68.64840142686538,0,0,0
29,3.3830711139833727,2.533509266577623,0.8495618474057496,75.46212503402234,0,0,0
30,3.2729927803795666,2.5388463334809104,0.7341464468986563,73.94869285612543,0,0,0
31,2.3802014325397782,2.085783526597513,0.29441790594226536,75.43475392728828,0,0,0
32,9.1198228101962,2.2755971329259426,6.8442256772702565,96.394133144953,0,1,0
33,7.399087018547172,2.582523241070005,4.8165637774771675,87.19107133845719,0,1,0
34,7.38942183806261,2.0938856575403166,5.295536180522293,85.20172140952033,0,1,0
35,5.627416766542913,2.246395722890969,3.381021043651944,84.70841187033848,0,0,0
36,5.292854813717769,3.4781550290845424,1.8146997846332265,82.15974145071816,0,0,0
37,11.015341086629315,4.409881824745793,6.605459261883522,94.89624462419393,0,1,0
38,7.668091448792926,1.2792634920720147,6.388827956720911,83.64767387234568,0,1,0
39,6.948169949511393,1.241863088544444,5.706306860966949,81.76674972683159,0,1,0
40,5.791303522544579,1.4275052362494405,4.363798286295139,79.48809992453829,0,1,0
41,6.340177777804278,1.5048489319702179,4.835328845834059,88.60106643921699,0,1,0
42,6.178990110235302,1.30682736604067,4.8721627441946325,84.13397462504147,0,1,0
43,3.568368107875233,0.4058161449107962,3.1625519629644367,88.5936476334675,0,0,0
44,5.3599024414752705,0.5844020345721403,4.77550040690313,91.35487112586073,0,1,0
45,5.832371643609009,2.548099211012482,3.284272432596527,89.42460435943124,0,0,0
46,11.164849990898407,2.321146543804908,8.8437034470935,80.87733044366384,0,1,0
47,19.533043131207034,3.416274050027564,16.11676908117947,101.95950946429228,1,1,1
48,18.70892576556032,1.4973202362774451,17.211605529282874,107.14208006852238,1,1,1
49,19.191578487455864,0.6068243978961658,18.5847540895597,111.08106022301706,1,1,1
50,13.955221264360809,0.9278556478726221,13.027365616488186,97.75949568235937,0,1,0
51,14.9443978018971,0.48086347064640045,14.463534331250699,99.25213445637439,0,1,0
52,11.42271288297155,0.859922229940932,10.56279065303062,88.91778498411014,0,1,0
53,9.214550508057306,1.1465559717482752,8.06799453630903,82.9995699890116,0,1,0
54,8.334606058639768,1.544340211538393,6.790265847101375,80.30033119026592,0,1,0
55,8.694178772494336,1.3265084065223145,7.367670365972021,79.65085964383323,0,1,0
56,15.597723467695024,2.2111840708987764,13.386539396796248,112.00812070548949,0,1,0
57,10.542950602224611,3.8380538562411233,6.704896745983488,89.82247455548168,0,1,0
58,16.57905945648993,2.742626487666846,13.836432968823082,104.44269164616254,1,1,1
59,10.003744177655442,4.450142604661381,5.553601572994061,95.47824803802901,0,1,0
60,8.488535964777524,4.162885717804447,4.325650246973077,85.16840103654246,0,1,0
61,7.906132372982946,4.255955620992665,3.6501767519902817,83.70756610505988,0,1,0
62,8.973751071450694,4.221823887868548,4.751927183582146,73.669528119006,0,1,0
63,6.941265123903152,4.289571028431071,2.651694095472081,75.29114166978087,0,0,0
64,4.2940969588475975,4.288787705461294,0.005309253386303503,75.87130724304753,0,0,0
65,5.185282220215572,5.619755672721903,-0.43447345250633074,55.96590354480384,0,0,0
66,4.430546988505567,8.828414696580175,-4.3978677080746085,54.5450915619575,0,0,0
67,2.66389605297801,3.1600643891678915,-0.49616833618988165,57.08318714089543,0,0,0
68,3.009702263470106,3.39373477355318,-0.38403251008307393,67.17597676157047,0,0,0
69,2.318526622712193,1.627412284201002,0.6911143385111909,67.2494728637901,0,0,0
70,1.4784483689276222,3.0344175461753617,-1.5559691772477395,55.96706999271777,0,0,0
71,4.954028407422267,3.4876810630624715,1.4663473443597952,65.30924091078644,0,0,0
72,5.690745829860939,5.23487085158323,0.4558749782777092,63.74337327559797,0,0,0
73,9.268658103165526,5.298943496931666,3.96971460623386,74.65162501506249,0,1,0
74,9.44561827452078,6.760634487444908,2.684983787075873,68.9942643440645,0,0,0
75,6.2208387372499265,7.647815980418662,-1.4269772431687358,66.01390048048015,0,0,0
76,9.704874709335883,3.7052883265607797,5.999586382775103,101.47584397422685,0,1,0
77,7.667139883130809,1.1432531596907962,6.523886723440013,108.2922533239053,0,1,0
78,10.606577793836815,1.2099686324668062,9.396609161370009,72.5389105918222,0,1,0
79,10.057600063296112,0.5604770811582171,9.497122982137896,68.84262869351787,0,1,0
80,14.588191417391874,2.6082703305723647,11.979921086819509,73.36469336712479,0,1,0
81,8.388287910690877,2.0373138075491455,6.350974103141732,68.3908365743059,0,1,0
82,4.169154661141519,1.810696798636909,2.3584578625046104,61.265781229376024,0,0,0
83,4.2289007072433,2.246786235694582,1.982114471548718,61.12805487260594,0,0,0
84,4.4116687001625134,1.7520178891966651,2.6596508109658483,57.18703584839979,0,0,0
85,2.9207452901720545,2.163721311384523,0.7570239787875317,56.46572549059283,0,0,0
86,0.8786819635034989,1.8959325877497786,-1.0172506242462798,54.668411869700805,0,0,0
87,1.0140568713340752,6.0984230730420945,-5.084366201708019,61.580949737201266,0,0,0
88,4.386633283316459,5.310220382246423,-0.9235870989299642,64.25911455060577,0,0,0
89,4.054472373711837,4.642191161184174,-0.5877187874723369,59.328986192239476,0,0,0
90,6.860116103811145,6.987703540125797,-0.12758743631465208,65.13915291397652,0,0,0
91,4.30540904366957,5.681910945320742,-1.3765019016511717,63.797156859414706,0,0,0
92,6.380466713219443,6.944419639114321,-0.5639529258948786,68.18415871345903,0,0,0
93,6.6095387267798,4.700039856580278,1.9094988701995215,67.22387782772884,0,0,0
94,5.890795377549642,4.624123730823372,1.2666716467262704,64.28547883634508,0,0,0
95,5.387095589932974,4.990939378333827,0.3961562115991466,54.96045203003476,0,0,0
96,5.3292470748594605,5.804194051716151,-0.47494697685669074,51.81986364579918,0,0,0
97,4.671006505974974,4.2568549202850425,0.4141515856899316,51.73858416502424,0,0,0
98,11.637327487900432,2.826678225054524,8.810649262845908,64.11687937697909,0,1,0
99,6.08149918368243,8.304203633601535,-2.222704449919105,65.18583033310986,0,0,0
100,6.403067208146462,8.891161640082306,-2.488094431935844,63.325430889239584,0,0,0
101,6.073545888600414,9.634800303229648,-3.561254414629234,63.799957656700784,0,0,0
102,7.654324237131749,8.074834644371794,-0.4205104072400454,66.0380220256521,0,0,0
103,7.68247948007163,5.043207851027407,2.639271629044223,66.605441832226,0,0,0
104,3.7414366393846765,5.466637234606442,-1.7252005952217657,57.8050701708062,0,0,0
105,3.5286552071116044,3.6954707355607055,-0.16681552844910108,60.358585226787575,0,0,0
106,3.7597135449501327,3.6948767935960616,0.06483675135407108,56.0686009261959,0,0,0
107,3.687403903032458,3.6532526927793025,0.03415121025315537,55.376192533634686,0,0,0
108,1.616371534275806,2.5183241090244715,-0.9019525747486654,39.029793717536,0,0,0
109,1.520972247960941,1.5176429345893736,0.0033293133715674994,36.38145182148044,0,0,0
110,1.9686990460413132,2.1998524727060866,-0.23115342666477345,37.60908534780049,0,0,0
111,1.2359792696511738,1.630231019788107,-0.39425175013693314,30.449379730376364,0,0,0
112,1.2367878099363727,1.6345842498375225,-0.39779643990114977,29.162187081143003,0,0,0
113,1.6082311625889423,1.3918700884638484,0.21636107412509387,28.494143872498235,0,0,0
114,2.543361990180383,1.7945657154424821,0.7487962747379009,45.24135575376706,0,0,0
115,1.6161968192139755,1.556000046926893,0.06019677228708242,41.71483932023221,0,0,0
116,2.107973334329738,0.5699208492001008,1.5380524851296373,44.17056588914408,0,0,0
117,1.809113555264984,0.09318208259202954,1.7159314726729544,47.22603126953145,0,0,0
118,0.9832751137599458,0.11955221003315539,0.8637229037267904,39.42519006838106,0,0,0
119,0.8410691865743738,0.6889135510524059,0.15215563552196787,39.036342796418296,0,0,0
120,1.8944958336390247,0.8252871562775534,1.0692086773614713,45.00548624031333,0,0,0
121,1.0228331839094484,0.3758716901789004,0.6469614937305481,45.710116112455424,0,0,0
122,1.2676701896187146,0.4099636959155473,0.8577064937031673,45.64265705569802,0,0,0
123,2.2103234224010273,0.5553380037253067,1.6549854186757207,47.19889668440572,0,0,0
124,2.1226022313173223,0.14597915427263897,1.9766230770446833,47.170631399910825,0,0,0
125,1.857727877866805,0.26893317495880514,1.5887947029079998,46.82215037847619,0,0,0
126,2.0031474096019104,0.4176564592380353,1.5854909503638752,49.735410740218086,0,0,0
127,2.985544538535301,1.714273639681154,1.2712708988541472,51.50902291919417,0,0,0
128,0.11368261162463933,2.1303136745226703,-2.016631062898031,45.51973761480685,0,0,0
129,0.18878355700359803,2.270125228720858,-2.08134167171726,44.87728704433632,0,0,0
130,0.2303606396565736,2.790888210308848,-2.5605275706522743,49.947093949578516,0,0,0
131,0.40309453825175934,3.024593164651343,-2.6214986263995836,49.21372390667801,0,0,0
132,3.849675799340972,2.713965168855558,1.135710630485414,53.05253052855107,0,0,0
133,5.689960556095816,0.6139728819732652,5.07598767412255,60.48892752447605,0,1,0
134,1.6193173739975426,1.9456095148276378,-0.32629214083009517,41.95211079482447,0,0,0
135,1.3168120852380145,0.27738542630419605,1.0394266589338184,34.875220030870615,0,0,0
136,1.325991366568659,0.3088639376850946,1.0171274288835643,35.24722646415326,0,0,0
137,1.4786272929074473,0.24619480457984824,1.232432488327599,35.56425504923482,0,0,0
138,1.5430866115162687,0.144915620834161,1.3981709906821076,36.93681430167384,0,0,0
139,1.74162159940741,0.18316508168271023,1.5584565177246998,41.86192733892318,0,0,0
140,1.3104451664927401,0.15324567942498268,1.1571994870677575,37.21774247585883,0,0,0
141,1.1088797352235005,0.2512105682095477,0.8576691670139528,37.449336895951596,0,0,0
142,0.9759437585333267,0.042178606464882466,0.9337651520684442,37.66126538124621,0,0,0
143,3.1243519673515685,1.3040771016657724,1.820274865685796,48.5591906189695,0,0,0
144,3.713717359731486,0.8550176380836723,2.8586997216478136,38.35473613374308,0,0,0
145,3.092011706088725,1.2006954211692809,1.8913162849194443,36.8219022044127,0,0,0
146,3.6316717018170865,2.0574467553559597,1.5742249464611269,37.51195346994812,0,0,0
