RAW_Q,NET_Q,raw_threshold,net_threshold,N_initial_segments,N_final_events
0.9,0.75,15.0,2.869364418341517,6,5
0.9,0.8,15.0,3.631153025748638,6,5
0.9,0.85,15.0,4.677915938026739,6,5
0.95,0.75,16.05497705802737,2.869364418341517,4,4
0.95,0.8,16.05497705802737,3.631153025748638,4,4
0.95,0.85,16.05497705802737,4.677915938026739,4,4
