EventID,Date,event_idx,segment_start_idx,segment_end_idx,segment_length,raw_SOLVPN_to_COPPER_at_event,raw_COPPER_to_SOLVPN_at_event,pairwise_net_SOLVPN_to_COPPER_at_event,SOLVPN_to_ALL_at_event,W5_pre_raw_SOLVPN_to_COPPER,W5_post_raw_SOLVPN_to_COPPER,W5_delta_raw_SOLVPN_to_COPPER,W5_pre_raw_COPPER_to_SOLVPN,W5_post_raw_COPPER_to_SOLVPN,W5_delta_raw_COPPER_to_SOLVPN,W5_pre_pairwise_net,W5_post_pairwise_net,W5_delta_pairwise_net,W5_pre_SOLVPN_to_ALL,W5_post_SOLVPN_to_ALL,W5_delta_SOLVPN_to_ALL,W5_peak_raw_SOLVPN_to_COPPER,W5_peak_horizon_raw_SOLVPN_to_COPPER,W5_auc_raw_SOLVPN_to_COPPER,W5_peak_raw_COPPER_to_SOLVPN,W5_peak_horizon_raw_COPPER_to_SOLVPN,W5_auc_raw_COPPER_to_SOLVPN,W5_peak_pairwise_net,W5_peak_horizon_pairwise_net,W5_auc_pairwise_net,W5_event_type,W10_pre_raw_SOLVPN_to_COPPER,W10_post_raw_SOLVPN_to_COPPER,W10_delta_raw_SOLVPN_to_COPPER,W10_pre_raw_COPPER_to_SOLVPN,W10_post_raw_COPPER_to_SOLVPN,W10_delta_raw_COPPER_to_SOLVPN,W10_pre_pairwise_net,W10_post_pairwise_net,W10_delta_pairwise_net,W10_pre_SOLVPN_to_ALL,W10_post_SOLVPN_to_ALL,W10_delta_SOLVPN_to_ALL,W10_peak_raw_SOLVPN_to_COPPER,W10_peak_horizon_raw_SOLVPN_to_COPPER,W10_auc_raw_SOLVPN_to_COPPER,W10_peak_raw_COPPER_to_SOLVPN,W10_peak_horizon_raw_COPPER_to_SOLVPN,W10_auc_raw_COPPER_to_SOLVPN,W10_peak_pairwise_net,W10_peak_horizon_pairwise_net,W10_auc_pairwise_net,W10_event_type,W20_pre_raw_SOLVPN_to_COPPER,W20_post_raw_SOLVPN_to_COPPER,W20_delta_raw_SOLVPN_to_COPPER,W20_pre_raw_COPPER_to_SOLVPN,W20_post_raw_COPPER_to_SOLVPN,W20_delta_raw_COPPER_to_SOLVPN,W20_pre_pairwise_net,W20_post_pairwise_net,W20_delta_pairwise_net,W20_pre_SOLVPN_to_ALL,W20_post_SOLVPN_to_ALL,W20_delta_SOLVPN_to_ALL,W20_peak_raw_SOLVPN_to_COPPER,W20_peak_horizon_raw_SOLVPN_to_COPPER,W20_auc_raw_SOLVPN_to_COPPER,W20_peak_raw_COPPER_to_SOLVPN,W20_peak_horizon_raw_COPPER_to_SOLVPN,W20_auc_raw_COPPER_to_SOLVPN,W20_peak_pairwise_net,W20_peak_horizon_pairwise_net,W20_auc_pairwise_net,W20_event_type
1,2020-10-20,3,3,5,3,30.603641904656666,2.677231978939041,27.926409925717625,161.22843794225633,6.796672934866784,17.538525728215326,10.741852793348542,3.238006184584552,4.133050735328394,0.8950445507438416,3.5586667502822333,13.405474992886932,9.846808242604698,55.010165308676754,124.41018910668592,69.40002379800916,30.603641904656666,0,118.29627054573328,5.882674887083902,4,23.342485655581008,27.926409925717625,0,94.95378489015228,DC-driven,6.796672934866784,11.289363861068683,4.492690926201899,3.238006184584552,5.6004665787363175,2.3624603941517655,3.5586667502822333,5.688897282332366,2.130230532050133,55.010165308676754,92.60644842883673,37.596283120159974,30.603641904656666,0,143.4972805153435,9.220716720349548,6,58.68189776630222,27.926409925717625,0,84.81538274904128,DC-driven,6.796672934866784,8.636277088488013,1.839604153621229,3.238006184584552,5.559156676734845,2.321150492150293,3.5586667502822333,3.07712041175317,-0.48154633852906326,55.010165308676754,85.60391490209363,30.59374959341688,30.603641904656666,0,203.32918367441695,9.220716720349548,6,113.86036551363594,27.926409925717625,0,89.46881816078101,Copper-driven
2,2021-01-11,47,47,49,3,19.533043131207034,3.416274050027564,16.11676908117947,101.95950946429228,6.420896458818644,15.64456724044913,9.223670781630485,1.4332582600681991,0.8745571965267132,-0.558701063541486,4.987638198750445,14.770010043922415,9.78237184517197,86.87688563749296,100.83051108287667,13.953625445383707,19.533043131207034,0,97.75587933345268,3.416274050027564,0,7.78906003266113,18.5847540895597,2,89.96681930079154,DC-driven,6.98675660793757,13.060684561135668,6.073927953198098,1.7029653873922908,1.4439428499582447,-0.259022537434046,5.283791220545281,11.616741711177424,6.332950490632143,86.27842627745913,94.89339114984652,8.61496487238739,19.533043131207034,0,150.13988874256373,3.8380538562411233,10,17.85570254961001,18.5847540895597,2,132.2841861929537,DC-driven,6.028753929654821,10.303657799958156,4.274903870303335,2.1010533525692336,3.0229728155469338,0.9219194629777001,3.927700577085588,7.280684984411225,3.3529844073256374,83.313413263294,85.50784888018751,2.1944356168935144,19.533043131207034,0,225.60619913037016,8.828414696580175,19,63.87573036096623,18.5847540895597,2,161.73046876940393,DC-driven
3,2021-11-29,224,224,225,2,18.64683480874902,13.846957358163776,4.799877450585244,103.95609414511858,2.4659812883266428,16.837047961555964,14.371066673229322,2.7269504153309945,16.48404162176616,13.757091206435165,-0.2609691270043519,0.35300633978980506,0.6139754667941569,27.433371050278886,78.20985231989782,50.776481269618934,18.64683480874902,0,102.83207461652883,17.912199229147593,4,96.26716546699457,4.799877450585244,0,6.5649091495342695,DC-driven,2.146648317991339,14.064631829719138,11.9179835117278,3.4364851994987666,13.169357605563727,9.73287240606496,-1.2898368815074275,0.8952742241554091,2.1851111056628367,29.1380024881095,74.8995970693452,45.761594581235705,18.64683480874902,0,159.2931531059404,17.912199229147593,4,145.54053341380103,4.799877450585244,0,13.752619692139337,DC-driven,2.5216195605713985,12.538149062423559,10.01652950185216,2.9583272307321793,11.106536771220892,8.148209540488713,-0.4367076701607802,1.431612291202669,1.8683199613634491,36.54817255391899,69.30587804109798,32.757705487178995,18.64683480874902,0,269.40981605722027,17.912199229147593,4,235.97769278258158,4.825231009634401,12,33.43212327463862,DC-driven
4,2024-10-10,793,792,793,2,17.69631423256063,11.930306763870398,5.766007468690233,86.06052997145105,15.25614705573038,15.846100190928897,0.5899531351985168,12.000224961015375,9.955357389247371,-2.0448675717680036,3.255922094715006,5.890742801681526,2.63482070696652,79.74861672271975,78.10823495185154,-1.6403817708682027,17.69631423256063,0,96.92681518720512,12.166084030181318,1,61.70709371010725,8.479647883092918,2,35.21972147709786,DC-driven,14.939329259632553,14.39474289381447,-0.5445863658180823,12.523396861928537,9.809334536164139,-2.7140623257643988,2.415932397704016,4.5854083576503335,2.1694759599463174,84.10257930441088,70.9433771018079,-13.159202202602984,17.69631423256063,0,161.64374317070533,12.166084030181318,1,110.02365212551177,8.479647883092918,2,51.62009104519357,Weak/Neutral,13.109482957055974,16.129515978974958,3.0200330219189837,10.648482164457178,13.39739703662185,2.748914872164672,2.4610007925988,2.7321189423531083,0.2711181497543085,82.3725518946385,92.35057714073892,9.978025246100415,22.149602149224638,16,340.28663381205985,24.660682255869272,16,279.87824749630744,8.479647883092918,2,60.408386315752395,DC-driven
5,2025-07-16,939,934,947,14,28.44837060204517,3.361581360614814,25.086789241430356,83.68734315253815,27.201103121880617,25.799226218931683,-1.4018769029489349,5.421548227609049,2.8927533841717574,-2.528794843437292,21.77955489427157,22.90647283475992,1.126917940488351,82.69698163651458,74.94740598068881,-7.749575655825765,28.44837060204517,0,157.44450169670358,3.852680746074682,5,17.825348281473598,26.51798727780585,3,139.61915341522996,Weak/Neutral,14.66991921484652,20.02966444570732,5.359745230860799,5.615539649207877,3.9412710862147775,-1.6742685629930993,9.054379565638644,16.088393359492542,7.034013793853898,65.92844721054863,65.4782595745618,-0.450187635986822,28.44837060204517,0,228.74501505911837,9.638936765574545,10,42.77429222276258,26.51798727780585,3,185.97072283635575,DC-driven,10.361249469563436,11.322434037205714,0.9611845676422774,6.075735003598625,4.882127020551179,-1.1936079830474462,4.285514465964811,6.4403070166545335,2.1547925506897228,70.65499204308539,59.777881756436365,-10.877110286649021,28.44837060204517,0,254.89705134615946,9.638936765574545,10,101.0041217716384,26.51798727780585,3,153.89292957452102,DC-driven
