Date,Horizon,Response
2020-10-22,0,1.1629403041113353
2020-10-22,1,0.6659188998215517
2020-10-22,2,-0.0745987310868294
2020-10-22,3,1.4485481404717924
2020-10-22,4,1.0380997380312214
2020-10-22,5,-0.09639537606112486
2020-10-22,6,-0.035223532517349554
2020-10-22,7,1.2192425339849744
2020-10-22,8,0.7726885465953215
2020-10-22,9,2.5302432688655596
2020-10-22,10,2.516427993859881
2020-10-22,11,1.8205602002729697
2020-10-22,12,0.33036194270463726
2020-10-22,13,-0.1852487540931239
2020-10-22,14,-0.0395667601815361
2020-10-22,15,-0.060090744143053265
2020-10-22,16,0.20905214434453046
2020-10-22,17,0.010014928980492055
2020-10-22,18,0.22897565013783128
2020-10-22,19,-0.04657038352378806
2020-10-22,20,0.5363614452783693
2020-10-28,0,1.5231468715586218
2020-10-28,1,1.1126984691180508
2020-10-28,2,-0.021796644974295454
2020-10-28,3,0.03937519856947985
2020-10-28,4,1.2938412650718039
2020-10-28,5,0.847287277682151
2020-10-28,6,2.604841999952389
2020-10-28,7,2.59102672494671
2020-10-28,8,1.8951589313597992
2020-10-28,9,0.40496067379146666
2020-10-28,10,-0.1106500230062945
2020-10-28,11,0.03503197090529331
2020-10-28,12,0.014507986943776141
2020-10-28,13,0.28365087543135986
2020-10-28,14,0.08461366006732146
2020-10-28,15,0.3035743812246607
2020-10-28,16,0.028028347563041345
2020-10-28,17,0.6109601763651986
2020-10-28,18,0.7778802510172889
2020-10-28,19,0.13463702893868412
2020-10-28,20,0.18319528084539893
2020-11-04,0,1.254466066502324
2020-11-04,1,0.807912079112671
2020-11-04,2,2.565466801382909
2020-11-04,3,2.5516515263772304
2020-11-04,4,1.8557837327903193
2020-11-04,5,0.3655854752219868
2020-11-04,6,-0.15002522157577436
2020-11-04,7,-0.004343227664186544
2020-11-04,8,-0.02486721162570371
2020-11-04,9,0.24427567686188
2020-11-04,10,0.04523846149784161
2020-11-04,11,0.26419918265518083
2020-11-04,12,-0.011346851006438508
2020-11-04,13,0.5715849777957188
2020-11-04,14,0.738505052447809
2020-11-04,15,0.09526183036920427
2020-11-04,16,0.14382008227591908
2020-11-04,17,0.03684593832714811
2020-11-04,18,-0.14446726790039852
2020-11-04,19,0.3145055916926658
2020-11-04,20,0.2626693374714094
2020-11-09,0,1.7575547222702381
2020-11-09,1,1.7437394472645593
2020-11-09,2,1.0478716536776482
2020-11-09,3,-0.44232660389068423
2020-11-09,4,-0.9579373006884454
2020-11-09,5,-0.8122553067768576
2020-11-09,6,-0.8327792907383748
2020-11-09,7,-0.563636402250791
2020-11-09,8,-0.7626736176148294
2020-11-09,9,-0.5437128964574902
2020-11-09,10,-0.8192589301191096
2020-11-09,11,-0.23632710131695223
2020-11-09,12,-0.06940702666486209
2020-11-09,13,-0.7126502487434667
2020-11-09,14,-0.664091996836752
2020-11-09,15,-0.7710661407855229
2020-11-09,16,-0.9523793470130696
2020-11-09,17,-0.49340648742000526
2020-11-09,18,-0.5452427416412616
2020-11-09,19,-0.8367957411183897
2020-11-09,20,-0.8364949400942889
2020-11-10,0,-0.013815275005678807
2020-11-10,1,-0.7096830685925899
2020-11-10,2,-2.1998813261609222
2020-11-10,3,-2.7154920229586836
2020-11-10,4,-2.5698100290470958
2020-11-10,5,-2.5903340130086128
2020-11-10,6,-2.3211911245210293
2020-11-10,7,-2.5202283398850676
2020-11-10,8,-2.3012676187277283
2020-11-10,9,-2.5768136523893475
2020-11-10,10,-1.9938818235871905
2020-11-10,11,-1.8269617489351002
2020-11-10,12,-2.470204971013705
2020-11-10,13,-2.42164671910699
2020-11-10,14,-2.528620863055761
2020-11-10,15,-2.7099340692833076
2020-11-10,16,-2.250961209690243
2020-11-10,17,-2.3027974639115
2020-11-10,18,-2.594350463388628
2020-11-10,19,-2.594049662364527
2020-11-10,20,-2.3976044130703817
2020-11-11,0,-0.6958677935869111
2020-11-11,1,-2.1860660511552434
2020-11-11,2,-2.701676747953005
2020-11-11,3,-2.555994754041417
2020-11-11,4,-2.576518738002934
2020-11-11,5,-2.3073758495153505
2020-11-11,6,-2.5064130648793888
2020-11-11,7,-2.2874523437220495
2020-11-11,8,-2.5629983773836686
2020-11-11,9,-1.9800665485815117
2020-11-11,10,-1.8131464739294214
2020-11-11,11,-2.456389696008026
2020-11-11,12,-2.407831444101311
2020-11-11,13,-2.5148055880500824
2020-11-11,14,-2.696118794277629
2020-11-11,15,-2.2371459346845644
2020-11-11,16,-2.288982188905821
2020-11-11,17,-2.580535188382949
2020-11-11,18,-2.580234387358848
2020-11-11,19,-2.383789138064703
2020-11-11,20,-2.276241101497251
2021-02-01,0,0.9483494979375513
2021-02-01,1,1.0454493000150507
2021-02-01,2,-0.1805822363506605
2021-02-01,3,0.06511246073794674
2021-02-01,4,-0.34049298359859714
2021-02-01,5,-0.1157172277180063
2021-02-01,6,-0.45932887061064964
2021-02-01,7,-0.3331190616652761
2021-02-01,8,-0.23296476053443627
2021-02-01,9,-0.14922640137375343
2021-02-01,10,-0.3355928461927719
2021-02-01,11,-0.0772231876154641
2021-02-01,12,0.17122098438962208
2021-02-01,13,0.08835949630654683
2021-02-01,14,0.4570696100714877
2021-02-01,15,-0.11465460842642505
2021-02-01,16,0.5093024606154966
2021-02-01,17,0.3182018436779961
2021-02-01,18,0.2178155959867526
2021-02-01,19,0.1674907804255541
2021-02-01,20,0.7588432494898139
2021-02-02,0,0.09709980207749935
2021-02-02,1,-1.1289317342882117
2021-02-02,2,-0.8832370371996046
2021-02-02,3,-1.2888424815361486
2021-02-02,4,-1.0640667256555576
2021-02-02,5,-1.4076783685482008
2021-02-02,6,-1.2814685596028275
2021-02-02,7,-1.1813142584719876
2021-02-02,8,-1.0975758993113047
2021-02-02,9,-1.2839423441303233
2021-02-02,10,-1.0255726855530154
2021-02-02,11,-0.7771285135479292
2021-02-02,12,-0.8599900016310045
2021-02-02,13,-0.4912798878660636
2021-02-02,14,-1.0630041063639764
2021-02-02,15,-0.43904703732205475
2021-02-02,16,-0.6301476542595552
2021-02-02,17,-0.7305339019507987
2021-02-02,18,-0.7808587175119972
2021-02-02,19,-0.18950624844773745
2021-02-02,20,-1.2977690959511556
2021-06-17,0,1.2906505123306706
2021-06-17,1,0.09495640816006568
2021-06-17,2,-0.357281713423893
2021-06-17,3,-0.5134073052097183
2021-06-17,4,-0.47300046244620564
2021-06-17,5,-0.2831757430755892
2021-06-17,6,-0.4933093783420469
2021-06-17,7,-0.3415460258016188
2021-06-17,8,-0.34171581459837996
2021-06-17,9,0.091787419859228
2021-06-17,10,-0.32195743555411405
2021-06-17,11,-0.2627170940676024
2021-06-17,12,-0.47224349380882147
2021-06-17,13,-0.3045096287054338
2021-06-17,14,-0.3156913376386733
2021-06-17,15,-0.43370910949945873
2021-06-17,16,0.2817207664789205
2021-06-17,17,-0.07844882931474251
2021-06-17,18,-0.39231148150369155
2021-06-17,19,-0.3083567526198179
2021-06-17,20,-0.27077994708841574
2022-03-01,0,0.6451159227480894
2022-03-01,1,1.5166249054487926
2022-03-01,2,-0.3256491792470234
2022-03-01,3,0.3180739124459595
2022-03-01,4,-0.3403598439558475
2022-03-01,5,-0.29977553493283526
2022-03-01,6,0.038618594664157735
2022-03-01,7,-0.4011988149476796
2022-03-01,8,-0.26283443545815166
2022-03-01,9,-0.22756220761747326
2022-03-01,10,-0.21721427211414068
2022-03-01,11,-0.5551217626457264
2022-03-01,12,-0.9160116534490036
2022-03-01,13,-0.8189679167065621
2022-03-01,14,-0.5609771811713345
