Date,DC_to_CP,CP_to_DC,PairSpillover,Asymmetry,Spread_DC_minus_CP
2020-10-14,0.047783270668914614,0.027825305461959157,0.07560857613087377,0.019957965206955457,0.019957965206955457
2020-10-15,0.04420733654347369,0.06945466023158832,0.113661996775062,-0.02524732368811463,-0.02524732368811463
2020-10-19,0.029274563503608558,0.08751953317300443,0.11679409667661299,-0.058244969669395866,-0.058244969669395866
2020-10-20,0.03014336089398827,0.11146267039564352,0.14160603128963178,-0.08131930950165525,-0.08131930950165525
2020-10-21,0.013532384134875813,0.08160145191598371,0.09513383605085952,-0.0680690677811079,-0.0680690677811079
2020-10-22,0.017872379498599895,0.0312196705617477,0.04909205006034759,-0.013347291063147804,-0.013347291063147804
2020-10-26,0.02687178949985697,0.038269109535265924,0.06514089903512289,-0.011397320035408956,-0.011397320035408956
2020-10-27,0.03207533097453075,0.030533682564562764,0.06260901353909351,0.0015416484099679828,0.0015416484099679828
2020-10-28,0.026928690217956564,0.07322245456315572,0.10015114478111228,-0.04629376434519916,-0.04629376434519916
2020-10-29,0.07669215606028339,0.04976700725125177,0.12645916331153517,0.026925148809031615,0.026925148809031615
2020-11-02,0.07683737207288394,0.04136828569056492,0.11820565776344885,0.035469086382319014,0.035469086382319014
2020-11-03,0.06307285303569259,0.044241468033600975,0.10731432106929356,0.01883138500209161,0.01883138500209161
2020-11-04,0.01708156300412338,0.05498862035585355,0.07207018335997693,-0.03790705735173017,-0.03790705735173017
2020-11-05,0.012100439433242554,0.06337744415107831,0.07547788358432087,-0.05127700471783575,-0.05127700471783575
2020-11-09,0.028026871697662745,0.04245735999593741,0.07048423169360016,-0.014430488298274664,-0.014430488298274664
2020-11-10,0.003034616808553485,0.1994457390253118,0.20248035583386528,-0.1964111222167583,-0.1964111222167583
2020-11-11,0.01856632688186933,0.09304619057530629,0.11161251745717563,-0.07447986369343695,-0.07447986369343695
2020-11-12,0.017326649721814563,0.08364775166342268,0.10097440138523725,-0.06632110194160812,-0.06632110194160812
2020-11-16,0.016106511015413827,0.09565510715406261,0.11176161816947644,-0.07954859613864879,-0.07954859613864879
2020-11-17,0.02250977574596028,0.07194588133978458,0.09445565708574485,-0.0494361055938243,-0.0494361055938243
2020-11-18,0.008244988785958982,0.07283013819753176,0.08107512698349074,-0.06458514941157277,-0.06458514941157277
2020-11-19,0.0063593656373405055,0.08663704666271083,0.09299641230005133,-0.08027768102537032,-0.08027768102537032
2020-11-23,0.008304166007959487,0.07691682239736988,0.08522098840532936,-0.0686126563894104,-0.0686126563894104
2020-11-24,0.004163857039986474,0.049680851288307,0.053844708328293474,-0.04551699424832053,-0.04551699424832053
2020-11-25,0.023775416026697124,0.06708772122675473,0.09086313725345185,-0.043312305200057605,-0.043312305200057605
2020-11-30,0.024583520411959495,0.21771343845597038,0.24229695886792987,-0.1931299180440109,-0.1931299180440109
2020-12-01,0.023178338785305896,0.09873274861521222,0.12191108740051812,-0.07555440982990633,-0.07555440982990633
2020-12-02,0.014638062565324154,0.091296282375602,0.10593434494092616,-0.07665821981027784,-0.07665821981027784
2020-12-03,0.014353274995116022,0.03010653299649927,0.044459807991615294,-0.015753258001383247,-0.015753258001383247
2020-12-07,0.014771333038461891,0.036020676931346286,0.05079200996980818,-0.021249343892884395,-0.021249343892884395
2020-12-08,0.009607463663759194,0.03854385101762774,0.048151314681386934,-0.028936387353868543,-0.028936387353868543
2020-12-09,0.04242288262369515,0.024612327150933068,0.06703520977462822,0.017810555472762085,0.017810555472762085
2020-12-10,0.05953233450372073,0.05469483250575399,0.11422716700947472,0.004837501997966738,0.004837501997966738
2020-12-14,0.02805580698168639,0.05224369579942011,0.08029950278110651,-0.024187888817733722,-0.024187888817733722
2020-12-15,0.01966410932852946,0.05277195422328762,0.07243606355181709,-0.03310784489475816,-0.03310784489475816
2020-12-16,0.03251948120011298,0.06849372013291304,0.10101320133302602,-0.03597423893280006,-0.03597423893280006
2020-12-17,0.05379811561777336,0.05618620386170423,0.1099843194794776,-0.002388088243930872,-0.002388088243930872
2020-12-21,0.03422390661119708,0.1417898092960547,0.1760137159072518,-0.10756590268485762,-0.10756590268485762
2020-12-22,0.027059541022977255,0.04822990046199882,0.07528944148497607,-0.021170359439021565,-0.021170359439021565
2020-12-23,0.011858739701125724,0.02752153998953018,0.039380279690655905,-0.015662800288404458,-0.015662800288404458
2020-12-28,0.012160748028580963,0.030279921717163327,0.042440669745744286,-0.018119173688582364,-0.018119173688582364
2020-12-29,0.011631237891369502,0.04934941828876963,0.060980656180139134,-0.03771818039740013,-0.03771818039740013
2020-12-30,0.007296379186697491,0.05041180454340013,0.05770818373009762,-0.04311542535670264,-0.04311542535670264
2021-01-04,0.0029002221539024204,0.04025780187329824,0.04315802402720066,-0.03735757971939582,-0.03735757971939582
2021-01-05,0.010015536837874888,0.018705331814284923,0.02872086865215981,-0.008689794976410035,-0.008689794976410035
2021-01-06,0.045092580470535416,0.026373964445014848,0.07146654491555027,0.01871861602552057,0.01871861602552057
2021-01-07,0.0527819426698739,0.04548681943814034,0.09826876210801425,0.0072951232317335565,0.0072951232317335565
2021-01-11,0.05733071660068799,0.08563824727246461,0.1429689638731526,-0.028307530671776618,-0.028307530671776618
2021-01-12,0.030603000447395005,0.1254041947502297,0.1560071951976247,-0.09480119430283471,-0.09480119430283471
2021-01-13,0.014912266588990109,0.135559635477493,0.15047190206648312,-0.12064736888850289,-0.12064736888850289
2021-01-14,0.010704404007752499,0.08365275660216134,0.09435716060991384,-0.07294835259440885,-0.07294835259440885
2021-01-19,0.009403047561366742,0.045571870334929716,0.05497491789629646,-0.036168822773562974,-0.036168822773562974
2021-01-20,0.006825896071200615,0.036896942767396974,0.04372283883859759,-0.030071046696196358,-0.030071046696196358
2021-01-21,0.028444305654034656,0.02320709024865082,0.05165139590268547,0.0052372154053838375,0.0052372154053838375
2021-01-25,0.06395714003531766,0.020515634248163085,0.08447277428348074,0.043441505787154576,0.043441505787154576
2021-01-26,0.06646849023592821,0.03706206838370637,0.10353055861963459,0.029406421852221844,0.029406421852221844
2021-01-27,0.05050805000855298,0.08492274826766509,0.13543079827621807,-0.034414698259112114,-0.034414698259112114
2021-01-28,0.09028796672564295,0.09767670607869389,0.18796467280433682,-0.007388739353050941,-0.007388739353050941
2021-02-01,0.09685282251428685,0.1894495716378803,0.28630239415216713,-0.09259674912359343,-0.09259674912359343
2021-02-02,0.13454152246765766,0.09953710645620452,0.23407862892386216,0.03500441601145314,0.03500441601145314
2021-02-03,0.15345683176588726,0.08395136124300627,0.23740819300889354,0.06950547052288099,0.06950547052288099
2021-02-04,0.025445859429387215,0.07964378235925836,0.10508964178864558,-0.05419792292987114,-0.05419792292987114
2021-02-08,0.025155360949974878,0.09826060117682477,0.12341596212679964,-0.07310524022684989,-0.07310524022684989
2021-02-09,0.029108976666235256,0.035890215201094235,0.0649991918673295,-0.0067812385348589785,-0.0067812385348589785
2021-02-10,0.024072008770630485,0.02676321428550287,0.050835223056133354,-0.002691205514872383,-0.002691205514872383
2021-02-11,0.00963325183848174,0.014903306024347071,0.02453655786282881,-0.0052700541858653315,-0.0052700541858653315
2021-02-16,0.005146886664291863,0.027940688677539318,0.03308757534183118,-0.022793802013247454,-0.022793802013247454
2021-02-17,0.0122037111044781,0.0188575462366163,0.031061257341094398,-0.006653835132138198,-0.006653835132138198
2021-02-18,0.011891812159534791,0.03719987159828445,0.04909168375781924,-0.025308059438749662,-0.025308059438749662
2021-02-22,0.038232206000531774,0.03042136779823925,0.06865357379877102,0.0078108382022925235,0.0078108382022925235
2021-02-23,0.10925054614730154,0.05585405391933716,0.16510460006663868,0.05339649222796437,0.05339649222796437
2021-02-24,0.13265274050285536,0.18395827701029105,0.3166110175131464,-0.05130553650743569,-0.05130553650743569
2021-02-25,0.07728848397077892,0.16808546569381452,0.24537394966459344,-0.0907969817230356,-0.0907969817230356
