Date,EventLabel,Is_DC_Event,DC_EventType,DirectionType,PersistenceType,PairImpact,DC_to_CP,CP_to_DC,Asymmetry,Magnitude,Peak,PeakHorizon,HalfLife,AUC,Cluster,ClusterLabel
2020-10-22,미국 경기지표 개선과 달러 반등으로 금·은 약세,False,Non_DC_Event,Copper_to_DC,Transient,0.054721776717960004,0.004339995363724,0.050381781354236,-0.046041785990512,1.5067612615427504,2.53024326886556,9.0,2.0,15.027130019067274,0.0,Unassigned
2020-10-28,유럽·미국의 코로나 재확산과 봉쇄 우려,False,Non_DC_Event,Copper_to_DC,Transient,0.047835412755167006,0.0051466407565741,0.0426887719985929,-0.0375421312420188,1.792369097903208,2.604841999952389,6.0,2.0,14.900864039333085,0.0,Unassigned
2020-11-04,미국 대선 개표,False,Non_DC_Event,DC_to_Copper,Structural,0.0567384423538217,0.0459912900315692,0.0107471523222525,0.035244137709316704,1.5630634914163894,2.565466801382909,2.0,5.0,12.45282159255472,0.0,Unassigned
2020-11-09,"코로나 백신 발표로 인한 경기 회복 기대, 금/은 안전자산 가격 급락",False,Non_DC_Event,Copper_to_DC,Structural,0.036846516419561,0.0159264322644201,0.0209200841551409,-0.0049936518907207975,2.874064226296976,1.757554722270238,0.0,3.0,16.4016079433836,0.0,Unassigned
2020-11-10,2020-11-10,False,Non_DC_Event,Copper_to_DC,Structural,0.1819806339184835,0.0249922548891092,0.1569883790293743,-0.1319961241402651,2.8602489512912954,2.715492022958684,3.0,,46.6095298777041,,Unassigned
2020-11-11,2020-11-11,False,Non_DC_Event,Copper_to_DC,Structural,0.1219312585233213,0.0155317100733158,0.1063995484500055,-0.0908678383766897,2.1643811577043843,2.701676747953005,2.0,,48.59565020408208,,Unassigned
2021-02-01,실버 스퀴즈 발생,False,Non_DC_Event,Copper_to_DC,Transient,0.0983377213478303,0.0065648557886439,0.0917728655591864,-0.0852080097705425,1.5764218712410825,1.0454493000150509,1.0,2.0,7.086117463739859,2.0,Unassigned
2021-02-02,2021-02-02,False,Non_DC_Event,Copper_to_DC,Transient,0.1276011651350465,0.0376886999533708,0.0899124651816757,-0.0522237652283049,1.6735216733185825,1.4076783685482008,5.0,,18.99899506122696,,Unassigned
2021-06-17,"FOMC 이후 달러 급등과 조기 긴축 기대가 강화, 금은구리 동시 급락",False,Non_DC_Event,Copper_to_DC,Transient,0.13361110111028981,0.0010725542301948,0.132538546880095,-0.1314659926499002,1.9528410075981244,1.2906505123306706,0.0,1.0,7.723276659527108,2.0,Unassigned
2022-03-01,러시아-우크라이나 전쟁 초기 충격,False,Non_DC_Event,DC_to_Copper,Structural,0.0701192197869883,0.0636051428329305,0.0065140769540578,0.05709106587887271,1.7542547162877469,1.5166249054487926,1.0,3.0,10.692238681264962,2.0,Unassigned
2022-03-02,"러-우 전쟁 초기, 안전자산 확대",True,DC_Demand_Structural,DC_to_Copper,Structural,0.3424332923590801,0.312901534613845,0.0295317577452351,0.2833697768686099,2.625763698988451,1.5851618342826654,20.0,2.0,22.53098618804492,3.0,Unassigned
2022-03-07,전쟁 충격이 더 커지며 LME 금속시장 전반 영향,False,Non_DC_Event,DC_to_Copper,Transient,0.2270029096497453,0.1302477476770463,0.096755161972699,0.03349258570434731,1.4272127059856172,0.6437230916929829,0.0,1.0,5.514090987796811,2.0,Unassigned
2022-06-13,"미국 CPI 충격 직후로, 인플레이션과 긴축 우려",False,Non_DC_Event,DC_to_Copper,Transient,0.056834930219174,0.0467706619377411,0.0100642682814329,0.0367063936563082,1.649687574720431,1.4486003041320672,0.0,1.0,11.234768101881278,2.0,Unassigned
2022-07-28,"recession fear, 경제 성장 둔화나 마이너스 성장이 예상될 때 투자자나 대중이 느끼는 불안",False,Non_DC_Event,DC_to_Copper,Transient,0.19974291545260192,0.1696952512036493,0.0300476642489526,0.1396475869546967,1.4751367482057527,1.1771931169806722,0.0,1.0,7.332975543574385,2.0,Unassigned
2022-09-13,미국 CPI 쇼크 (인플레이션 재상승),False,Non_DC_Event,Copper_to_DC,Structural,0.0955722260298357,0.0382558454791626,0.0573163805506731,-0.019060535071510495,1.8388763211553063,0.8550569555931528,16.0,7.0,12.153747725546928,1.0,Unassigned
2022-11-10,미국 CPI가 예상보다 낮게 나오며 Fed 속도조절 기대,False,Non_DC_Event,Copper_to_DC,Transient,0.1741152357352233,0.0083992863520212,0.1657159493832021,-0.15731666303118091,1.5326092762232646,1.2515543106143865,1.0,2.0,9.607354048777392,2.0,Unassigned
2022-11-14,2022-11-14,False,Non_DC_Event,Copper_to_DC,Transient,0.1236099822030436,0.0475301233902153,0.0760798588128283,-0.028549735422613007,1.7387038538360038,1.3537930010564825,5.0,,18.228474816713028,,Unassigned
2022-11-17,달러 반등과 Fed의 추가 긴축 발언으로 금이 후퇴,True,Copper_Supply_Transient,Copper_to_DC,Transient,0.3252690996395961,0.0621469789709501,0.263122120668646,-0.2009751416976959,1.6776962550163554,1.1772698908509125,17.0,1.0,10.191636694942988,1.0,Unassigned
