Date,Close
2020-01-02,"1,552.40"
2020-01-03,"1,552.40"
2020-01-06,"1,568.80"
2020-01-07,"1,574.30"
2020-01-08,"1,560.20"
2020-01-09,"1,554.30"
2020-01-10,"1,560.10"
2020-01-13,"1,550.60"
2020-01-14,"1,544.60"
2020-01-15,"1,554.00"
2020-01-16,"1,550.50"
2020-01-17,"1,560.30"
2020-01-20,"1,557.90"
2020-01-21,"1,557.90"
2020-01-22,"1,556.70"
2020-01-23,"1,565.40"
2020-01-24,"1,571.90"
2020-01-27,"1,577.40"
2020-01-28,"1,569.80"
2020-01-29,"1,570.40"
2020-01-30,"1,586.50"
2020-01-31,"1,584.90"
2020-02-03,"1,579.50"
2020-02-04,"1,552.70"
2020-02-05,"1,560.10"
2020-02-06,"1,567.20"
2020-02-07,"1,570.60"
2020-02-10,"1,576.60"
2020-02-11,"1,567.20"
2020-02-12,"1,568.80"
2020-02-13,"1,576.30"
2020-02-14,"1,583.80"
2020-02-17,"1,603.60"
2020-02-18,"1,601.00"
2020-02-19,"1,608.80"
2020-02-20,"1,617.40"
2020-02-21,"1,645.10"
2020-02-24,"1,673.50"
2020-02-25,"1,647.00"
2020-02-26,"1,640.40"
2020-02-27,"1,642.50"
2020-02-28,"1,566.70"
2020-03-02,"1,594.80"
2020-03-03,"1,644.40"
2020-03-04,"1,643.00"
2020-03-05,"1,668.00"
2020-03-06,"1,672.40"
2020-03-09,"1,675.70"
2020-03-10,"1,660.30"
2020-03-11,"1,642.30"
2020-03-12,"1,590.30"
2020-03-13,"1,516.70"
2020-03-16,"1,486.50"
2020-03-17,"1,525.80"
2020-03-18,"1,477.90"
2020-03-19,"1,479.30"
2020-03-20,"1,484.60"
2020-03-23,"1,567.60"
2020-03-24,"1,660.80"
2020-03-25,"1,633.40"
2020-03-26,"1,651.20"
2020-03-27,"1,625.00"
2020-03-30,"1,637.10"
2020-03-31,"1,589.30"
2020-04-01,"1,584.10"
2020-04-02,"1,630.70"
2020-04-03,"1,637.60"
2020-04-06,"1,684.00"
2020-04-07,"1,672.60"
2020-04-08,"1,674.10"
2020-04-09,"1,739.90"
2020-04-13,"1,749.80"
2020-04-14,"1,759.10"
2020-04-15,"1,729.60"
2020-04-16,"1,722.70"
2020-04-17,"1,690.80"
2020-04-20,"1,703.40"
2020-04-21,"1,678.30"
2020-04-22,"1,727.40"
2020-04-23,"1,733.40"
2020-04-24,"1,724.20"
2020-04-27,"1,712.60"
2020-04-28,"1,710.60"
2020-04-29,"1,713.40"
2020-04-30,"1,694.20"
2020-05-01,"1,700.90"
2020-05-04,"1,713.30"
2020-05-05,"1,710.60"
2020-05-06,"1,688.50"
2020-05-07,"1,725.80"
2020-05-08,"1,713.90"
2020-05-11,"1,698.00"
2020-05-12,"1,706.80"
2020-05-13,"1,716.40"
2020-05-14,"1,740.90"
2020-05-15,"1,756.30"
2020-05-18,"1,734.40"
2020-05-19,"1,745.60"
2020-05-20,"1,752.10"
2020-05-21,"1,721.90"
2020-05-22,"1,735.50"
2020-05-25,"1,705.60"
2020-05-26,"1,705.60"
2020-05-27,"1,710.70"
2020-05-28,"1,719.80"
2020-05-29,"1,742.90"
2020-06-01,"1,743.30"
2020-06-02,"1,728.90"
2020-06-03,"1,701.00"
2020-06-04,"1,721.80"
2020-06-05,"1,678.50"
2020-06-08,"1,699.90"
2020-06-09,"1,717.00"
2020-06-10,"1,715.50"
2020-06-11,"1,734.70"
2020-06-12,"1,732.00"
2020-06-15,"1,721.80"
2020-06-16,"1,731.50"
2020-06-17,"1,730.30"
2020-06-18,"1,726.00"
2020-06-19,"1,747.10"
2020-06-22,"1,758.40"
2020-06-23,"1,774.10"
2020-06-24,"1,768.10"
2020-06-25,"1,763.10"
2020-06-26,"1,773.30"
2020-06-29,"1,781.20"
2020-06-30,"1,800.50"
2020-07-01,"1,779.90"
2020-07-02,"1,790.00"
2020-07-03,"1,793.50"
2020-07-06,"1,793.50"
2020-07-07,"1,809.90"
2020-07-08,"1,820.60"
2020-07-09,"1,803.80"
2020-07-10,"1,801.90"
2020-07-13,"1,814.10"
2020-07-14,"1,813.40"
2020-07-15,"1,813.80"
2020-07-16,"1,800.30"
2020-07-17,"1,810.00"
2020-07-20,"1,817.40"
2020-07-21,"1,843.90"
2020-07-22,"1,865.10"
2020-07-23,"1,890.00"
2020-07-24,"1,897.50"
2020-07-27,"1,931.00"
2020-07-28,"1,944.60"
2020-07-29,"1,953.40"
2020-07-30,"1,949.50"
2020-07-31,"1,968.00"
2020-08-03,"1,969.50"
2020-08-04,"2,004.20"
2020-08-05,"2,032.90"
2020-08-06,"2,054.60"
2020-08-07,"2,014.30"
2020-08-10,"2,027.30"
2020-08-11,"1,935.70"
2020-08-12,"1,937.50"
2020-08-13,"1,959.30"
2020-08-14,"1,938.80"
2020-08-17,"1,987.10"
2020-08-18,"2,001.60"
2020-08-19,"1,960.50"
2020-08-20,"1,935.40"
2020-08-21,"1,936.00"
2020-08-24,"1,928.60"
2020-08-25,"1,912.50"
2020-08-26,"1,941.70"
2020-08-27,"1,922.30"
2020-08-28,"1,966.80"
2020-08-31,"1,970.50"
2020-09-01,"1,970.80"
2020-09-02,"1,936.90"
2020-09-03,"1,930.20"
2020-09-04,"1,926.20"
2020-09-07,"1,943.20"
2020-09-08,"1,935.10"
2020-09-09,"1,946.80"
2020-09-10,"1,956.00"
2020-09-11,"1,939.50"
2020-09-14,"1,954.70"
2020-09-15,"1,958.00"
2020-09-16,"1,962.00"
2020-09-17,"1,941.30"
2020-09-18,"1,953.20"
2020-09-21,"1,902.10"
2020-09-22,"1,899.30"
2020-09-23,"1,860.50"
2020-09-24,"1,868.90"
2020-09-25,"1,857.80"
2020-09-28,"1,872.80"
2020-09-29,"1,898.70"
2020-09-30,"1,891.30"
2020-10-01,"1,912.30"
2020-10-02,"1,903.80"
2020-10-05,"1,916.10"
2020-10-06,"1,904.80"
2020-10-07,"1,886.80"
2020-10-08,"1,891.00"
2020-10-09,"1,921.90"
