Shock_Var,Response_Var,N_Dates,Yes_Rate,Mean_Sig_Count,Median_Sig_Count,Mean_Cum_IRF,Median_Cum_IRF,Mean_Peak_Abs_IRF,Median_Peak_Abs_IRF,H0_Sig_Rate,Mean_H0_IRF,Positive_Rate,Negative_Rate,Mixed_Rate,Mean_Selected_Lag,Stable_Rate,Mean_Boot_Valid_Repl,Mean_Boot_Failed_Repl
dlog_SOLVPN,d_VIX,916,1.0,1.2914847161572052,1.0,-0.45075358379381014,-0.416258325734442,0.5212819041885496,0.5024104180030895,1.0,-0.5212819041885496,0.0,0.740174672489083,0.259825327510917,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,dlog_SILVER,916,0.9967248908296943,1.0207423580786026,1.0,0.547498708027287,0.5673717264785212,0.5456399889780791,0.5544023270829538,0.9967248908296943,0.5443989321297339,0.9956331877729258,0.0,0.001091703056768559,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,dlog_SILVER,916,0.9945414847161572,1.1539301310043668,1.0,0.32178200743775803,0.3274016226397831,0.3541324508401117,0.35265850353313105,0.9945414847161572,0.35303302337874476,0.8351528384279476,0.0,0.15938864628820962,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,dlog_GOLD,916,0.9519650655021834,1.0807860262008733,1.0,0.23190659783858072,0.25203277111230976,0.269877274932234,0.26285616026563263,0.9519650655021834,0.26338853230814424,0.8231441048034934,0.0,0.12882096069868995,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,dlog_DXY,916,0.8384279475982532,0.8384279475982532,1.0,-0.24904046761864373,-0.26446236197148254,0.29703264106598654,0.2851251094954026,0.8384279475982532,-0.27511673505830714,0.0,0.8384279475982532,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SOLVPN,dlog_DXY,916,0.7631004366812227,0.8275109170305677,1.0,-0.286722292676541,-0.25433939121121163,0.379258196901392,0.3276945128602461,0.7631004366812227,-0.3154290252917051,0.0,0.7248908296943232,0.03820960698689956,1.0032751091703056,1.0,500.0,0.0
dlog_SOLVPN,dlog_SILVER,916,0.7358078602620087,0.7445414847161572,1.0,0.22613137173995118,0.27572897090517623,0.30923183633298496,0.3057919604006214,0.7358078602620087,0.24243469990928615,0.7270742358078602,0.0,0.008733624454148471,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,dlog_DXY,916,0.7292576419213974,0.74235807860262,1.0,-0.2322314294088967,-0.22855938987993268,0.3163041415145164,0.33239307572536725,0.7292576419213974,-0.2532557221362409,0.0,0.7292576419213974,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SOLVPN,dlog_COPPER,916,0.7008733624454149,0.722707423580786,1.0,0.18271610386488502,0.2097954244174624,0.25514824476976794,0.23971645464553937,0.7008733624454149,0.20943673252094833,0.7008733624454149,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,d_UST10Y,916,0.6320960698689956,0.730349344978166,1.0,-0.1787783571689132,-0.16347454779061696,0.31486925361623846,0.28486576286014426,0.6320960698689956,-0.2315950938249054,0.0,0.5360262008733624,0.09606986899563319,1.0032751091703056,1.0,500.0,0.0
dlog_SOLVPN,dlog_GOLD,916,0.6179039301310044,0.6408296943231441,1.0,0.17528752892221294,0.21662040483813938,0.28624421290813057,0.27284903468211463,0.6179039301310044,0.194243448822263,0.6026200873362445,0.0,0.015283842794759825,1.0032751091703056,1.0,500.0,0.0
dlog_SOLVPN,d_UST10Y,916,0.5764192139737991,0.5764192139737991,1.0,-0.24857929946796542,-0.22870448132898027,0.4312474210466976,0.3914919643573792,0.5764192139737991,-0.2876878103577118,0.0,0.5764192139737991,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,d_UST10Y,916,0.5141921397379913,0.6746724890829694,1.0,0.20606258527278465,0.11726942004564828,0.3397259128827062,0.3558509631530811,0.5141921397379913,0.21321034123704855,0.4923580786026201,0.0,0.021834061135371178,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,d_VIX,916,0.34388646288209607,0.361353711790393,0.0,-0.015333412755876154,0.0,0.2083571592247856,0.15998607354496625,0.34388646288209607,-0.024759927099778686,0.19213973799126638,0.13427947598253276,0.017467248908296942,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,d_UST10Y,916,0.3406113537117904,0.3406113537117904,0.0,0.0683775825713319,0.0,0.20074956934403854,0.19979004187636898,0.3406113537117904,0.097336974782926,0.3406113537117904,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,d_VIX,916,0.33406113537117904,0.3460698689956332,0.0,-0.07045851622088987,0.0,0.2052414938651787,0.201292562923987,0.33406113537117904,-0.06380486218453649,0.002183406113537118,0.3318777292576419,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,d_VIX,916,0.3165938864628821,0.388646288209607,0.0,-0.044282223752379765,0.0,0.20098076894970612,0.22080752697175965,0.3165938864628821,-0.08860642215024123,0.0032751091703056767,0.24126637554585154,0.07205240174672489,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,dlog_DXY,916,0.2576419213973799,0.2576419213973799,0.0,0.005079015370953362,0.0,0.24242588726638392,0.24002042385941666,0.2576419213973799,0.011626858889074327,0.1168122270742358,0.1408296943231441,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,d_VIX,916,0.22161572052401746,0.22161572052401746,0.0,-0.02657764404374675,0.0,0.1644206003554478,0.17797819409068927,0.22161572052401746,-0.052746487329069926,0.06986899563318777,0.1517467248908297,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,d_VIX,916,0.18013100436681223,0.18231441048034935,0.0,0.031043914933074332,0.0,0.17361531989211879,0.18019796789019601,0.18013100436681223,0.06392044324018262,0.1779475982532751,0.0,0.002183406113537118,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,d_UST10Y,916,0.036026200873362446,0.036026200873362446,0.0,0.0043555692173143905,0.0,0.14389492705355195,0.13501049014421576,0.036026200873362446,0.03208450456183613,0.03384279475982533,0.002183406113537118,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,dlog_COPPER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,dlog_DXY,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,dlog_GOLD,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,dlog_SILVER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_UST10Y,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,d_UST10Y,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,dlog_COPPER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,dlog_DXY,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,dlog_GOLD,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,dlog_SILVER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
d_VIX,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_COPPER,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,dlog_COPPER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,dlog_GOLD,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,dlog_SILVER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_DXY,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,dlog_COPPER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_GOLD,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,dlog_COPPER,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,dlog_GOLD,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
dlog_SILVER,dlog_SOLVPN,916,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0032751091703056,1.0,500.0,0.0
