Date,Shock_Var,Response_Var,Selected_Lag,Model_Stable,Horizon,IRF,CI_Lower,CI_Upper,CI_Width,Significant,Direction,Boot_Valid_Repl,Boot_Failed_Repl,Boot_Quality_Flag
2021-05-20,dlog_COPPER,d_VIX,1,Yes,0,-0.24814644243104528,-0.4690054145750979,-0.04164780857597178,0.42735760599912614,Yes,Negative,500,0,OK
2021-05-20,dlog_COPPER,dlog_DXY,1,Yes,0,-0.3657504673091613,-0.44489473778204464,-0.24753864253723776,0.19735609524480688,Yes,Negative,500,0,OK
2021-05-20,dlog_COPPER,dlog_SILVER,1,Yes,0,0.32578041565108967,0.12698161146593162,0.49432947497303625,0.36734786350710463,Yes,Positive,500,0,OK
2021-05-20,dlog_GOLD,d_UST10Y,1,Yes,0,-0.12691822970275482,-0.22338986037045486,-0.0006693395733777272,0.22272052079707713,Yes,Negative,500,0,OK
2021-05-20,dlog_GOLD,dlog_DXY,1,Yes,0,-0.22202578123378128,-0.30605771859411696,-0.117791196567131,0.18826652202698596,Yes,Negative,500,0,OK
2021-05-20,dlog_GOLD,dlog_SILVER,1,Yes,0,0.5874266060887169,0.4233452124281669,0.6831819578321927,0.2598367454040258,Yes,Positive,500,0,OK
2021-05-20,dlog_SILVER,d_UST10Y,1,Yes,0,0.12619424562235143,0.01915749983730223,0.20625695212981007,0.18709945229250785,Yes,Positive,500,0,OK
2021-05-20,dlog_SOLVPN,d_UST10Y,1,Yes,0,-0.23603531024818378,-0.3682433456796731,-0.09992371694007449,0.2683196287395986,Yes,Negative,500,0,OK
2021-05-20,dlog_SOLVPN,d_VIX,1,Yes,0,-0.6039617783433983,-0.8794584098929221,-0.3237035505802394,0.5557548593126826,Yes,Negative,500,0,OK
2021-05-20,dlog_SOLVPN,dlog_DXY,1,Yes,0,-0.23065049946657945,-0.35169742657103853,-0.1018096880539657,0.24988773851707283,Yes,Negative,500,0,OK
2021-05-20,dlog_SOLVPN,dlog_DXY,1,Yes,1,-0.1622920816777986,-0.27938090513257813,-0.009228387760248898,0.2701525173723292,Yes,Negative,500,0,OK
2021-05-20,dlog_SOLVPN,dlog_GOLD,1,Yes,0,0.3572510096420565,0.14429517126329397,0.568040596294463,0.4237454250311691,Yes,Positive,500,0,OK
2021-05-20,dlog_SOLVPN,dlog_SILVER,1,Yes,0,0.4177847011409668,0.1513436165466875,0.657007161710208,0.5056635451635205,Yes,Positive,500,0,OK
2021-05-24,dlog_COPPER,d_VIX,1,Yes,0,-0.24926524534933087,-0.4489687016411727,-0.03896290871103767,0.410005792930135,Yes,Negative,500,0,OK
2021-05-24,dlog_COPPER,dlog_DXY,1,Yes,0,-0.3617241654958158,-0.4614554854518251,-0.23169139298507105,0.22976409246675403,Yes,Negative,500,0,OK
2021-05-24,dlog_COPPER,dlog_SILVER,1,Yes,0,0.32510236489481364,0.1371389993651087,0.5223437145941735,0.3852047152290648,Yes,Positive,500,0,OK
2021-05-24,dlog_GOLD,d_UST10Y,1,Yes,0,-0.12661936915047606,-0.22665900345993303,-0.00848774019763654,0.2181712632622965,Yes,Negative,500,0,OK
2021-05-24,dlog_GOLD,dlog_DXY,1,Yes,0,-0.2225191378374916,-0.30079393681371336,-0.123097612251802,0.17769632456191137,Yes,Negative,500,0,OK
2021-05-24,dlog_GOLD,dlog_SILVER,1,Yes,0,0.5877051958400036,0.423141638450183,0.6864757414943407,0.26333410304415766,Yes,Positive,500,0,OK
2021-05-24,dlog_SILVER,d_UST10Y,1,Yes,0,0.1251227060972666,0.026370258874633925,0.21376705677257246,0.18739679789793853,Yes,Positive,500,0,OK
2021-05-24,dlog_SOLVPN,d_UST10Y,1,Yes,0,-0.2432643245631312,-0.3594166795321954,-0.09097715519917139,0.26843952433302404,Yes,Negative,500,0,OK
2021-05-24,dlog_SOLVPN,d_VIX,1,Yes,0,-0.6042593494493974,-0.8645804469778168,-0.3359549425132534,0.5286255044645634,Yes,Negative,500,0,OK
2021-05-24,dlog_SOLVPN,dlog_DXY,1,Yes,0,-0.23934488840106008,-0.36282030979994984,-0.10214640284430862,0.2606739069556412,Yes,Negative,500,0,OK
2021-05-24,dlog_SOLVPN,dlog_DXY,1,Yes,1,-0.1599458015614563,-0.28359112423721494,-0.021325529011027175,0.26226559522618775,Yes,Negative,500,0,OK
2021-05-24,dlog_SOLVPN,dlog_GOLD,1,Yes,0,0.36035963719332365,0.1216223613789688,0.5822766909116446,0.46065432953267577,Yes,Positive,500,0,OK
2021-05-24,dlog_SOLVPN,dlog_SILVER,1,Yes,0,0.41876578814291815,0.12098545919008413,0.6828430855263722,0.561857626336288,Yes,Positive,500,0,OK
2021-05-25,dlog_COPPER,d_VIX,1,Yes,0,-0.25572183752227007,-0.4761774329521914,-0.04949216568494396,0.4266852672672474,Yes,Negative,500,0,OK
2021-05-25,dlog_COPPER,dlog_DXY,1,Yes,0,-0.3714629570993105,-0.45602215233980686,-0.238603112385963,0.21741903995384387,Yes,Negative,500,0,OK
2021-05-25,dlog_COPPER,dlog_SILVER,1,Yes,0,0.3244886281070402,0.12330483564866367,0.5246844695820444,0.4013796339333807,Yes,Positive,500,0,OK
2021-05-25,dlog_GOLD,dlog_DXY,1,Yes,0,-0.2247253176784198,-0.3015131631836478,-0.13017414305624134,0.17133902012740646,Yes,Negative,500,0,OK
2021-05-25,dlog_GOLD,dlog_SILVER,1,Yes,0,0.5897212785215167,0.4359026798650715,0.7001230831121747,0.2642204032471033,Yes,Positive,500,0,OK
2021-05-25,dlog_SILVER,d_UST10Y,1,Yes,0,0.12632341840315683,0.029580440297646723,0.21437203292530735,0.18479159262766062,Yes,Positive,500,0,OK
2021-05-25,dlog_SOLVPN,d_UST10Y,1,Yes,0,-0.24431872537352314,-0.36537197514769754,-0.09520043606851718,0.27017153907918035,Yes,Negative,500,0,OK
2021-05-25,dlog_SOLVPN,d_VIX,1,Yes,0,-0.6115286997308189,-0.8904932364977566,-0.36153930856109856,0.528953927936658,Yes,Negative,500,0,OK
2021-05-25,dlog_SOLVPN,dlog_DXY,1,Yes,0,-0.24311455703448223,-0.3689216861485076,-0.1027804820839817,0.2661412040645259,Yes,Negative,500,0,OK
2021-05-25,dlog_SOLVPN,dlog_DXY,1,Yes,1,-0.1541166447922039,-0.28685821122681393,-0.0001557224132870765,0.28670248881352683,Yes,Negative,500,0,OK
2021-05-25,dlog_SOLVPN,dlog_GOLD,1,Yes,0,0.36076745556784123,0.1121293538822246,0.5596049309282821,0.4474755770460575,Yes,Positive,500,0,OK
2021-05-25,dlog_SOLVPN,dlog_SILVER,1,Yes,0,0.4152072812415469,0.1327794427876537,0.696166701561339,0.5633872587736852,Yes,Positive,500,0,OK
2021-05-26,dlog_COPPER,d_VIX,1,Yes,0,-0.2558055845947929,-0.49005676030685946,-0.05073263495749976,0.4393241253493597,Yes,Negative,500,0,OK
