t,rho_normal,rho_transpose,stable_normal,stable_transpose
1005,1.128171698338665,1.128171698338664,False,False
1006,1.0273477515179272,1.0273477515179275,False,False
1007,1.4486474156171198,1.448647415617123,False,False
1008,0.8324324097481267,0.8324324097481277,True,True
1009,1.2443018138798168,1.2443018138798154,False,False
1010,1.0369528291644825,1.0369528291644827,False,False
1011,0.8638035205033137,0.8638035205033129,True,True
1012,1.4393513126244768,1.4393513126244764,False,False
1013,1.1736754049807554,1.1736754049807523,False,False
1014,0.9418577575638499,0.9418577575638513,True,True
1015,1.265789132097889,1.2657891320978862,False,False
1016,1.238317394657082,1.2383173946570811,False,False
1017,1.0454649457327256,1.0454649457327245,False,False
1018,0.8434631874206505,0.8434631874206514,True,True
1019,1.3827506060556776,1.3827506060556745,False,False
1020,1.026648502136276,1.0266485021362781,False,False
1021,1.505941839290902,1.505941839290903,False,False
1022,1.1506540294416348,1.150654029441636,False,False
1023,1.1500561493769919,1.1500561493769925,False,False
1024,1.0387847232311644,1.0387847232311642,False,False
1025,1.2020995776551517,1.2020995776551533,False,False
1026,1.2046344060020897,1.2046344060020913,False,False
1027,0.9809597866839797,0.980959786683981,True,True
1028,1.426013307390439,1.4260133073904346,False,False
1029,1.0294043116302667,1.0294043116302676,False,False
1030,0.8753054278027813,0.8753054278027811,True,True
1031,1.1078546111867518,1.1078546111867489,False,False
1032,1.2196685209543239,1.2196685209543274,False,False
1033,1.6421657699373702,1.6421657699373715,False,False
1034,1.1813433677278573,1.1813433677278609,False,False
