t,TCI,diag_mean,offdiag_mean,diag_minus_offdiag,row_err,net_abs_mean
0,45.32382261118939,0.5467617738881061,0.05035980290132155,0.49640197098678457,2.220446049250313e-16,0.23002850090126287
1,45.35446604564116,0.5464553395435884,0.050393851161823516,0.4960614883817649,2.220446049250313e-16,0.1199544051535996
2,55.77446514183004,0.4422553485816996,0.06197162793536671,0.3802837206463329,2.220446049250313e-16,0.24474557696123783
3,60.508660132310354,0.39491339867689645,0.06723184459145594,0.32768155408544053,2.220446049250313e-16,0.2876690385555293
4,74.07689308249722,0.259231069175028,0.08230765898055246,0.1769234101944755,2.220446049250313e-16,0.3880212275210016
5,79.85857707894091,0.20141422921059088,0.08873175230993434,0.11268247690065654,2.220446049250313e-16,0.25489579096870035
6,79.81064378929702,0.20189356210702983,0.08867849309921891,0.11321506900781092,2.220446049250313e-16,0.3065782151369424
7,83.29933684226219,0.16700663157737805,0.09255481871362466,0.0744518128637534,2.220446049250313e-16,0.45996783245061473
8,82.84277979603797,0.1715722020396201,0.09204753310670885,0.07952466893291124,2.220446049250313e-16,0.2917582903928407
9,86.36610204596003,0.13633897954039959,0.09596233560662226,0.04037664393377732,2.220446049250313e-16,0.4281203340398565
10,82.70358345502264,0.17296416544977342,0.0918928705055807,0.08107129494419271,2.220446049250313e-16,0.233577807969795
11,82.07258370008871,0.1792741629991131,0.09119175966676524,0.08808240333234788,2.220446049250313e-16,0.23427545618708878
12,82.2552381882456,0.17744761811754384,0.09139470909805066,0.08605290901949318,2.220446049250313e-16,0.55513575553432
13,64.5981482462943,0.35401851753705704,0.07177572027366033,0.28224279726339674,2.220446049250313e-16,0.14596502552337567
14,77.86003167911646,0.2213996832088354,0.0865111463101294,0.134888536898706,2.220446049250313e-16,0.26280501088633906
15,78.53218596991714,0.21467814030082844,0.08725798441101905,0.12742015588980937,2.220446049250313e-16,0.28962780143473826
16,79.46609762058394,0.20533902379416052,0.08829566402287103,0.11704335977128949,2.220446049250313e-16,0.2680791081874008
17,76.76470867047851,0.23235291329521468,0.08529412074497612,0.14705879255023857,2.220446049250313e-16,0.3484916451224126
18,78.84366197866936,0.2115633802133064,0.08760406886518818,0.12395931134811822,2.220446049250313e-16,0.3663877343036751
19,76.06623766539987,0.23933762334600112,0.0845180418504443,0.1548195814955568,2.220446049250313e-16,0.31462831050779616
20,76.2837131268401,0.23716286873159892,0.08475968125204454,0.1524031874795544,2.220446049250313e-16,0.3196805410471568
21,76.00376688491694,0.23996233115083032,0.08444862987212993,0.1555137012787004,2.220446049250313e-16,0.3182052869496675
22,68.3268430344198,0.31673156965580185,0.07591871448268867,0.24081285517311318,2.220446049250313e-16,0.19867953364938
23,70.7146256564012,0.29285374343598797,0.07857180628489022,0.21428193715109775,2.220446049250313e-16,0.22001523765395822
24,68.72759202141553,0.3127240797858444,0.07636399113490613,0.23636008865093824,1.1102230246251565e-16,0.2180662480329867
25,67.38771571787034,0.32612284282129667,0.0748752396865226,0.25124760313477407,2.220446049250313e-16,0.19371681442025768
26,66.7194468950064,0.3328055310499361,0.07413271877222932,0.2586728122777068,4.440892098500626e-16,0.216132285389724
27,64.84220248648647,0.3515779751351351,0.07204689165165164,0.2795310834834835,2.220446049250313e-16,0.17324737623635184
28,65.54384881885144,0.34456151181148564,0.07282649868761272,0.27173501312387294,2.220446049250313e-16,0.18093159924960608
29,62.974660284499805,0.370253397155002,0.06997184476055533,0.30028155239444665,3.3306690738754696e-16,0.18629398524199478
30,61.81623114130497,0.38183768858695044,0.06868470126811664,0.3131529873188338,3.3306690738754696e-16,0.1864603905487086
31,61.42400467274409,0.38575995327255913,0.06824889408082677,0.3175110591917324,2.220446049250313e-16,0.12913634341842278
32,62.26031159055662,0.37739688409443384,0.06917812398950736,0.3082187601049265,2.220446049250313e-16,0.16738044908370128
33,67.0245821529709,0.32975417847029104,0.07447175794774544,0.2552824205225456,2.220446049250313e-16,0.22623202696492148
34,59.84855469693253,0.40151445303067473,0.06649839410770281,0.3350160589229719,2.220446049250313e-16,0.1412514989864951
35,59.99334646673328,0.40006653533266706,0.06665927385192585,0.3334072614807412,2.220446049250313e-16,0.15585748758716644
36,59.124157347464724,0.4087584265253529,0.0656935081638497,0.3430649183615032,2.220446049250313e-16,0.1989299938819319
37,57.83221809829333,0.42167781901706664,0.06425802010921482,0.3574197989078518,2.220446049250313e-16,0.19318714811939433
38,56.990466573362994,0.43009533426637,0.06332274063707,0.3667725936293,2.220446049250313e-16,0.18460067405919306
39,56.1993697660118,0.43800630233988225,0.06244374418445755,0.3755625581554247,1.1102230246251565e-16,0.15332107198465134
