t,diag_min,diag_max,diag_mean,offdiag_abs_mean,symmetry_max_abs_diff,eig_min,eig_max,is_psd_like
0,0.951713652877972,1.0103778195287223,0.9640030181519178,0.20392450979891283,0.0,0.3492495787749289,2.4513755640532353,True
1,0.9054084520076074,0.9783559601933183,0.9305026202009817,0.19395018252770124,0.0,0.336064802235307,2.3477052937584304,True
2,0.8662803015620071,0.9443486811904536,0.8993301341539391,0.1821443207492008,0.0,0.32980837347515507,2.2365111299324827,True
3,0.8244643120956174,0.9568296194237565,0.871917911176682,0.1769270140871399,0.0,0.3159588786179895,2.1832494150199175,True
4,0.7963195208688983,0.9618813841575219,0.8462689948808054,0.17198912925061954,0.0,0.3029986221907342,2.128249184756735,True
5,0.7695518232383027,0.9647044188656374,0.8564948160229424,0.19363172786829694,0.0,0.29113705921088245,2.3465271420310176,True
6,0.7518876428142853,1.0842565063021967,0.8900537772574062,0.181419453402427,0.0,0.27788153373365737,2.2429883158299133,True
7,0.7252317637595802,1.038501316254039,0.8562876801231708,0.17266714486334003,0.0,0.26406158773217175,2.135961231100934,True
8,0.6890212570889628,1.7241222309229893,1.0436648634528984,0.29667055548426846,0.0,0.2509019839796363,3.340182246729034,True
9,0.7212399979132575,1.9652568643967792,1.1009255355832133,0.28013895969785246,0.0,0.23847209404992853,3.2902868564963024,True
10,0.6890429719982215,1.8868194323423644,1.0663591412522198,0.27071368121157446,0.0,0.23235521560736966,3.1832745650091616,True
11,0.6863452853756087,1.8497641010788357,1.0384572216987018,0.25904946162701464,0.0,0.22211124576825894,3.0740523749338617,True
12,0.7955020412859992,2.0754129622258146,1.113651295563046,0.25296277581153226,0.0,0.2114546405096858,3.249450311958364,True
13,0.7933062902485042,2.0203534044070683,1.128304373041648,0.2738572306530815,0.0,0.2076436631202014,3.3715337262739666,True
14,0.7537482883484935,2.0579962067976156,1.3791541524147775,0.4462906487371751,0.0,0.23436339217059046,4.937734224130386,True
15,0.7166168674672495,3.8422890309869784,1.6447154332054403,0.43251042929591277,0.0,0.22383480332791716,5.669455969986085,True
16,0.6837738417368279,5.523602938669707,1.883524239071478,0.4828686633258326,0.0,0.22229775358145232,7.28961822864927,True
17,0.6504502247236501,5.247867973202219,1.8539926002051417,0.46516279005529165,0.0,0.2129261448726512,6.989127796467853,True
18,0.6265285913360524,4.989961723131621,1.7749127977520587,0.44510101395615803,0.0,0.2251994554894625,6.662162543498197,True
19,0.6301090358547776,4.744766529687274,1.7015364900952883,0.42070077176220366,0.0,0.2187793997777273,6.329521443066857,True
20,0.5986286386146541,4.5705074836254305,1.6288252955723261,0.3986006813609426,0.0,0.21002273102898525,6.039856253927958,True
21,0.5688001522001641,4.38909865800419,1.568247488924251,0.3756949896892534,0.0,0.19953404358086435,5.7487022929968195,True
22,0.5551407890763758,4.175075232449959,1.5424370741002498,0.36902061000444425,0.0,0.19462631152651533,5.543218014965632,True
23,0.5752066592346838,3.9706327146319893,1.501139590855453,0.34719017129317514,0.0,0.18521408963034394,5.2852881427160385,True
24,0.5518711709925556,3.9261067900219926,1.455340823723537,0.3410217553983261,0.0,0.17634784694377675,5.207386753989783,True
25,0.532322872148646,3.7304199651961736,1.4032121468275658,0.3257081299312191,0.0,0.20994360735410275,4.972556814133473,True
26,0.6393957421287887,3.545824809439574,1.4560415021631603,0.33950554426208984,0.0,0.1998054145999607,4.84979866300479,True
27,0.6100258252175844,3.382931008872511,1.428038209253492,0.3256104448074804,0.0,0.19236447231589188,4.616138982143978,True
28,0.5837080956835211,3.218022220106166,1.3785472994075942,0.31435458227767116,0.0,0.1865957451919099,4.4020378748315245,True
29,0.5547299085017534,3.058171804995504,1.3473866009719586,0.2998500503281556,0.0,0.19419420458336709,4.26421112237826,True
30,0.5293034017374371,2.908201406603333,1.2908685581061232,0.2840826119086621,0.0,0.19037527429270637,4.052007306418591,True
31,0.5113680133241112,2.983162446394266,1.3045039004116785,0.2950431284544789,0.0,0.1808882112481612,4.336126806735171,True
32,0.5144089372620652,2.900075076050026,1.2619705373443335,0.2778781801825121,0.0,0.1721512394863335,4.172918688077243,True
33,0.4886908684583241,2.7711440235947338,1.2238143046165217,0.2710508119075683,0.0,0.17971729453354196,4.076338638558353,True
34,0.4642564271491979,2.6409768090677717,1.1827998067087475,0.266237777631733,0.0,0.17075196411714116,3.9581941865887003,True
35,0.4664687625161422,2.5274647215683825,1.1540660216888667,0.2679359252818046,0.0,0.1712526298594699,3.9003588761488106,True
36,0.4639279755071893,2.5554664569271823,1.186081283486216,0.3033266754655811,0.0,0.16475519745804873,4.248124441657922,True
37,0.473189628819582,2.469308770720075,1.195720551373353,0.31642436729843104,0.0,0.1869160457187895,4.269295463742933,True
38,0.5305506757043941,2.3720078115829843,1.2161759138044772,0.3200285456636642,0.0,0.17769699402747802,4.230002723684944,True
39,0.5089297860259087,2.2665086506430674,1.1787965711296289,0.3174985201002511,0.0,0.1698272045105354,4.158372233276611,True
40,0.4839195746620586,2.1552775785343865,1.1289502466557606,0.3016504804045577,0.0,0.19646470591695164,3.9691544889899535,True
41,0.4672181697798556,2.062837501632858,1.0888113707499434,0.2903405044970238,0.0,0.19919586808217754,3.82341803402345,True
42,0.44452506400299285,1.9859576354460584,1.0529843149457734,0.28118711601108004,0.0,0.1959339887353204,3.7117790677176807,True
43,0.4226886467065674,1.9537059105680308,1.0993299628011808,0.25607063510264805,0.0,0.20605032727548628,3.594230083814141,True
44,0.4175078667737203,1.8971356868019775,1.1591105859540547,0.27909435101599445,0.0,0.19741338288324167,3.517193118909958,True
45,0.48343632670518294,1.972856801784989,1.2058361069223031,0.30108149995091266,0.0,0.1876368266282316,3.887672322454529,True
46,0.4924351073764963,2.03757917321131,1.2044485232584419,0.28427234867252926,0.0,0.1840658709475533,3.6953111170587762,True
47,0.467969205600172,1.94473896111359,1.287024740217349,0.29194587810325595,0.0,0.2513177785107741,3.758452484320946,True
48,0.4450303695283676,1.9734812578277232,1.3104776357107621,0.27430022252312225,0.0,0.24704765656146352,3.590575254796088,True
49,0.4475992214968238,1.9169297508637204,1.2682926384108835,0.2572163317026366,0.0,0.24005302114933535,3.414440806270166,True
50,0.43595736260794715,1.8411653985301895,1.222319045182953,0.2471310976056804,0.0,0.24746460361454928,3.2866601990348085,True
51,0.41665137262351537,1.812804845464298,1.179836043553416,0.23162153156885615,0.0,0.2510707801574349,3.124749285829237,True
52,0.3985158259777964,1.7800374513637724,1.1490842348860066,0.2308504116689155,0.0,0.23873778321994693,3.1112799901553467,True
53,0.3834329889933985,1.7682999938667154,1.1234681186292073,0.22992476532039963,0.0,0.23927015213430713,3.0523365065343397,True
54,0.3955431913694714,1.7119287719879517,1.0875141792018674,0.22118734661467568,0.0,0.25204434622054445,2.9099407585635833,True
55,0.37609523453156585,1.6273230636502827,1.0400005997702735,0.21147440380515084,0.0,0.24821722777707142,2.7887386556710223,True
56,0.3581464040221375,3.87701831144735,1.450765597845915,0.2922637301993906,0.0,0.24501388651888306,4.754682565694638,True
57,0.39606205129807787,3.69334010812477,1.4250960743280559,0.2875214495779858,0.0,0.2368243593255082,4.534045525260407,True
58,0.3785812947918794,4.1818076264145345,1.7777204608018629,0.38518485217209386,0.0,0.22501136383449397,6.352590794760065,True
59,0.36022093525676985,6.544907886082059,2.3239512424348256,0.3576128083732662,0.0,0.22606958017081505,6.9799212158352635,True
60,0.3760665313944881,6.3367576773476015,2.2441219346712478,0.3523168293528341,0.0,0.22470094186524267,6.7699726995245175,True
61,0.3605563171859506,6.029022629481548,2.2080368098613725,0.3588200410824505,0.0,0.22032630233434092,6.433512899214932,True
62,0.3426318086595388,5.7276417268147775,2.117566625967176,0.34325820911687904,0.0,0.21040949101635892,6.115066576223559,True
63,0.3300082009380145,5.448207157219232,2.0371616298236694,0.33451444125419505,0.0,0.20565710902873555,5.817352489805781,True
64,0.3229859970399713,5.175828776118022,1.9447424550033905,0.31735120268600225,0.0,0.20995389903319403,5.528333618058393,True
65,0.3203218778098547,4.917656079205121,1.8679530557484847,0.3094266831064968,0.0,0.20113303949791667,5.253085059676895,True
66,0.3556187642712181,4.737146380413287,1.8062181367908805,0.2967125750951646,0.0,0.1932564671996325,5.067918238073572,True
67,0.358940568192818,4.533401182689385,1.7422409709531284,0.28388851877308996,0.0,0.1883444744301556,4.840722564702108,True
68,0.34099880618853545,4.306776443839522,1.6736134726769782,0.2670353681061714,0.0,0.18771651755969382,4.603133597280659,True
69,0.33672564048675324,4.200722609794842,1.6722644346951137,0.2735055881678608,0.0,0.17891241427129326,4.61770841909265,True
70,0.3254714509484292,4.020565078202214,1.6153649517226083,0.26222309991811077,0.0,0.1700119649884281,4.416474083830633,True
71,0.30919962632788206,3.821629338843774,1.5463221455131806,0.24836736224704872,0.0,0.17774882530933586,4.206038095798412,True
72,0.5144031329460208,5.032384046917223,1.723701913965232,0.2580981793763966,0.0,0.21129201128951128,5.348468502107448,True
73,0.5612195340622057,4.9249496242254445,1.6880404624730387,0.2533314529608419,0.0,0.2166930578076501,5.222002458582441,True
74,0.6309074885398517,4.692322765605343,1.6710658260889661,0.25409050556806384,0.0,0.21345731373380103,4.963930727227881,True
75,0.6252296041231195,4.682354314366896,1.7041000142769174,0.28069735778761623,0.0,0.2597813887215783,5.125063846784175,True
76,0.6207540622870932,4.668069019198733,1.7409544150256357,0.3241236175060914,0.0,0.25222930526685694,5.365785945772613,True
77,0.5916491361523472,4.573257981090621,1.7025027748388142,0.30905205168155647,0.0,0.2398072662450513,5.23668234284935,True
78,0.6205597880845347,4.367891868804011,1.81220711412498,0.3758309724536919,0.0,0.2516577223388256,5.226104368306787,True
79,0.6163197439047675,4.299060775173671,1.752877448987993,0.3614818379408764,0.0,0.24203563438660822,5.1080867004387045,True
80,0.6338489561751014,4.098126207976281,1.724413276921563,0.3464587564013854,0.0,0.23532636488640207,4.985455846259338,True
