datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,51288,WESTERN HUB,,,HUB,,19.4,19.97604,0.291562,0.284478,TRUE,1
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,51288,WESTERN HUB,,,HUB,,19.15,19.748228,0.350625,0.247603,TRUE,1
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,51288,WESTERN HUB,,,HUB,,18.78,19.62354,0.526458,0.317082,TRUE,1
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,51288,WESTERN HUB,,,HUB,,18.86,19.785415,0.580833,0.344582,TRUE,1
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,51288,WESTERN HUB,,,HUB,,19.6,20.497603,0.551666,0.345937,TRUE,1
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,51288,WESTERN HUB,,,HUB,,21.2,22.897289,1.342082,0.355207,TRUE,1
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,51288,WESTERN HUB,,,HUB,,23,24.977081,1.469165,0.507916,TRUE,1
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,51288,WESTERN HUB,,,HUB,,25.2,27.780518,1.966457,0.614061,TRUE,1
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,51288,WESTERN HUB,,,HUB,,25.55,27.915204,1.673331,0.691873,TRUE,1
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,51288,WESTERN HUB,,,HUB,,24.88,26.006144,0.525312,0.600832,TRUE,1
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,51288,WESTERN HUB,,,HUB,,26.3,26.843332,-0.02,0.563332,TRUE,1
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,51288,WESTERN HUB,,,HUB,,25.85,26.292707,-0.02,0.462707,TRUE,1
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,51288,WESTERN HUB,,,HUB,,25.85,26.236145,-0.02,0.406145,TRUE,1
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,51288,WESTERN HUB,,,HUB,,24.66,25.077603,-0.02,0.437603,TRUE,1
