datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,51288,WESTERN HUB,,,HUB,,24.21,24.114166,0.059375,-0.155209,TRUE,1
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,51288,WESTERN HUB,,,HUB,,23.54,23.437916,0.077292,-0.179376,TRUE,1
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,51288,WESTERN HUB,,,HUB,,22.84,22.776562,0.1425,-0.205938,TRUE,1
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,51288,WESTERN HUB,,,HUB,,22.7,22.572812,0.094062,-0.22125,TRUE,1
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,51288,WESTERN HUB,,,HUB,,22.71,22.351249,-0.138437,-0.220314,TRUE,1
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,51288,WESTERN HUB,,,HUB,,22.84,22.620208,-0.059479,-0.160313,TRUE,1
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,51288,WESTERN HUB,,,HUB,,24.57,24.442916,0.122291,-0.249375,TRUE,1
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,51288,WESTERN HUB,,,HUB,,27.28,27.752498,0.817499,-0.345001,TRUE,1
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,51288,WESTERN HUB,,,HUB,,28.41,28.512603,0.415208,-0.312605,TRUE,1
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,51288,WESTERN HUB,,,HUB,,29.15,28.990207,0.136979,-0.296772,TRUE,1
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,51288,WESTERN HUB,,,HUB,,27.2,27.283853,0.407395,-0.323542,TRUE,1
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,51288,WESTERN HUB,,,HUB,,27.5,27.37552,0.114896,-0.239376,TRUE,1
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,51288,WESTERN HUB,,,HUB,,26.25,26.217082,0.146666,-0.179584,TRUE,1
