Date,dlog_SOLVPN,dlog_COPPER,dlog_GOLD,dlog_SILVER,dlog_DXY,dlog_OIL,dlog_GAS,d_UST10Y,d_VIX,d_PJM_LMP
2022-12-01,0.08132010071015827,2.1036695593793953,3.0889185758611326,4.759058552282003,-1.1472873319255505,0.7180914848733622,-10.060991289922839,-0.10100000000000042,-0.7399999999999984,14.181365916666671
2022-12-05,-0.7126313602259238,-1.490808308828595,-1.8925896373731987,-2.048397934973689,0.704688263162101,-3.867991275553173,-17.020019626160977,0.09100000000000019,1.6900000000000013,8.763693916666675
2022-12-06,-1.2365736587136134,0.6042314455962705,0.06760944536088331,-0.30506977450999173,0.287502392255945,-3.4696276897501654,9.859066388348658,-0.052000000000000046,1.4200000000000017,-4.373594750000002
2022-12-07,-0.7850748921818251,1.1199491978543419,0.8692049677568647,2.5770392468367653,-0.4615436639864079,-3.120548810277768,-1.9846296371930583,-0.11000000000000032,0.509999999999998,-5.687724666666668
2022-12-08,0.8371947226402554,0.6196766537511333,0.17851170644718195,1.3915082986371452,-0.28597049210503656,-0.8797096459014497,6.467770966866082,0.06800000000000006,-0.39000000000000057,1.660641791666663
2022-12-12,0.5009931974640836,-2.031055366551282,-0.5140824911443964,0.6756927861814255,0.29061062934330195,2.6527491222966937,30.114525262007486,0.03100000000000014,2.1700000000000017,10.798935624999991
2022-12-13,2.416185130152293,1.0727470744259504,1.8483583411609494,2.5200918593155652,-1.1107664180879162,3.342629255912577,6.750588236537314,-0.1160000000000001,-2.4499999999999993,17.334707666666674
2022-12-14,-0.6317511645361762,0.9325284518175492,-0.3746767290216724,0.5838458554920045,-0.19645425757675028,2.2284314454879883,-9.614386055290236,-0.021999999999999797,-1.4100000000000001,4.989253166666657
2022-12-15,-2.273828522427923,-2.983343064074928,-1.7204845195561091,-3.469191757302026,0.761511523128533,-1.6337029364260403,3.8985446712953786,-0.028999999999999915,1.6899999999999977,-9.059609583333327
2022-12-19,-2.0725574071093433,0.5697266155784808,0.5823736921140465,-0.48332204732561834,-0.06308063060416202,1.152518787803647,-8.660010821969543,0.10199999999999987,-0.1999999999999993,18.54880670833333
2022-12-20,-0.46524920329584774,0.3955701360617514,1.5292851231101245,4.508162937013349,-0.9500506134798137,1.1525596222201173,-14.107859825990543,0.10200000000000031,-0.9400000000000013,-2.093343791666655
