Date,Close
2016-01-04,2.0795
2016-01-05,2.0955
2016-01-06,2.088
2016-01-07,2.022
2016-01-08,2.022
2016-01-11,1.9725
2016-01-12,1.959
2016-01-13,1.956
2016-01-14,1.976
2016-01-15,1.9435
2016-01-19,1.9775
2016-01-20,1.9595
2016-01-21,1.9965
2016-01-22,2.0025
2016-01-25,1.998
2016-01-26,2.0375
2016-01-27,2.064
2016-01-28,2.0555
2016-01-29,2.0705
2016-02-01,2.059
2016-02-02,2.0585
2016-02-03,2.0975
2016-02-04,2.134
2016-02-05,2.105
2016-02-08,2.0915
2016-02-09,2.0415
2016-02-10,2.029
2016-02-11,2.0085
2016-02-12,2.031
2016-02-16,2.054
2016-02-17,2.077
2016-02-18,2.0745
2016-02-19,2.0775
2016-02-22,2.116
2016-02-23,2.107
2016-02-24,2.098
2016-02-25,2.07
2016-02-26,2.125
2016-02-29,2.1325
2016-03-01,2.1455
2016-03-02,2.181
2016-03-03,2.2085
2016-03-04,2.2745
2016-03-07,2.2835
2016-03-08,2.222
2016-03-09,2.2325
2016-03-10,2.22
2016-03-11,2.241
2016-03-14,2.2395
2016-03-15,2.2335
2016-03-16,2.234
2016-03-17,2.2925
2016-03-18,2.2825
2016-03-21,2.2925
2016-03-22,2.2895
2016-03-23,2.2355
2016-03-24,2.229
2016-03-28,2.246
2016-03-29,2.214
2016-03-30,2.195
2016-03-31,2.188
2016-04-01,2.1685
2016-04-04,2.146
2016-04-05,2.144
2016-04-06,2.15
2016-04-07,2.084
2016-04-08,2.093
2016-04-11,2.095
2016-04-12,2.1505
2016-04-13,2.1725
2016-04-14,2.1755
2016-04-15,2.1575
2016-04-18,2.1695
2016-04-19,2.228
2016-04-20,2.2415
2016-04-21,2.253
2016-04-22,2.2665
2016-04-25,2.254
2016-04-26,2.243
2016-04-27,2.2205
2016-04-28,2.2315
2016-04-29,2.2835
2016-05-02,2.2665
2016-05-03,2.219
2016-05-04,2.1865
2016-05-05,2.154
2016-05-06,2.154
2016-05-09,2.1065
2016-05-10,2.0925
2016-05-11,2.1035
2016-05-12,2.0745
2016-05-13,2.074
2016-05-16,2.089
2016-05-17,2.089
2016-05-18,2.0785
2016-05-19,2.061
2016-05-20,2.0555
2016-05-23,2.055
2016-05-24,2.0665
2016-05-25,2.1015
2016-05-26,2.1025
2016-05-27,2.119
2016-05-31,2.1
2016-06-01,2.0775
2016-06-02,2.074
2016-06-03,2.1155
2016-06-06,2.121
2016-06-07,2.0545
2016-06-08,2.065
2016-06-09,2.042
2016-06-10,2.033
2016-06-13,2.055
2016-06-14,2.042
2016-06-15,2.092
2016-06-16,2.0505
2016-06-17,2.0535
2016-06-20,2.0945
2016-06-21,2.1165
2016-06-22,2.135
2016-06-23,2.1635
2016-06-24,2.113
2016-06-27,2.1235
2016-06-28,2.173
2016-06-29,2.186
2016-06-30,2.1955
2016-07-01,2.217
2016-07-05,2.1835
2016-07-06,2.1535
2016-07-07,2.1235
2016-07-08,2.119
2016-07-11,2.1475
