Date,Close,,,,,
2026-01-11,88.537,,,,,
2026-01-06,79.25,,,,,
2026-01-05,81.039,,,,,
2026-01-04,76.657,,,,,
2026-01-01,71.015,,,,,
2025-12-30,70.603,,,,,
2025-12-29,77.919,,,,,
2025-12-28,70.46,,,,,
2025-12-25,77.196,,,,,
2025-12-23,71.685,,,,,
2025-12-22,71.137,,,,,
2025-12-21,68.565,,,,,
2025-12-18,67.489,,,,,
2025-12-17,65.219,,,,,
2025-12-16,66.901,,,,,
2025-12-15,63.323,,,,,
2025-12-11,62.007,,,,,
2025-12-10,64.592,,,,,
2025-12-09,61.029,,,,,
2025-12-08,60.84,,,,,
2025-12-07,58.405,,,,,
2025-12-04,59.053,,,,,
2025-12-03,57.491,,,,,
2025-12-02,58.62,,,,,
2025-12-01,58.703,,,,,
2025-11-30,59.142,,,,,
2025-11-26,57.163,,,,,
2025-11-25,53.607,,,,,
2025-11-24,50.965,,,,,
2025-11-23,50.326,,,,,
2025-11-20,49.913,,,,,
2025-11-19,50.301,,,,,
2025-11-18,50.854,,,,,
2025-11-17,50.521,,,,,
2025-11-16,50.711,,,,,
2025-11-13,50.686,,,,,
2025-11-12,53.17,,,,,
2025-11-11,53.457,,,,,
2025-11-10,50.744,,,,,
2025-11-09,50.311,,,,,
2025-11-06,48.143,,,,,
2025-11-05,47.95,,,,,
2025-11-04,48.022,,,,,
2025-11-03,47.291,,,,,
2025-10-30,48.16,,,,,
2025-10-29,48.616,,,,,
2025-10-28,47.913,,,,,
2025-10-27,47.324,,,,,
2025-10-23,48.586,,,,,
2025-10-22,48.704,,,,,
2025-10-21,47.681,,,,,
2025-10-20,47.704,,,,,
2025-10-16,50.104,,,,,
2025-10-15,53.296,,,,,
2025-10-14,51.378,,,,,
2025-10-13,50.622,,,,,
2025-10-09,47.247,,,,,
2025-10-08,47.157,,,,,
2025-10-07,48.994,,,,,
2025-10-06,47.515,,,,,
2025-10-05,47.157,,,,,
2025-10-02,46.369,,,,,
2025-10-01,47.679,,,,,
2025-09-30,46.64,,,,,
2025-09-29,47.016,,,,,
2025-09-25,44.933,,,,,
2025-09-24,44.02,,,,,
2025-09-23,44.437,,,,,
2025-09-22,44.044,,,,,
2025-09-18,42.118,,,,,
2025-09-17,42.152,,,,,
2025-09-16,42.917,,,,,
2025-09-15,42.962,,,,,
2025-09-11,42.149,,,,,
2025-09-10,41.6,,,,,
2025-09-09,41.341,,,,,
2025-09-08,41.902,,,,,
2025-09-04,41.417,,,,,
2025-09-03,42.06,,,,,
2025-09-02,41.592,,,,,
2025-08-31,40.662,,,,,
2025-08-28,39.703,,,,,
2025-08-27,39.056,,,,,
2025-08-26,38.955,,,,,
2025-08-25,39.051,,,,,
2025-08-21,38.079,,,,,
2025-08-20,37.773,,,,,
2025-08-19,37.332,,,,,
2025-08-18,38.029,,,,,
2025-08-14,38.069,,,,,
2025-08-13,38.602,,,,,
2025-08-12,38.002,,,,,
2025-08-11,37.787,,,,,
2025-08-07,38.294,,,,,
2025-08-06,37.902,,,,,
2025-08-05,37.823,,,,,
2025-08-04,37.328,,,,,
2025-07-31,36.712,,,,,
2025-07-30,37.739,,,,,
2025-07-29,38.101,,,,,
2025-07-28,38.043,,,,,
2025-07-24,39.224,,,,,
2025-07-23,39.503,,,,,
2025-07-22,39.555,,,,,
2025-07-21,39.334,,,,,
2025-07-17,38.303,,,,,
2025-07-16,38.119,,,,,
2025-07-15,38.11,,,,,
2025-07-14,38.742,,,,,
2025-07-10,37.305,,,,,
2025-07-09,36.63,,,,,
2025-07-08,36.749,,,,,
2025-07-07,36.904,,,,,
2025-07-03,37.084,,,,,
2025-07-02,36.727,,,,,
2025-07-01,36.397,,,,,
2025-06-30,36.172,,,,,
2025-06-26,36.757,,,,,
2025-06-25,36.085,,,,,
2025-06-24,35.701,,,,,
2025-06-23,36.153,,,,,
2025-06-18,36.913,,,,,
2025-06-17,37.151,,,,,
2025-06-16,36.448,,,,,
2025-06-12,36.295,,,,,
2025-06-11,36.261,,,,,
2025-06-10,36.642,,,,,
2025-06-09,36.796,,,,,
2025-06-05,35.805,,,,,
2025-06-04,34.648,,,,,
2025-06-03,34.633,,,,,
2025-06-02,34.694,,,,,
2025-05-29,33.423,,,,,
2025-05-28,33.16,,,,,
2025-05-27,33.311,,,,,
2025-05-25,33.595,,,,,
2025-05-22,33.219,,,,,
2025-05-21,33.646,,,,,
