equation,arch_lags,lm_stat,lm_pvalue,f_stat,f_pvalue
dlog_SOLVPN,20,48.889842022769535,0.00031869738074533896,2.498811236469621,0.000272436163805261
dlog_COPPER,20,66.29860619987352,7.235989421121146e-07,3.4362533717956723,4.786333875357334e-07
dlog_DXY,20,118.76286786192395,4.830296536694759e-16,6.427944051667522,6.754673604947335e-17
d_UST10Y,20,100.07403284651336,1.2217587532507638e-12,5.332345494866615,3.4130982058109387e-13
dlog_VIX,20,90.07330891590846,7.197307874046007e-11,4.759927275176173,2.7318609223869322e-11
