Date,rolling_beta
2021-04-05,-0.010349291000580255
2021-04-06,-0.005175972741992038
2021-04-07,0.00211687579577452
2021-04-08,-0.007886343003979682
2021-04-09,-0.00603517910660345
2021-04-12,-0.009162044603108849
2021-04-13,-0.008533468253478949
2021-04-14,-0.020536233400463455
2021-04-15,-0.00466957976517475
2021-04-16,-0.005353677334433524
2021-04-19,-0.0030058749129651535
2021-04-20,-0.003462308653765997
2021-04-21,-0.0028422395414945817
2021-04-22,-0.0055364216414827
2021-04-23,-0.01080323749192029
2021-04-26,-0.012020334470156532
2021-04-27,0.0009106368959537758
2021-04-28,0.006120140940209393
2021-04-29,0.017005109794602236
2021-04-30,0.0329574366381908
2021-05-03,0.04179148488170557
2021-05-04,0.028610214174297127
2021-05-05,0.04203010838247455
2021-05-06,0.03609935764402507
2021-05-07,0.039890378646679436
2021-05-10,0.04398660922902628
2021-05-11,0.03235123175760041
2021-05-12,0.030589069120289233
2021-05-13,0.03948719945061624
2021-05-14,0.05264108883501481
2021-05-17,0.04605679196066764
2021-05-18,0.04252066894556639
2021-05-19,0.03632692370039667
2021-05-20,0.03685525272901284
2021-05-21,0.032292150604274025
2021-05-24,0.037208184379060066
2021-05-25,0.04724084174404136
2021-05-26,0.04384627363139948
2021-05-27,0.03588682677577071
2021-05-28,0.03374997890302657
2021-06-01,0.023277697762101868
2021-06-02,0.0074882976658079276
2021-06-03,0.00577944982463148
2021-06-04,0.006120799531918228
2021-06-07,-0.006574350058275613
2021-06-08,-0.0029595921343795184
2021-06-09,-0.0050284403155189256
2021-06-10,-0.008122270419465977
2021-06-11,-0.007593999131670047
2021-06-14,-0.009569729802196142
2021-06-15,0.026066454075027112
2021-06-16,0.024892655314303208
2021-06-17,0.02547327113511104
2021-06-18,0.022606358187150385
2021-06-21,0.026878978147556243
2021-06-22,0.020397440946214984
2021-06-23,0.009819411631498645
2021-06-24,0.017233415118069126
2021-06-25,0.0276481548180091
2021-06-28,0.02651485836679747
2021-06-29,0.022711374659071845
2021-06-30,0.0007761032119481814
2021-07-01,0.012598561539551342
2021-07-02,0.007819994718742854
2021-07-06,0.011252165534963943
2021-07-07,0.0010616018308843012
2021-07-08,0.001818425468592011
2021-07-09,0.0026040665460005663
2021-07-12,0.0004965767289572404
2021-07-13,0.0013118842814089232
2021-07-14,0.011312048347737885
2021-07-15,0.0016830440574454875
2021-07-16,-0.005237549465675215
2021-07-19,0.000553372559485496
2021-07-20,0.0015069644007032479
2021-07-21,0.0016264941514600728
2021-07-22,-0.0116559776733616
2021-07-23,-0.0158646545487668
2021-07-26,-0.026438422354469637
2021-07-27,-0.02308943298687228
2021-07-28,-0.01817147324819733
2021-07-29,0.0003138318424425468
2021-07-30,-0.0007648833335099914
2021-08-02,-0.005665769291377326
2021-08-03,-0.0030104707500297756
2021-08-04,-0.018233565763913384
2021-08-05,-0.017401197005736974
2021-08-06,-0.01046402868644511
2021-08-09,-0.011971330225327495
2021-08-10,-0.033059095369148514
2021-08-11,-0.03591208820988985
2021-08-12,-0.02670090356686483
2021-08-13,-0.00823883161016084
2021-08-16,0.008563117671301468
2021-08-17,0.027697913879299825
2021-08-18,0.014051039825026673
2021-08-19,0.00846980610877926
2021-08-20,0.07395752178954962
2021-08-23,0.009713945764332842
2021-08-24,-0.027123302609470226
2021-08-25,-0.050796198300419614
2021-08-26,-0.02852148271364121
2021-08-27,0.02155952227454573
2021-08-30,0.04625376648938464
2021-08-31,-0.0003847763056502376
2021-09-01,-0.06092001640720286
2021-09-02,-0.06570173917789027
2021-09-03,-0.04587833516776341
2021-09-07,-0.04886627406114065
2021-09-08,-0.04300645403602733
2021-09-09,-0.07790437424548274
2021-09-10,-0.10670042054104042
2021-09-13,-0.09608865614374577
2021-09-14,-0.09309114165942801
2021-09-15,-0.10106818367980717
2021-09-16,-0.19993426853461504
2021-09-17,-0.19453335103362687
2021-09-20,-0.16775229619794219
2021-09-21,-0.16579328207269037
2021-09-22,-0.13001041677411634
2021-09-23,-0.13664098711553865
2021-09-24,-0.1774554744198667
2021-09-27,-0.19661377154541293
2021-09-28,-0.19173586140616
2021-09-29,-0.18656177675953078
2021-09-30,-0.139304727534162
2021-10-01,-0.15833864580094953
2021-10-04,-0.13981583680957022
2021-10-05,-0.18545157188882028
2021-10-06,-0.19465203077726018
2021-10-07,-0.1909753956742326
2021-10-08,-0.19172706785271534
2021-10-11,-0.19795136231085353
2021-10-12,-0.19363523375771008
2021-10-13,-0.19155389313550555
2021-10-14,-0.1744446102886718
2021-10-15,-0.16315390138372216
2021-10-18,-0.1667753448257303
2021-10-19,-0.2026392480208551
2021-10-20,-0.21948282693921045
2021-10-21,-0.2811891957784128
2021-10-22,-0.27578405497584735
2021-10-25,-0.2788694434240411
2021-10-26,-0.27143111125851765
2021-10-27,-0.260618120022708
2021-10-28,-0.26280032992646474
2021-10-29,-0.2533537133044874
2021-11-01,-0.24287244519437923
2021-11-02,-0.25928396689464744
2021-11-03,-0.245472548098308
2021-11-04,-0.2609335332805306
2021-11-05,-0.2830124549529551
2021-11-08,-0.25662555318086744
2021-11-09,-0.25312556726599705
2021-11-10,-0.26185364570949327
2021-11-11,-0.25758613183139994
2021-11-12,-0.25062141120180115
2021-11-15,-0.26249969281996355
2021-11-16,-0.25502368192377084
2021-11-17,-0.26039582913134635
2021-11-18,-0.25569433711025696
2021-11-19,-0.235279923856755
2021-11-22,-0.21772688768576504
2021-11-23,-0.2156371625498668
2021-11-24,-0.1922835038296433
2021-11-25,-0.20090721239139547
2021-11-26,-0.1944303135553101
2021-11-29,-0.18230729569094195
2021-11-30,-0.15732336934775884
2021-12-01,-0.15938962640844895
2021-12-02,-0.20595813817000178
2021-12-03,-0.19240421163056393
2021-12-06,-0.20164577732551392
2021-12-07,-0.23469520841202973
2021-12-08,-0.24338185588665479
2021-12-09,-0.23387051683170867
2021-12-10,-0.19038472003614496
2021-12-13,-0.18535913564623557
2021-12-14,-0.17824413433963943
2021-12-15,-0.19950287371120481
2021-12-16,-0.17898053026470037
2021-12-17,-0.16696271675789953
2021-12-20,-0.18658318063500828
2021-12-21,-0.18655074404864774
2021-12-22,-0.20006581066320434
2021-12-23,-0.19436451189436724
2021-12-27,-0.14347286622666944
2021-12-28,-0.14582844502514986
2021-12-29,-0.14045365482984434
2021-12-30,-0.13989187392498992
2021-12-31,-0.1454187986028484
2022-01-03,-0.12837691199071888
2022-01-04,-0.1639797683553062
