break_idx,break_date,F_stat
198,2021-07-27,2.003033912411383
199,2021-07-28,1.978621667477587
200,2021-07-29,1.9274461195489587
201,2021-07-30,1.8708312631095245
202,2021-08-02,1.8908007922457302
203,2021-08-03,1.890905247650969
204,2021-08-04,1.8932650038557541
205,2021-08-05,1.9168592429728555
206,2021-08-06,1.9089645714176773
207,2021-08-09,1.9005568971896512
208,2021-08-10,1.8701216919636114
209,2021-08-11,1.9611109806400728
210,2021-08-12,1.9606279234418247
211,2021-08-13,1.9581565445733913
212,2021-08-16,1.9620313125653657
213,2021-08-17,1.9655530781468356
214,2021-08-18,2.0372569233653026
215,2021-08-19,1.9694920653769095
216,2021-08-20,2.069567019595003
217,2021-08-23,2.097592746201182
218,2021-08-24,2.1811007729189043
219,2021-08-25,2.2220565060515227
220,2021-08-26,2.2017270311189794
221,2021-08-27,2.196317268882265
222,2021-08-30,2.2355261661606147
223,2021-08-31,2.188829413227294
224,2021-09-01,2.184812196323301
225,2021-09-02,2.23620430977751
226,2021-09-03,2.2407570040296836
227,2021-09-07,2.245194706928722
228,2021-09-08,2.247812588181678
229,2021-09-09,2.2680533661443705
230,2021-09-10,2.3693269930208083
231,2021-09-13,2.629158352464224
232,2021-09-14,2.6283223136140585
233,2021-09-15,2.6345962875318443
234,2021-09-16,2.692238046459946
235,2021-09-17,2.7569042864168907
236,2021-09-20,2.7593352717521373
237,2021-09-21,2.731237044431024
238,2021-09-22,2.727682394468772
239,2021-09-23,2.5009270524708693
240,2021-09-24,2.0282066082808345
241,2021-09-27,2.0803726611148963
242,2021-09-28,2.1025529313551603
243,2021-09-29,2.103613532836865
244,2021-09-30,2.1239577178977362
245,2021-10-01,2.040452931189612
246,2021-10-04,2.102269754728428
247,2021-10-05,2.167499583958311
248,2021-10-06,2.099717781603801
249,2021-10-07,2.1372991862484856
250,2021-10-08,2.2042087645821145
251,2021-10-11,2.229226081176773
252,2021-10-12,2.2378164800468134
253,2021-10-13,2.2641359408697004
254,2021-10-14,2.4433899188464774
255,2021-10-15,2.420347749891651
256,2021-10-18,2.5078216372261024
257,2021-10-19,2.4983944572652397
258,2021-10-20,2.4432398161784348
259,2021-10-21,2.4439274806584366
260,2021-10-22,2.5589354407542664
261,2021-10-25,2.581477937606895
262,2021-10-26,2.5695990463888863
263,2021-10-27,2.5886818487534375
264,2021-10-28,2.5458756402980294
265,2021-10-29,2.5284430622542637
266,2021-11-01,2.5470343930909425
267,2021-11-02,2.546613307534181
268,2021-11-03,2.5571332948670293
269,2021-11-04,2.409214819511944
270,2021-11-05,2.320508115125885
271,2021-11-08,2.3207136750476534
272,2021-11-09,2.3484282675402155
273,2021-11-10,2.3576600020046694
274,2021-11-11,2.3580213823011293
275,2021-11-12,2.2998749222966106
276,2021-11-15,2.3001394692168926
277,2021-11-16,2.324972953086159
278,2021-11-17,2.34888090925022
279,2021-11-18,2.377716883239804
280,2021-11-19,2.400099086776184
281,2021-11-22,2.1783423891072227
282,2021-11-23,2.1828055696604887
283,2021-11-24,2.1936278821522897
284,2021-11-25,2.089752802160068
285,2021-11-26,2.090937559426031
286,2021-11-29,2.1331995752788115
287,2021-11-30,2.143070763035547
288,2021-12-01,2.136116591096259
289,2021-12-02,2.1371613347049503
290,2021-12-03,2.1673319838837224
291,2021-12-06,2.1721491585445123
292,2021-12-07,2.278022790231974
293,2021-12-08,2.2301488520596306
294,2021-12-09,2.215730383546271
295,2021-12-10,2.2262770429669785
296,2021-12-13,2.114848302037985
297,2021-12-14,2.0423678841780037
298,2021-12-15,2.0374807885567714
299,2021-12-16,1.9598199995124883
300,2021-12-17,1.9879072715247523
301,2021-12-20,1.9417316640594438
302,2021-12-21,1.94163304075033
303,2021-12-22,1.967053439888795
304,2021-12-23,1.9663498267991222
305,2021-12-27,1.9412274018187488
306,2021-12-28,1.854176581472631
307,2021-12-29,1.8512371861083061
308,2021-12-30,1.731860471962283
309,2021-12-31,1.7373299875842292
310,2022-01-03,1.782503228589174
311,2022-01-04,1.745746678328622
312,2022-01-05,1.8504084641399292
313,2022-01-06,1.709020739113295
314,2022-01-07,1.676153822618087
315,2022-01-10,1.6766767431254446
316,2022-01-11,1.680107413155003
317,2022-01-12,1.7507846181490925
318,2022-01-13,1.9300827168501065
319,2022-01-14,1.929080480286934
320,2022-01-18,1.7899634045983217
321,2022-01-19,1.7829754789921535
322,2022-01-20,1.8692180780310141
323,2022-01-21,1.8043719217007999
324,2022-01-24,1.7877290222505295
325,2022-01-25,1.8511695825316656
326,2022-01-26,1.8966174553291821
327,2022-01-27,1.982259114393387
328,2022-01-28,1.9834991308469314
329,2022-01-31,2.19890490796968
330,2022-02-01,2.1691618333975007
331,2022-02-02,2.2801129665049964
