Date,Magnitude,Top1_DeltaS,Top2_DeltaS,Top3_DeltaS,Peak,PeakHorizon,HalfLife,DurationAboveHalf,AUC,Cluster,PC1,PC2
2020-10-22,-0.8141250364016531,2.019920524328356,-0.3702479302244387,0.0727504343273959,1.8309100072717617,0.6755908254242589,-0.338147504579244,0.1373863963417268,0.4880233717222974,1,1.2434876713934073,0.29897261150859333
2020-10-28,-0.1001212684433713,0.017600095849114,0.4151970875131462,0.3187191354504179,1.96249408243695,0.2198668366765339,-0.338147504579244,-0.0208161206578374,0.4697276964549345,1,1.1587514889457962,-0.00864375931431669
2020-11-04,-0.673372580914065,-0.6288943218437488,-0.3272369141220821,-0.2626388878608773,1.8930405004158288,-0.3877651483204325,0.5583365773285189,-0.337221154656966,0.1150114875341703,1,-0.12661249744752973,0.1762098738613158
2020-11-09,2.604056625613169,0.3974780998737556,1.0087176211128697,1.8184427497341047,0.4679711702004357,-0.6915811408189158,-0.0393194772766563,-0.4954236716565302,0.6871823361431904,0,2.757324135244146,-1.1282220839528228
2021-02-01,-0.6399773714191438,-0.5994922886215764,-0.4298088452122547,-0.5714891728860928,-0.7881056027208232,-0.5396731445696742,-0.338147504579244,-0.6536261886560946,-0.6626126690558599,1,-1.5908518628914867,-0.7206008994901617
2021-06-17,0.3010496154991345,-0.7019052179521242,-0.5551641560371726,-0.1042891964033991,-0.3555972439073249,-0.6915811408189158,-0.6369755318818315,-1.1282337396547872,-0.5702896398101509,1,-0.9524023300211925,-1.2876783196463162
2022-03-01,-0.195405110909421,-1.067502827865904,-0.9212072655652384,-0.5797827830154195,0.0429970900211344,-0.5396731445696742,-0.0393194772766563,0.9283989813395482,-0.1400932785638355,1,-1.2684020590046141,0.6315713790863751
2022-03-02,1.983319063424696,1.3404658833545722,0.4350306818951098,0.948795547162938,0.1638888031089966,2.3465787841659167,-0.338147504579244,1.877614083336934,1.5753163702768365,2,3.012093042543952,2.0244023377185196
2022-03-07,-1.012992018229661,-1.009236126771296,-0.5886726372765201,-0.4116348378674475,-1.4967070872440664,-0.6915811408189158,-0.6369755318818315,-0.1790186376574017,-0.8903960036967367,1,-2.259921384318932,-0.6609835032293513
2022-06-13,-0.4568171717096809,-0.7372885954517038,-0.8188316260673604,-0.4898526771720472,-0.0769909328625731,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.0614819049897151,1,-1.312953403984553,-0.4362405645707148
2022-07-28,-0.8931845677163529,-0.506584749797219,-0.9525434199259504,-0.7424116282074178,-0.5557237905694115,-0.6915811408189158,-0.6369755318818315,-0.6536261886560946,-0.6268434517632441,1,-1.925522116341756,-0.7693826276496483
2022-09-13,0.0161442131429474,-0.9623419002859754,-0.5534003836219896,-0.4118193923329729,-1.1239370598286875,1.7389467991689502,1.1559926319336942,1.5612090493378052,0.0716763123488353,2,-0.7114532720970188,2.5279637782065505
2022-11-10,-0.7495064317047012,-0.557909117499061,-0.9891870296684748,-0.6948061239664185,-0.4245587057225541,-0.5396731445696742,-0.338147504579244,-0.337221154656966,-0.2972907832308076,1,-1.6768220334643567,-0.25647440611793343
2022-11-17,-0.3867970226771114,0.6984193484128041,-0.1898971645153274,0.3167180302231724,-0.5555883697845637,1.890854795418192,-0.6369755318818315,-0.1790186376574017,-0.2126294549687914,1,0.23236187090680083,0.30993894213859385
2022-12-15,-0.4916309571927811,0.6603187932281568,-0.0783654871312677,0.2019070202141907,-0.954403934498254,2.0427627916674336,3.2477888230518075,1.7194115663373697,0.1421249431845431,2,0.5042899895139079,3.371803173172693
2022-12-20,0.120056999398681,0.2692387036246981,0.4872121791040026,0.6096588690795572,-0.3711978077263152,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-0.6808395056392276,1,0.1130237677891588,-1.6798809314376826
2023-01-03,-0.8685410503809765,-1.0382610938535852,-1.1321878784771082,-1.144088224781678,-1.3037922523297694,-0.6915811408189158,-0.338147504579244,-0.0208161206578374,-0.6765938489321892,1,-2.6312234463110746,-0.12386554486951959
2023-05-11,-0.748101479173573,-0.3088376430432928,-0.7797228895842322,-0.6266051409258598,-0.6199636458367033,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-0.8353423366750322,1,-1.7488339040854006,-1.1274583896333616
2023-10-02,0.4187502391064907,-0.2698130730602714,0.1045580387558298,-0.4135301730168229,0.1729204163921782,-0.6915811408189158,-0.338147504579244,-0.4954236716565302,-0.410343386775242,1,-0.30229434501982966,-0.8727725785369443
2023-10-16,-0.8489489812433746,-0.5484325304194257,-0.9619308916562388,-0.8580931882283767,-0.6509808499876957,-0.5396731445696742,-0.338147504579244,-0.4954236716565302,-0.6866669977976974,1,-1.974398736332932,-0.4776765562995691
2024-02-15,0.4115223628019195,0.4176432531277457,0.0442779326017512,0.0035572096352058,-0.0496240482684459,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.7195009203812291,1,-0.04933044137953241,-1.4179757800452428
2024-04-10,-0.7352370818352273,1.002900183477193,0.8268953537671107,0.1375537375025153,-0.4159320940247337,0.979406817922742,-0.6369755318818315,-0.4954236716565302,-0.3941095270674197,1,0.37285245748391277,-0.5298588403498802
2024-04-30,-0.7028949996785634,-1.0886702590434578,-1.0687024670034264,-0.9880894859626084,-0.6260766704274214,-0.6915811408189158,-0.6369755318818315,-0.4954236716565302,-0.729650425278537,1,-2.2866180196669608,-0.601500078635548
2024-08-05,1.296937670785869,0.6236955378236466,1.2582767201910925,1.3583091103145466,0.1124778726008615,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.161372127736908,0,1.7808543563779198,-1.7621915700477486
2024-11-06,0.4892151452604208,-1.5315236169946,-1.178635176480035,-0.8840203322344965,0.3659581090387413,-0.5396731445696742,-0.338147504579244,-0.970031222655223,-0.8296059736351714,1,-1.5819982179847707,-0.7645241114308587
2024-12-18,0.9887924862652528,1.1400729519357318,1.3599928693460597,0.969972344705234,0.8073767299827322,-0.6915811408189158,-0.338147504579244,-0.337221154656966,0.2780169751254874,0,2.117140121269958,-1.2148918751601288
2025-01-13,-0.5022040165284787,0.1022198187916657,0.4589998863494541,0.7940132771163317,-0.3128778813774031,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.1065232923960974,1,0.056380395745632576,-1.0285810760703118
2025-02-03,-0.7053179767625755,-0.4431723050706007,-0.4562778781029639,-1.018830401386037,-0.7778688166619739,-0.6915811408189158,-0.6369755318818315,-0.337221154656966,-0.6393828676251204,1,-1.8045258037108922,-0.6684908397082631
2025-04-03,1.0913206186719426,-0.4520552997351283,-0.066241420930059,0.3110258457271315,1.152037672744945,-0.5396731445696742,0.5583365773285189,-0.337221154656966,0.8457082528270821,1,0.97449550008296,0.08519038275417776
2025-04-08,-0.0406694025593293,-0.9503121509923236,-0.6864813701210207,-0.8631821024817502,0.9606650899010866,1.7389467991689502,-0.338147504579244,1.877614083336934,2.7598081296564123,2,0.39410073467751494,3.2652667368761166
2025-07-08,1.9755700630741648,1.482633157053304,1.7355268122851384,1.4647282934793333,1.99377107212449,1.435130806670467,-0.338147504579244,-0.6536261886560946,0.3840740030926264,0,3.9374811846523574,-0.685975352543188
2025-07-09,0.5061804580868472,-0.4134034488088953,-0.0666787147284402,0.2300893231333246,1.555764519685465,1.890854795418192,2.94896079574922,1.877614083336934,3.930312961407052,2,2.4176370972219874,4.888163069083128
2025-07-31,2.5208598484089126,2.6396219337253286,3.4808818014244456,4.024828251426721,1.8056724562143749,-0.6915811408189158,-0.338147504579244,-0.970031222655223,-0.0752435552916955,0,5.961246680109147,-3.0078882094469623
2025-09-02,-1.0064390974198127,1.959170332739819,1.621603796975006,-1.076292309116588,-1.1332005137803445,0.3717748329257756,1.4548206592362818,1.5612090493378052,-0.276712246797871,2,0.3016142031351823,1.3130045620152508
2025-11-13,-0.613564103092558,0.0221849892141399,-0.2135750720504496,-0.1871548464416561,-0.6106417313997812,-0.3877651483204325,-0.0393194772766563,-0.0208161206578374,-0.4827214193471821,1,-0.867791105102285,-0.27802119325603303
2025-11-17,0.1453224231470877,-0.848920853236749,-0.6413934376583619,-0.3010183039202246,-0.3808323895911909,0.5236828291750173,0.2595085500259313,1.877614083336934,0.8435140497761318,2,-0.4059129158976926,2.0407001232474524
2025-11-24,-0.9508547118272634,-0.8890286253996624,-0.5122878843839821,-0.445539139754917,-1.0710420837923156,-0.0839491558219492,2.6501327684466323,1.7194115663373697,-0.0804739650934452,2,-1.359472195395563,2.4808271230117067
2025-12-29,-0.7323953948678628,0.760002439186583,1.3015071592233942,-0.5059008312690048,-0.6323020797976121,-0.6915811408189158,-0.6369755318818315,-0.970031222655223,-1.3437773070003969,1,-0.4977946066353684,-1.9042350012379632
