,Magnitude,Peak,PeakHorizon,HalfLife,AUC
C0 | Transient Shock,0.825472757263892,1.0375148441403415,-0.8168785161379897,-0.5693429844868019,-0.14178449389947778
C1 | Delayed Response,-1.0405749128571868,-1.1671209860838647,0.5713670498415478,1.4096113585283736,-0.450366428441003
C2 | Minor / Local,-0.9442721271852926,-0.8163872251664583,-1.097103120200405,-1.237391464050554,-1.0458906114278383
C3 | Structural Persistent,1.159374282778589,0.9459933671099819,1.3426145864968466,0.39712309000898144,1.638041533768319
