,Magnitude,Peak,PeakHorizon,HalfLife,AUC
C0 | Transient Shock,2.178143572387404,2.2031752984445463,2.25,2.875,13.942631434563209
C1 | Delayed Response,1.6375860475349258,1.0358765360014222,11.571428571428571,6.714285714285714,11.751154810221967
C2 | Minor / Local,1.6654830816207806,1.2215811677837491,0.3684210526315789,1.5789473684210527,7.521881543837852
C3 | Structural Persistent,2.274868315847457,2.154716997345611,16.75,4.75,26.58253901963679
