t,Date,TCI
0,0,45.32382261118939
1,1,45.35446604564116
2,2,55.77446514183004
3,3,60.508660132310354
4,4,74.07689308249722
5,5,79.85857707894091
6,6,79.81064378929702
7,7,83.29933684226219
8,8,82.84277979603797
9,9,86.36610204596003
10,10,82.70358345502264
11,11,82.07258370008871
12,12,82.2552381882456
13,13,64.5981482462943
14,14,77.86003167911646
15,15,78.53218596991714
16,16,79.46609762058394
17,17,76.76470867047851
18,18,78.84366197866936
19,19,76.06623766539987
20,20,76.2837131268401
21,21,76.00376688491694
22,22,68.3268430344198
23,23,70.7146256564012
24,24,68.72759202141553
25,25,67.38771571787034
26,26,66.7194468950064
27,27,64.84220248648647
28,28,65.54384881885144
29,29,62.974660284499805
30,30,61.81623114130497
31,31,61.42400467274409
32,32,62.26031159055662
33,33,67.0245821529709
34,34,59.84855469693253
35,35,59.99334646673328
36,36,59.124157347464724
37,37,57.83221809829333
38,38,56.990466573362994
39,39,56.1993697660118
40,40,57.7096721119519
41,41,57.82632036703779
42,42,54.01146086245989
43,43,53.16831297629936
44,44,52.17298978697242
45,45,51.79474797272279
46,46,50.605109900588594
47,47,50.344159671235545
48,48,50.88980253745679
49,49,58.05263150459704
50,50,53.96091598923572
51,51,55.13256732285681
52,52,62.098954704306784
53,53,62.93199623654018
54,54,64.38036224086285
55,55,62.06316414095545
56,56,59.00999565219374
57,57,57.130481446032434
58,58,59.82522141617239
59,59,55.547278891999156
60,60,55.71255321144213
61,61,54.084301871021026
62,62,54.08659147961394
63,63,54.029400555045136
64,64,55.39799965807026
65,65,54.57539273623115
66,66,53.80277650662031
67,67,54.88891287953829
68,68,51.20101348820748
69,69,52.26894837229998
70,70,51.54743752724693
71,71,49.748670551518465
72,72,48.135513522773685
73,73,47.42878284223998
74,74,47.110568278764866
75,75,44.39693638774376
76,76,47.86685098203954
77,77,47.38937692570883
78,78,49.449367932535615
79,79,48.09020484768903
80,80,56.73952412880829
81,81,53.8561845497016
82,82,53.62775058436442
83,83,56.14146674299303
84,84,55.88790513083195
85,85,55.59005133096011
86,86,58.80128310297014
87,87,55.1761939791778
88,88,57.58993730981407
89,89,55.59806846990701
90,90,58.02423581674277
91,91,56.59877418879764
92,92,56.90549597339506
93,93,55.37946591301407
94,94,54.51586897119781
95,95,57.15697801092412
96,96,52.723235630650265
97,97,56.80222433897123
98,98,56.385912096687626
99,99,55.11898082857822
100,100,54.29555513879967
101,101,54.02150303513654
102,102,53.464170656156625
103,103,55.715140433782274
104,104,53.86723528507472
105,105,53.47847579594428
106,106,55.185186573773024
107,107,55.27640717485829
108,108,57.50838014838063
109,109,53.195781694755226
110,110,52.13716414906332
111,111,50.3090060410454
112,112,49.80235960532774
113,113,49.26911145164621
114,114,49.07365426330797
115,115,49.07498337844133
116,116,47.74439627422111
117,117,47.283428556576176
118,118,51.873080627804825
119,119,53.351949241561826
120,120,51.44718556506787
121,121,53.04505292986021
122,122,50.75109092953861
123,123,52.519801354291474
124,124,51.88584082842588
125,125,49.614039488710674
126,126,50.15863246493082
127,127,63.904943352707576
128,128,57.03465274873232
129,129,60.35626765207538
130,130,60.3239655694751
131,131,58.60008538988056
132,132,56.680937617256745
133,133,56.94575682426455
134,134,55.93147529545502
135,135,55.157809413963385
136,136,56.12599650491429
137,137,54.46837430999013
138,138,55.841088985254814
139,139,55.384157377544184
140,140,54.652346310978785
141,141,53.84888624136438
142,142,57.673750049076965
143,143,57.738225559507384
144,144,57.69947661186513
145,145,59.02517429458862
146,146,57.922248725096615
147,147,57.88294052666371
148,148,58.1627184611564
149,149,57.935394999326675
150,150,56.34349014214772
151,151,56.530391794026
152,152,57.82436244709332
153,153,56.88710085635079
154,154,54.90456383419853
155,155,54.22232897299485
156,156,53.964679772416225
157,157,53.96780793935354
158,158,61.219872097521666
159,159,61.51349046566168
160,160,61.72227416889135
161,161,63.336775532319066
162,162,60.11821691437762
163,163,60.91289163773692
164,164,60.76684186420345
165,165,62.410216242758906
166,166,62.20532569997512
167,167,62.70764843977999
168,168,61.9390989274961
169,169,59.28953422873764
170,170,61.05531179827677
171,171,60.452603029396215
172,172,56.73811430541541
173,173,59.63619599546527
174,174,61.021143705954906
175,175,63.27402759316531
176,176,63.75838537028392
177,177,58.193275184198455
178,178,59.90403572290886
179,179,57.991047712647244
180,180,59.260808409617205
181,181,58.8105391333295
182,182,61.26992646943912
183,183,62.782280057428885
184,184,62.20268460571492
185,185,60.97197871117991
186,186,63.1114464372815
187,187,68.3851678364517
188,188,61.116844400348945
