t,Date,rho_raw,rho_used,scale_used,row_err,diag_mean,offdiag_mean,tci,success,error_msg
0,0,0.18621496284165637,0.18621496284165637,1.0,2.220446049250313e-16,0.6465139495149739,0.05891434174750435,35.34860504850261,1,
1,1,0.4539071029433629,0.4539071029433629,1.0,2.220446049250313e-16,0.5789158502142442,0.0701806916309593,42.10841497857558,1,
2,2,0.815781794412963,0.815781794412963,1.0,1.1102230246251565e-16,0.4733210836295806,0.0877798193950699,52.66789163704194,1,
3,3,0.7930193691700108,0.7930193691700108,1.0,2.220446049250313e-16,0.4067369866454834,0.09887716889241942,59.32630133545166,1,
4,4,0.6938653869626529,0.6938653869626529,1.0,2.220446049250313e-16,0.3553282182883147,0.10744529695194754,64.46717817116853,1,
5,5,1.1495972401675418,0.999,0.8689999985163553,2.220446049250313e-16,0.25837099866987717,0.12360483355502047,74.16290013301229,1,
6,6,1.1507864069636602,0.9990000000000002,0.8681020161124884,2.220446049250313e-16,0.27329716645886565,0.12111713892352238,72.67028335411342,1,
7,7,0.9062688026717225,0.9062688026717225,1.0,1.1102230246251565e-16,0.298662403324343,0.11688959944594281,70.13375966756568,1,
8,8,1.1206204889665747,0.9990000000000027,0.891470403973488,2.220446049250313e-16,0.33764012988757386,0.11039331168540438,66.23598701124263,1,
9,9,0.913665337462035,0.913665337462035,1.0,1.1102230246251565e-16,0.2755858665791669,0.12073568890347215,72.4414133420833,1,
10,10,0.941764175141905,0.941764175141905,1.0,2.220446049250313e-16,0.26951340112649935,0.12174776647891679,73.04865988735007,1,
11,11,0.6800423297642015,0.6800423297642015,1.0,2.220446049250313e-16,0.326623904153044,0.11222934930782602,67.33760958469561,1,
12,12,1.0378086360430476,0.9990000000000001,0.9626052099633541,2.220446049250313e-16,0.27113761809999726,0.12147706365000047,72.88623819000027,1,
13,13,0.7709779764959869,0.7709779764959869,1.0,2.220446049250313e-16,0.30856172509608965,0.11523971248398504,69.14382749039102,1,
14,14,1.074875104392812,0.9989999999999979,0.9294103062925871,2.220446049250313e-16,0.30166263553632167,0.11638956074394637,69.83373644636782,1,
15,15,0.7761535365294074,0.7761535365294074,1.0,2.220446049250313e-16,0.2700870768337478,0.12165215386104203,72.99129231662522,1,
16,16,0.8617214404627894,0.8617214404627894,1.0,1.1102230246251565e-16,0.30859143310303916,0.1152347611494935,69.14085668969611,1,
17,17,0.8642926167480239,0.8642926167480239,1.0,2.220446049250313e-16,0.32019729560728594,0.113300450732119,67.98027043927141,1,
18,18,0.7176368225989074,0.7176368225989074,1.0,2.220446049250313e-16,0.3308530703297179,0.11152448827838037,66.91469296702822,1,
19,19,0.6950175477755168,0.6950175477755168,1.0,2.220446049250313e-16,0.3558384830936994,0.10736025281771676,64.41615169063006,1,
20,20,0.702027765145446,0.702027765145446,1.0,2.220446049250313e-16,0.3635450015915213,0.10607583306807979,63.645499840847876,1,
21,21,0.6929272134365926,0.6929272134365926,1.0,2.220446049250313e-16,0.37120959714590684,0.10479840047568219,62.8790402854093,1,
22,22,0.6301753050583342,0.6301753050583342,1.0,2.220446049250313e-16,0.370766613427916,0.10487223109534731,62.92333865720838,1,
23,23,0.5895277968790688,0.5895277968790688,1.0,2.220446049250313e-16,0.4010147053813028,0.09983088243644953,59.89852946186972,1,
24,24,0.5653632607052018,0.5653632607052018,1.0,1.1102230246251565e-16,0.4107905220470295,0.0982015796588284,58.92094779529705,1,
25,25,0.6091155554124336,0.6091155554124336,1.0,1.1102230246251565e-16,0.41064809971834126,0.09822531671360979,58.93519002816588,1,
26,26,1.0779174215957983,0.999,0.9267871359951069,2.220446049250313e-16,0.3736293224092491,0.10439511293179182,62.637067759075094,1,
27,27,0.5812157722460942,0.5812157722460942,1.0,2.220446049250313e-16,0.45393094066859846,0.09101150988856692,54.60690593314015,1,
28,28,0.5727661341432247,0.5727661341432247,1.0,2.220446049250313e-16,0.4784165490497009,0.0869305751583832,52.15834509502992,1,
29,29,0.5735173679865458,0.5735173679865458,1.0,2.220446049250313e-16,0.4760655207124503,0.08732241321459164,52.39344792875499,1,
30,30,0.5535289350915116,0.5535289350915116,1.0,2.220446049250313e-16,0.4779486257740131,0.0870085623709978,52.20513742259868,1,
31,31,0.5157029460463849,0.5157029460463849,1.0,2.220446049250313e-16,0.48639791365848595,0.08560034772358567,51.360208634151405,1,
32,32,0.5542613075925819,0.5542613075925819,1.0,2.220446049250313e-16,0.4393758594739782,0.09343735675433697,56.062414052602186,1,
33,33,0.48729668803127846,0.48729668803127846,1.0,2.220446049250313e-16,0.45898042877163137,0.09016992853806147,54.10195712283687,1,
34,34,0.46787131553068334,0.46787131553068334,1.0,1.1102230246251565e-16,0.46357414002543834,0.08940430999576028,53.64258599745616,1,
35,35,0.4736061901909021,0.4736061901909021,1.0,2.220446049250313e-16,0.4846853249379986,0.08588577917700023,51.53146750620014,1,
36,36,0.4770300944194332,0.4770300944194332,1.0,2.220446049250313e-16,0.4765591387455666,0.08724014354240554,52.344086125443326,1,
37,37,0.49516322020233505,0.49516322020233505,1.0,1.1102230246251565e-16,0.40580818565398596,0.09903196905766899,59.4191814346014,1,
38,38,0.5420900071406205,0.5420900071406205,1.0,1.1102230246251565e-16,0.42667416981537265,0.09555430503077122,57.332583018462735,1,
39,39,0.5314902839355881,0.5314902839355881,1.0,0.0,0.41949145627574025,0.0967514239540433,58.050854372425974,1,
40,40,0.544217044194659,0.544217044194659,1.0,2.220446049250313e-16,0.4224039006452553,0.0962660165591241,57.759609935474465,1,
41,41,0.5748395261154883,0.5748395261154883,1.0,1.1102230246251565e-16,0.42045777597720113,0.09659037067046647,57.954222402279875,1,
42,42,0.5107109140429771,0.5107109140429771,1.0,2.220446049250313e-16,0.4312946056163623,0.09478423239727297,56.870539438363785,1,
43,43,0.46922448537459915,0.46922448537459915,1.0,2.220446049250313e-16,0.42212333070414415,0.09631277821597599,57.78766692958559,1,
44,44,0.4865205491022805,0.4865205491022805,1.0,2.220446049250313e-16,0.47613249363992977,0.0873112510600117,52.386750636007015,1,
45,45,0.47679699969344835,0.47679699969344835,1.0,2.220446049250313e-16,0.4186596726327517,0.09689005456120806,58.134032736724826,1,
46,46,0.47362454732151194,0.47362454732151194,1.0,2.220446049250313e-16,0.43846670457647413,0.09358888257058764,56.15332954235258,1,
47,47,0.8732227981801131,0.8732227981801131,1.0,2.220446049250313e-16,0.3618788177072491,0.10635353038212514,63.812118229275086,1,
48,48,0.48037259472731336,0.48037259472731336,1.0,2.220446049250313e-16,0.44146061888677923,0.09308989685220344,55.853938111322066,1,
49,49,0.442417037058358,0.442417037058358,1.0,0.0,0.45491069483271235,0.09084821752788128,54.50893051672876,1,
50,50,0.4943018865841253,0.4943018865841253,1.0,2.220446049250313e-16,0.4762761854841635,0.08728730241930609,52.37238145158365,1,
51,51,0.5131191951965207,0.5131191951965207,1.0,2.220446049250313e-16,0.47943931762642616,0.08676011372892897,52.05606823735739,1,
52,52,0.43648237420643055,0.43648237420643055,1.0,2.220446049250313e-16,0.4906260578164738,0.08489565703058768,50.93739421835261,1,
53,53,0.40030138304274204,0.40030138304274204,1.0,2.220446049250313e-16,0.5162896726285451,0.08061838789524249,48.3710327371455,1,
54,54,0.4044253173229057,0.4044253173229057,1.0,2.220446049250313e-16,0.5208397433978728,0.07986004276702119,47.91602566021271,1,
55,55,0.39098621212359663,0.39098621212359663,1.0,0.0,0.5252246334725844,0.07912922775456928,47.47753665274156,1,
56,56,0.5937539642667652,0.5937539642667652,1.0,2.220446049250313e-16,0.4933218923530121,0.08444635127449798,50.66781076469879,1,
57,57,0.6617544655541368,0.6617544655541368,1.0,2.220446049250313e-16,0.5224163775375781,0.07959727041040365,47.758362246242186,1,
58,58,0.61524284089201,0.61524284089201,1.0,2.220446049250313e-16,0.4816977297615204,0.08638371170641325,51.830227023847954,1,
59,59,0.7815886177749802,0.7815886177749802,1.0,1.1102230246251565e-16,0.5130790323904372,0.08115349460159378,48.69209676095627,1,
60,60,0.592900868612507,0.592900868612507,1.0,2.220446049250313e-16,0.5106619970896565,0.08155633381839057,48.933800291034345,1,
61,61,0.6171929901370934,0.6171929901370934,1.0,2.220446049250313e-16,0.5072125562835936,0.08213124061940104,49.27874437164062,1,
62,62,0.4431793069865831,0.4431793069865831,1.0,1.1102230246251565e-16,0.5286681702958674,0.07855530495068877,47.13318297041326,1,
63,63,0.49738626239258565,0.49738626239258565,1.0,2.220446049250313e-16,0.5405396065969806,0.07657673223383654,45.94603934030193,1,
64,64,0.5339328119874437,0.5339328119874437,1.0,2.220446049250313e-16,0.5454841844731135,0.07575263592114771,45.45158155268863,1,
65,65,0.42851495275713497,0.42851495275713497,1.0,2.220446049250313e-16,0.5444511475478488,0.0759248087420252,45.55488524521512,1,
66,66,0.4521316072209281,0.4521316072209281,1.0,2.220446049250313e-16,0.5484645545769135,0.07525590757051442,45.15354454230865,1,
67,67,0.46097087653443375,0.46097087653443375,1.0,2.220446049250313e-16,0.5507628029903845,0.07487286616826927,44.92371970096157,1,
68,68,0.4602314598466763,0.4602314598466763,1.0,2.220446049250313e-16,0.560912520761417,0.07318124653976381,43.908747923858286,1,
69,69,0.5455938947614835,0.5455938947614835,1.0,2.220446049250313e-16,0.5633417542015475,0.07277637429974207,43.66582457984524,1,
70,70,0.5064046679718925,0.5064046679718925,1.0,2.220446049250313e-16,0.559956911204541,0.07334051479924313,44.00430887954588,1,
71,71,0.504283061222591,0.504283061222591,1.0,2.220446049250313e-16,0.555759082163172,0.07404015297280468,44.424091783682805,1,
72,72,0.564708138906325,0.564708138906325,1.0,2.220446049250313e-16,0.4900369702709222,0.08499383828817964,50.996302972907785,1,
73,73,0.5955973782693768,0.5955973782693768,1.0,2.220446049250313e-16,0.47860853759347105,0.08689857706775482,52.13914624065289,1,
74,74,0.6796643780768131,0.6796643780768131,1.0,2.220446049250313e-16,0.4871650134730552,0.08547249775449078,51.28349865269447,1,
75,75,0.6849764051068029,0.6849764051068029,1.0,2.220446049250313e-16,0.46103062708228176,0.08982822881961973,53.89693729177184,1,
76,76,0.6138056443108578,0.6138056443108578,1.0,2.220446049250313e-16,0.45003840653146415,0.0916602655780893,54.99615934685359,1,
77,77,0.8241672275308529,0.8241672275308529,1.0,1.1102230246251565e-16,0.4190755210512761,0.09682074649145399,58.09244789487239,1,
78,78,0.5791191603175433,0.5791191603175433,1.0,2.220446049250313e-16,0.47941287822771433,0.08676452029538095,52.05871217722857,1,
79,79,0.5600883295298802,0.5600883295298802,1.0,3.3306690738754696e-16,0.49826690223340775,0.0836221829610987,50.173309776659224,1,
80,80,0.5255224274681584,0.5255224274681584,1.0,2.220446049250313e-16,0.4878235477479101,0.085362742042015,51.217645225209,1,
81,81,0.5794033602561892,0.5794033602561892,1.0,2.220446049250313e-16,0.5197081260327134,0.08004864566121442,48.02918739672865,1,
82,82,0.5709531942304398,0.5709531942304398,1.0,2.220446049250313e-16,0.5336699923252258,0.07772166794579569,46.63300076747742,1,
83,83,0.5203915633143085,0.5203915633143085,1.0,2.220446049250313e-16,0.5395300414771541,0.07674499308714097,46.04699585228458,1,
84,84,0.5663040948657592,0.5663040948657592,1.0,1.1102230246251565e-16,0.5287625374747568,0.07853957708754054,47.12374625252433,1,
85,85,0.5770103391450745,0.5770103391450745,1.0,2.220446049250313e-16,0.5342746469649899,0.07762089217250165,46.57253530350099,1,
86,86,0.6183621071991978,0.6183621071991978,1.0,2.220446049250313e-16,0.56786138299061,0.07202310283489831,43.213861700938985,1,
87,87,0.466068618170686,0.466068618170686,1.0,2.220446049250313e-16,0.5519459553867192,0.07467567410221344,44.80540446132807,1,
88,88,0.48587432104703593,0.48587432104703593,1.0,2.220446049250313e-16,0.5467697749603607,0.0755383708399399,45.32302250396394,1,
89,89,0.5104730018741735,0.5104730018741735,1.0,2.220446049250313e-16,0.5334362466351097,0.07776062556081507,46.65637533648904,1,
90,90,0.5289826282550482,0.5289826282550482,1.0,1.1102230246251565e-16,0.4729636190706665,0.08783939682155559,52.703638092933346,1,
91,91,0.6723152480332865,0.6723152480332865,1.0,1.1102230246251565e-16,0.5106542540261004,0.08155762432898328,48.93457459738997,1,
92,92,0.6279741124733607,0.6279741124733607,1.0,1.1102230246251565e-16,0.49879536826332693,0.0835341052894455,50.120463173667304,1,
93,93,0.6271754211256262,0.6271754211256262,1.0,2.220446049250313e-16,0.4931708377108,0.08447152704819998,50.682916228919986,1,
94,94,0.6482148534637722,0.6482148534637722,1.0,1.1102230246251565e-16,0.5116071304494701,0.08139881159175501,48.839286955053005,1,
95,95,0.5839030205208189,0.5839030205208189,1.0,1.1102230246251565e-16,0.5271577150107204,0.07880704749821327,47.28422849892796,1,
96,96,0.5838759977996697,0.5838759977996697,1.0,2.220446049250313e-16,0.5347204948504543,0.07754658419159097,46.52795051495458,1,
97,97,0.549743482986113,0.549743482986113,1.0,2.220446049250313e-16,0.5472588112237688,0.07545686479603853,45.27411887762312,1,
98,98,0.6756233190336545,0.6756233190336545,1.0,2.220446049250313e-16,0.528830593497244,0.07852823441712597,47.11694065027559,1,
99,99,0.7165996048747839,0.7165996048747839,1.0,2.220446049250313e-16,0.5080876321542104,0.08198539464096492,49.19123678457895,1,
100,100,0.6698582940604911,0.6698582940604911,1.0,2.220446049250313e-16,0.491070554887932,0.08482157418534465,50.89294451120679,1,
101,101,0.726170080442635,0.726170080442635,1.0,2.220446049250313e-16,0.4826038032244835,0.08623269946258606,51.73961967755164,1,
102,102,0.5842535250801488,0.5842535250801488,1.0,2.220446049250313e-16,0.4799636618558058,0.0866727230240324,52.00363381441944,1,
103,103,0.5083096218461142,0.5083096218461142,1.0,2.220446049250313e-16,0.4958476968430824,0.08402538385948624,50.41523031569175,1,
104,104,0.5607375359059923,0.5607375359059923,1.0,2.220446049250313e-16,0.5458518258719852,0.07569136235466913,45.414817412801476,1,
105,105,0.5553844721677161,0.5553844721677161,1.0,2.220446049250313e-16,0.5597336444780493,0.0733777259203251,44.02663555219507,1,
106,106,0.5221324608911145,0.5221324608911145,1.0,2.220446049250313e-16,0.5723267391645257,0.0712788768059124,42.76732608354744,1,
107,107,0.45487468512922835,0.45487468512922835,1.0,1.1102230246251565e-16,0.5833510360543249,0.06944149399094586,41.66489639456751,1,
108,108,0.470248861507839,0.470248861507839,1.0,1.1102230246251565e-16,0.588752034623562,0.06854132756273967,41.12479653764381,1,
109,109,0.5124586321286363,0.5124586321286363,1.0,2.220446049250313e-16,0.5839305272587835,0.06934491212353608,41.606947274121644,1,
110,110,0.49580928183595474,0.49580928183595474,1.0,2.220446049250313e-16,0.5943233853352645,0.06761276911078926,40.56766146647356,1,
111,111,0.5096419557888622,0.5096419557888622,1.0,1.1102230246251565e-16,0.5769328924809886,0.07051118458650193,42.306710751901164,1,
112,112,0.429772903036629,0.429772903036629,1.0,2.220446049250313e-16,0.5589642478291441,0.07350595869514266,44.1035752170856,1,
113,113,0.4307238577934293,0.4307238577934293,1.0,2.220446049250313e-16,0.5780384389793646,0.07032692683677257,42.19615610206354,1,
114,114,0.7482887073671952,0.7482887073671952,1.0,4.440892098500626e-16,0.4916072192895196,0.08473213011841338,50.83927807104802,1,
