Date,FROM_dlog_SOLVPN,TO_dlog_SOLVPN,NET_dlog_SOLVPN,FROM_dlog_COPPER,TO_dlog_COPPER,NET_dlog_COPPER,FROM_dlog_GOLD,TO_dlog_GOLD,NET_dlog_GOLD,FROM_dlog_SILVER,TO_dlog_SILVER,NET_dlog_SILVER,FROM_dlog_DXY,TO_dlog_DXY,NET_dlog_DXY,FROM_dlog_OIL,TO_dlog_OIL,NET_dlog_OIL,FROM_dlog_GAS,TO_dlog_GAS,NET_dlog_GAS,FROM_d_UST10Y,TO_d_UST10Y,NET_d_UST10Y,FROM_d_VIX,TO_d_VIX,NET_d_VIX,FROM_d_PJM_LMP,TO_d_PJM_LMP,NET_d_PJM_LMP,TCI
2022-12-05,43.051614736941296,46.771414533555564,3.719799796614268,41.0225901342112,47.87305974460784,6.850469610396644,56.36599463642735,100.67694925650989,44.31095462008253,49.37749342834618,81.12939346246048,31.751900034114307,53.71793043208757,82.0990568215113,28.381126389423727,55.79126912669561,16.773831812082676,-39.017437314612934,50.841995886349096,4.081468238941319,-46.76052764740778,49.705785983701475,45.59540399005991,-4.1103819936415675,41.54239802185926,26.739565091913754,-14.80283292994551,11.821153725274897,1.4980831602512268,-10.32307056502367,45.32382261118937
2022-12-06,54.245389467701145,49.77215528705409,-4.473234180647054,38.17442370516826,33.824456843038185,-4.349966862130074,54.14502441219242,81.4000258945351,27.255001482342685,48.66674277707737,66.24854425388978,17.58180147681241,53.24913601866734,68.38953563631205,15.140399617644704,49.17605940371566,36.44871989260381,-12.72733951111185,47.69272918265113,46.33054273663215,-1.3621864460189812,49.40738494118068,27.96429746175245,-21.44308747942823,44.59278880140876,34.88036008106275,-9.712428720346011,14.194981746649049,8.286022369531423,-5.908959377117625,45.354466045641196
2022-12-07,68.10162640753991,80.86190379822442,12.760277390684507,45.662007212594155,24.4889286153498,-21.173078597244356,55.9132044121649,54.1083827435895,-1.8048216685754,61.98367171532719,48.82834987384085,-13.15532184148634,54.840418927629536,45.65316352483314,-9.187255402796396,49.277757298267986,135.44202463385244,86.16426733558446,52.403425105142,41.35057309593498,-11.052852009207015,78.67245225147812,40.55039646617209,-38.12205578530603,57.891807391252,81.34005114560198,23.448243754349974,32.99828069690457,5.120877520901203,-27.87740317600337,55.77446514183005
2022-12-08,66.25101276422095,78.40051274552704,12.149499981306093,53.99106035317979,34.00493331850535,-19.98612703467444,57.02561492178477,65.79043742393873,8.764822502153955,68.59110413264574,51.14170058988391,-17.44940354276183,66.71329160361637,62.59730067291806,-4.11599093069831,73.81002274433463,49.34776624660911,-24.46225649772552,60.672377053823936,33.15030035625874,-27.522076697565197,76.10396316625621,25.80529859191694,-50.29866457433927,53.94726239294429,74.03606079162813,20.088798398683842,27.980892190296913,130.81229058591765,102.83139839562074,60.50866013231034
2022-12-12,69.94258927388836,94.22986663651537,24.28727736262701,81.09928394777742,29.35101784048203,-51.74826610729539,71.90485360551239,36.57460799731746,-35.33024560819493,69.8860774164395,60.50274823120421,-9.383329185235297,73.77713729213063,97.25804645650516,23.480909164374523,82.23107524239254,26.068016223804733,-56.1630590185878,87.1179265642108,45.732212723023345,-41.38571384118746,76.64404665477636,111.94849959579864,35.30445294102228,76.11520003598594,96.59079403883712,20.47559400285118,52.05074079185816,142.5131210814841,90.46238028962593,74.07689308249721
2022-12-13,75.6945544808924,122.23237969551678,46.53782521462438,79.8012577581724,40.993944970238005,-38.80731278793439,86.49785859907048,24.60595578142026,-61.89190281765022,84.1990925147693,57.45041263600369,-26.748679878765614,85.51515639943217,89.01017809268622,3.4950216932540457,76.33138738055911,76.7581330466191,0.4267456660599862,81.2685056146401,97.68586718603193,16.417361571391822,67.50916497467169,112.98837475910263,45.479209784430935,81.52729015468327,90.84403679322239,9.316746638539115,80.24150291251823,86.01648782856813,5.7749849160499025,79.85857707894093
2022-12-14,79.26669202277755,91.33568267763434,12.06899065485679,78.98825201029102,54.87813242106441,-24.110119589226613,85.63689677196527,45.93482602573867,-39.702070746226596,79.15893991190644,74.00688439746263,-5.152055514443816,91.63965997560166,49.704153112975554,-41.935506862626106,74.5143170261298,70.87123616267219,-3.6430808634576124,86.66957995785164,62.998016419615055,-23.671563538236583,76.36243027793185,76.78996882074038,0.4275385428085343,83.46520521009418,68.39049475584034,-15.074710454253847,62.404464728420706,203.19704309922662,140.79257837080593,79.810643789297
2022-12-15,84.81622655021596,97.95103246480085,13.134805914584888,76.31445834821618,111.35559487791791,35.04113652970173,94.86678478635059,38.55363740588269,-56.3131473804679,92.72412066697916,39.48561383672801,-53.238506830251154,92.70276766076226,49.55759327255639,-43.145174388205874,83.04566351985595,56.18581356369309,-26.85984995616286,90.05147744314024,39.62423977292065,-50.42723767021959,83.35017563057471,123.342555631549,39.99238000097429,81.19125738753131,98.08936428072077,16.898106893189464,53.93043642899562,178.84792331585263,124.917486886857,83.29933684226222
2022-12-19,83.38693774383357,81.7824272406926,-1.6045105031409719,72.8639181178392,162.4862125006212,89.622294382782,87.92988697490455,93.95904520932834,6.0291582344237895,80.59518726080597,78.62362630709534,-1.971560953710636,89.72654927752552,47.798304685555735,-41.928244591969786,94.76113213717247,64.59594352731273,-30.16518860985974,80.42905445346562,61.11820845197447,-19.310846001491157,78.4939525141462,74.27334782788343,-4.220604686262774,91.33516368075699,44.65697383077169,-46.6781898499853,68.90601579992983,119.13370837914444,50.227692579214605,82.84277979603799
2022-12-20,83.88294268424444,106.17234377684376,22.28940109259932,81.37448281123837,109.40943101485199,28.034948203613624,84.74419225394116,124.43216374602152,39.68797149208035,81.82100310179018,133.23849203745064,51.41748893566046,84.02907614311195,128.0934221683152,44.064346025203236,88.03354409651399,63.27170821865906,-24.761835877854935,95.96073371191602,23.297680715994744,-72.66305299592128,93.79118880141516,29.90684262356974,-63.884346177845416,80.7363557920171,109.30236706278843,28.56601127077134,89.2875010634121,36.53656909510543,-52.750931968306666,86.36610204596005
