Date,DeltaS_SOLVPN_to_COPPER,DeltaS_COPPER_to_SOLVPN,PairDeltaTotal,Asymmetry_DeltaS,AbsAsymmetry_DeltaS,Share_SOLVPN_to_COPPER,Share_COPPER_to_SOLVPN,SC_Baseline,SC_InitialResponse,SC_Peak,SC_PeakHorizon,SC_HalfLife,SC_DurationAboveHalf,SC_AUC,SC_MaxHorizonUsed,CS_Baseline,CS_InitialResponse,CS_Peak,CS_PeakHorizon,CS_HalfLife,CS_DurationAboveHalf,CS_AUC,CS_MaxHorizonUsed,RelationshipType
2020-10-22,0.004339995363724,0.050381781354236,0.054721776717960004,-0.046041785990512,0.046041785990512,0.07931020562604628,0.9206897943739537,0.013532384134875813,0.004339995363724081,0.06330498793800812,5,8.0,20,0.32432831493838105,20,0.08160145191598371,-0.050381781354236016,0.13611198653998668,20,3.0,11,0.702651823627871,20,COPPER_driven
2020-10-28,0.0051466407565741,0.0426887719985929,0.047835412755167006,-0.0375421312420188,0.0375421312420188,0.10759059993724375,0.8924094000627562,0.03207533097453075,-0.005146640756574183,0.04476204109835319,2,,21,0.4084499110045762,20,0.030533682564562764,0.04268877199859296,0.18717975589140762,17,1.0,15,1.0638118572955977,20,COPPER_driven
2020-11-04,0.0459912900315692,0.0107471523222525,0.0567384423538217,0.035244137709316704,0.035244137709316704,0.8105842903611433,0.1894157096388567,0.06307285303569259,-0.04599129003156921,0.0600382362271391,3,19.0,19,0.935842155355619,20,0.044241468033600975,0.010747152322252575,0.1734719704223694,13,2.0,20,0.8192997195280781,20,SOLVPN_driven
2020-11-09,0.0159264322644201,0.0209200841551409,0.036846516419561,-0.0049936518907207975,0.0049936518907207975,0.43223712339777964,0.5677628766022204,0.012100439433242554,0.01592643226442019,0.04743189507047818,18,2.0,9,0.21889280148047593,20,0.06337744415107831,-0.0209200841551409,0.1543359943048921,11,5.0,17,0.6836904533266923,20,bilateral
2020-11-10,0.0249922548891092,0.1569883790293743,0.1819806339184835,-0.1319961241402651,0.1319961241402651,0.1373346951868749,0.8626653048131251,0.028026871697662745,-0.02499225488910926,0.03150546280605798,17,1.0,11,0.2776920609188208,20,0.04245735999593741,0.15698837902937438,0.17525607846003297,10,1.0,2,0.8516108535951288,20,COPPER_driven
2020-11-11,0.0155317100733158,0.1063995484500055,0.1219312585233213,-0.0908678383766897,0.0908678383766897,0.1273808723162249,0.872619127683775,0.003034616808553485,0.015531710073315844,0.056497717695167246,16,4.0,16,0.39875482759882214,20,0.1994457390253118,-0.1063995484500055,0.17483341187437873,15,9.0,20,2.706032143821345,20,COPPER_driven
2021-02-01,0.0065648557886439,0.0917728655591864,0.0983377213478303,-0.0852080097705425,0.0852080097705425,0.06675826629562985,0.9332417337043702,0.09028796672564295,0.0065648557886439085,0.08514108006135108,8,,21,1.0669178766703902,20,0.09767670607869389,0.0917728655591864,0.09847925194445781,16,1.0,15,1.1863863722941848,20,COPPER_driven
2021-02-02,0.0376886999533708,0.0899124651816757,0.1276011651350465,-0.0522237652283049,0.0522237652283049,0.2953632900881667,0.7046367099118334,0.09685282251428685,0.037688699953370805,0.091705935849995,7,11.0,18,1.1818699498294833,20,0.1894495716378803,-0.08991246518167577,0.1745462656135332,6,12.0,17,2.2922773649826507,20,COPPER_driven
2021-06-17,0.0010725542301948,0.132538546880095,0.13361110111028981,-0.1314659926499002,0.1314659926499002,0.008027433508758047,0.9919725664912419,0.011480528183576715,-0.0010725542301948075,0.1398168655865784,9,,21,1.0069946142463189,20,0.13878872704480003,-0.13253854688009503,0.13660882986027495,9,,21,2.5710803889145297,20,COPPER_driven
2022-03-01,0.0636051428329305,0.0065140769540578,0.0701192197869883,0.05709106587887271,0.05709106587887271,0.9070999795227815,0.09290002047721853,0.28611038737353295,0.0636051428329305,0.2492963917809145,1,,21,4.239680782246616,20,0.0446781458351604,0.006514076954057875,0.21944509478268498,15,,21,2.645728272484338,20,SOLVPN_driven
