window_start,window_end,tc_index,tc_days_ahead,tc_date_approx,m,w,A,B,C1,C2,r2,bubble_flag
2020-10-13,2021-06-29,221.20129029230785,42.201290292307846,2021-08-10,0.01,13.0,15.38873136524734,-8.07570559566489,-0.008253841900343284,0.026618157624938965,0.8476844562423409,1
2020-10-20,2021-07-07,215.64554222845769,36.645542228457685,2021-08-13,0.01,13.0,15.53008486951547,-8.211087384316802,-0.00680066364306231,0.026224350437795252,0.8622043348980095,1
2020-10-27,2021-07-14,207.5035862534412,28.5035862534412,2021-08-12,0.01,12.584034549468152,14.942009759139488,-7.65327686022795,0.022845074528714093,-0.012642488278891056,0.8710292465885084,1
2020-11-03,2021-07-21,204.29490017502417,25.294900175024168,2021-08-15,0.01,13.0,15.021638853902347,-7.726919609703371,-0.001160340165051843,0.026480505695651302,0.883871153363127,1
2020-11-10,2021-07-28,202.9710485614966,23.971048561496588,2021-08-21,0.01,13.0,15.11493092872959,-7.81380356293366,-0.013046012573799226,0.022946782428733603,0.8839878991863989,1
2020-11-17,2021-08-04,195.53842016536458,16.538420165364585,2021-08-21,0.23280523704438394,13.0,7.271306013958183,-0.11596265362810955,-0.0020870716132775228,0.008898899074598728,0.8755621304239298,1
2020-11-24,2021-08-11,194.91426139070572,15.914261390705718,2021-08-27,0.3138352004107659,13.0,7.205329701679211,-0.06349864023728029,-0.004752298291133416,0.004314116915216906,0.8816383554186553,1
2020-12-01,2021-08-18,189.72913708967224,10.729137089672236,2021-08-29,0.5018331752873758,13.0,7.109702929808812,-0.017139989173759734,-0.0020769238638364425,0.0018193957930002407,0.8790628578341293,1
2020-12-08,2021-08-25,185.43677759748007,6.436777597480074,2021-08-31,0.7060675194611106,13.0,7.071192152819178,-0.0051517151051330085,-0.0009713150547505662,0.0006646833638056399,0.8933613617276348,1
2020-12-15,2021-09-01,180.21840992979824,1.2184099297982414,2021-09-02,0.8296649313449845,12.981957637308893,7.058010823886398,-0.0026260398670447734,-0.0005383176124286355,0.00047021702463982034,0.9001709878024395,1
2020-12-22,2021-09-09,180.0,1.0,2021-09-10,0.9114046523108451,13.0,7.062481802646477,-0.0017971626882879437,-0.0004830337084850651,7.984051108424098e-05,0.900521084495998,1
2020-12-30,2021-09-16,180.0,1.0,2021-09-17,0.99,13.0,7.062065844815287,-0.0011842043219149295,-0.0002939509657897887,-8.486184301398228e-05,0.8818659859340757,1
2021-01-07,2021-09-23,180.0,1.0,2021-09-24,0.99,13.0,7.064518970475222,-0.0011502514243063628,-0.0001959017043008691,-0.00018448165711270064,0.8624460355668716,1
