Date,SOLVPN,log_price,log_price_hat,price_hat
2020-10-13,995.11,6.902853283811905,6.8212373922771485,917.1191443984208
2020-10-14,981.9,6.889489470175245,6.822315068814132,918.1080349383163
2020-10-15,981.37,6.88894955461307,6.823390307049581,919.0957507214819
2020-10-16,986.19,6.893849033807568,6.8244630899080185,920.0822699539672
2020-10-19,981.23,6.888806886723294,6.825533400315951,921.0675707784565
2020-10-20,982.46,6.890059630446448,6.826601221202219,922.0516312748681
2020-10-21,982.0,6.889591308354466,6.8276665354983646,923.0344294609805
2020-10-22,967.55,6.874767103155157,6.828729326138992,924.0159432930591
2020-10-23,968.39,6.875634898699145,6.829789576062129,924.9961506664858
2020-10-26,965.58,6.872728957058459,6.830847268209594,925.9750294164077
2020-10-27,959.25,6.866151729127062,6.831902385527367,926.9525573183909
2020-10-28,937.41,6.843120753236271,6.832954910965953,927.9287120890791
2020-10-29,936.67,6.84233103237221,6.8340048274807605,928.9034713868658
2020-10-30,922.54,6.82713073540825,6.835052118032474,929.8768128125774
2020-11-02,931.45,6.836742511735718,6.836096765587419,930.8487139101494
2020-11-03,944.82,6.850994433160373,6.837138753117961,931.8191521673434
2020-11-04,968.24,6.875479990430349,6.838178063602856,932.7881050164256
2020-11-05,983.68,6.891300640910177,6.839214680027666,933.7555498349149
2020-11-06,993.95,6.90168690358053,6.84024858538511,934.7214639462755
2020-11-09,963.54,6.870614002301455,6.841279762675467,935.6858246206672
2020-11-10,938.95,6.844762229654215,6.842308194906963,936.6486090756842
2020-11-11,965.62,6.872770382079177,6.843333865096151,937.6097944771
2020-11-12,968.11,6.875345717184091,6.844356756268312,938.569357939634
2020-11-13,977.61,6.8851108174975835,6.845376851457841,939.527276527712
2020-11-16,972.27,6.879633543665113,6.846394133708642,940.4835272562476
2020-11-17,967.79,6.875015121592464,6.847408586074536,941.4380870914367
2020-11-18,966.47,6.8736502583321855,6.84842019161964,942.3909329515307
2020-11-19,967.46,6.8746740803800135,6.849428933418786,943.3420417076634
2020-11-20,960.51,6.867464393398558,6.850434794557916,944.2913901846524
2020-11-23,955.72,6.86246498312233,6.851437758134484,945.2389551618207
2020-11-24,946.9,6.8531934909894545,6.85243780725787,946.1847133738357
2020-11-25,953.69,6.86033867105228,6.85343492504978,947.1286415115359
2020-11-26,954.24,6.860915212136319,6.854429094644667,948.0707162227967
2020-11-27,964.47,6.871578727662971,6.855420299190131,949.0109141133719
2020-11-30,957.7,6.864534576527574,6.85640852184735,949.9492117477774
