window_start,window_end,tc_index,tc_days_ahead,tc_date_approx,m,w,A,B,C1,C2,r2,bubble_flag
2020-12-08,2021-08-25,185.43677759748007,6.436777597480074,2021-08-31,0.7060675194611106,13.0,7.071192152819178,-0.0051517151051330085,-0.0009713150547505662,0.0006646833638056399,0.8933613617276348,1
2020-12-15,2021-09-01,180.21840992979824,1.2184099297982414,2021-09-02,0.8296649313449845,12.981957637308893,7.058010823886398,-0.0026260398670447734,-0.0005383176124286355,0.00047021702463982034,0.9001709878024395,1
2020-12-22,2021-09-09,180.0,1.0,2021-09-10,0.9114046523108451,13.0,7.062481802646477,-0.0017971626882879437,-0.0004830337084850651,7.984051108424098e-05,0.900521084495998,1
2020-12-30,2021-09-16,180.0,1.0,2021-09-17,0.99,13.0,7.062065844815287,-0.0011842043219149295,-0.0002939509657897887,-8.486184301398228e-05,0.8818659859340757,1
2021-01-07,2021-09-23,180.0,1.0,2021-09-24,0.99,13.0,7.064518970475222,-0.0011502514243063628,-0.0001959017043008691,-0.00018448165711270064,0.8624460355668716,1
2021-01-14,2021-09-30,299.0,120.0,2022-01-28,0.99,6.0,7.031594820142443,-0.00021245400517302314,5.4146192018252555e-05,-0.0002849272285140895,0.8131882097929448,1
2021-01-22,2021-10-07,299.0,120.0,2022-02-04,0.99,6.0,6.9845088082080995,4.450271843984992e-05,0.00012068404893932259,-0.0003292670199287536,0.8053557536453406,0
2021-01-29,2021-10-14,299.0,120.0,2022-02-11,0.99,6.0,6.955770795189385,0.0001923516725329931,0.00018479096821935015,-0.00033345912204606616,0.8003326775619781,0
2021-02-05,2021-10-21,299.0,120.0,2022-02-18,0.99,6.0,6.975888277713937,7.36533379801737e-05,0.00021898554457001483,-0.0002640096054250027,0.7994881351401745,0
2021-02-12,2021-10-28,268.20743291324527,89.20743291324527,2022-01-25,0.01,6.0,17.277156270199676,-9.779840541043509,0.014500456785954574,-0.038466195960827454,0.8077765185295224,1
2021-02-22,2021-11-04,269.5931538632941,90.5931538632941,2022-02-03,0.01,6.0,19.99494548874621,-12.360667443852478,0.029944427257054818,-0.029535463937482298,0.828841944934416,1
2021-03-01,2021-11-11,280.7390379395549,101.73903793955492,2022-02-21,0.01,6.0,23.650346461969775,-15.82413138177108,0.04611768818532758,-0.0025509647980057615,0.8336457735560747,1
2021-03-08,2021-11-18,264.72222735338585,85.72222735338585,2022-02-12,0.01,6.0,20.777801409578597,-13.101728176141863,0.036121474465792947,-0.022517243658839448,0.8215017856122381,1
2021-03-15,2021-11-25,246.1029147747156,67.1029147747156,2022-01-31,0.1770675524285507,6.0,7.528728149039824,-0.21936781201813943,0.003793600685541125,-0.015400362470082491,0.8089983983781895,1
2021-03-22,2021-12-02,221.14837636342068,42.14837636342068,2022-01-13,0.7177393127945972,6.0,7.075492719359398,-0.0021854608515560203,-0.0007895205769315233,-0.00066472608180131,0.78755598106198,1
2021-03-29,2021-12-09,209.47739664932953,30.477396649329535,2022-01-08,0.6263446308779287,6.0,7.069888427817719,-0.0031492509571349127,-0.001624853251092112,-0.0004285362250095254,0.7749882119366815,1
2021-04-06,2021-12-16,204.15614896608395,25.156148966083947,2022-01-10,0.566625861297792,6.0,7.076930364645327,-0.004617897225227698,-0.0021316933266829754,-0.0004161472700969464,0.7591898536544075,1
2021-04-13,2021-12-23,193.11833949573594,14.118339495735938,2022-01-06,0.4713662521056015,6.0,7.083573219386095,-0.008046078637703413,-0.0034231382106170768,0.0006471076029848919,0.7463362386607852,1
2021-04-20,2021-12-31,190.1949660482366,11.194966048236608,2022-01-11,0.36799591007858895,6.0,7.111380436605681,-0.018082779304602406,-0.005603353242224173,0.0002880134521583474,0.7470314105877913,1
2021-04-27,2022-01-07,252.76484325904494,73.76484325904494,2022-03-22,0.9369484452831472,8.971593135770886,7.091081063311072,-0.0006368057535025413,-0.0002161324306070827,9.139159791299886e-05,0.71143902605544,1
2021-05-04,2022-01-14,233.7810433842469,54.781043384246914,2022-03-10,0.99,8.150840374541394,7.078952653403394,-0.00046070343171407575,-0.0001237524804605969,-0.00018075008858847597,0.6828005685146021,0
2021-05-11,2022-01-24,275.6754924456421,96.67549244564208,2022-05-01,0.44917553297911805,11.878830976703435,7.132459786486514,-0.010988473844364277,0.0018810769343317916,0.0023715538541857948,0.569117004177214,0
2021-05-18,2022-01-31,285.3679626305437,106.36796263054367,2022-05-17,0.01,13.0,9.603562347267465,-2.452021198809896,0.006884403825667074,0.030590847723680526,0.4752119360918523,0
2021-05-25,2022-02-07,282.3689885688109,103.36898856881089,2022-05-21,0.01,13.0,7.7267099065464535,-0.6709196756537978,0.005503516103801009,0.03021257887592102,0.4296155056704951,0
2021-06-02,2022-02-14,281.51440260053806,102.51440260053806,2022-05-28,0.01,13.0,5.970800610651741,0.9946143671558385,-0.0012006760542427886,0.029580831914304363,0.3967424095710188,0
