Date,COPPER,log_price,log_price_hat,price_hat
2020-10-13,3.0445,1.1133366840664918,1.267490501608899,3.551927811586885
2020-10-14,3.0505,1.11530551160977,1.2683824093645086,3.555097216747821
2020-10-15,3.0855,1.1267137187789846,1.2692742994632655,3.5582693871589672
2020-10-16,3.0675,1.1208628976029293,1.2701661549759016,3.561444264883006
2020-10-19,3.086,1.126875753940969,1.271057958924398,3.5646217915956186
2020-10-20,3.148,1.146767330555157,1.27194969428222,3.567801908585094
2020-10-21,3.1985,1.1626819499080554,1.2728413439745498,3.570984556751947
2020-10-22,3.1535,1.148512947121569,1.2737328908785253,3.5741696766085607
2020-10-23,3.129,1.1407134646867452,1.2746243178234793,3.5773572082788574
2020-10-26,3.0895,1.1280092655188971,1.2755156075911835,3.5805470914979867
2020-10-27,3.0935,1.1293031359889065,1.276406742916094,3.5837392656120355
2020-10-28,3.064,1.1197212518783448,1.2772977064856044,3.586933669577786
2020-10-29,3.06,1.1184149159642893,1.2781884809402906,3.5901302419624432
2020-10-30,3.0515,1.1156332730024126,1.2790790488741735,3.593328920943455
2020-11-02,3.081,1.1252542196145308,1.2799693928349718,3.5965296443083004
2020-11-03,3.0935,1.1293031359889065,1.280859495324367,3.5997323494543405
2020-11-04,3.1095,1.134461941561807,1.2817493387982644,3.6029369733886694
2020-11-05,3.1135,1.1357474953303697,1.2826389056670613,3.606143452728004
2020-11-06,3.157,1.1496222095758546,1.2835281782959185,3.609351723698601
2020-11-09,3.1595,1.1504137872313729,1.2844171390050296,3.612561722136183
2020-11-10,3.1595,1.1504137872313729,1.2853057700699022,3.6157733834859207
2020-11-11,3.1375,1.1434263044579023,1.2861940537216359,3.61898664280242
2020-11-12,3.148,1.146767330555157,1.2870819721471995,3.622201434749724
2020-11-13,3.1805,1.1570384171367218,1.2879695074897253,3.6254176936013867
2020-11-16,3.225,1.170932950247736,1.2888566418487892,3.628635353240523
2020-11-17,3.203,1.164087870627021,1.289743357280706,3.631854347159917
2020-11-18,3.2035,1.1642439620969391,1.2906296357988292,3.6350746084621743
2020-11-19,3.2085,1.1658035382084329,1.2915154593738385,3.6382960698598414
2020-11-20,3.2975,1.1931646056093326,1.292400809934049,3.641518663675622
2020-11-23,3.265,1.1832597627283945,1.2932856693657138,3.6447423218425885
2020-11-24,3.3075,1.1961926170069737,1.2941700195133299,3.64796697590442
2020-11-25,3.318,1.1993621917682529,1.2950538421799491,3.651192557015683
2020-11-26,3.3478,1.2083034136863826,1.2959371191274944,3.6544189959421405
2020-11-27,3.412,1.2272986296294326,1.2968198320770745,3.657646223061085
2020-11-30,3.4335,1.233580149078594,1.2977019627093038,3.6608741683616994
2020-12-01,3.48,1.247032293786383,1.2985834926646302,3.664102761445472
2020-12-02,3.4845,1.2483245618964365,1.299464403543657,3.6673319315266086
2020-12-03,3.4865,1.2488983676789283,1.3003446769074758,3.6705616074324987
2020-12-04,3.521,1.2587450401729154,1.3012242942779988,3.6737917176042107
2020-12-07,3.514,1.2567549897649053,1.3021032371382995,3.6770221900970244
2020-12-08,3.4965,1.2517624681617845,1.3029814869329448,3.680252952580964
2020-12-09,3.5105,1.2557584774751664,1.3038590250683477,3.6834839323414195
2020-12-10,3.5725,1.2732656308218853,1.3047358329131065,3.686715056279742
2020-12-11,3.526,1.2601640839756785,1.3056118917983606,3.6899462509139247
2020-12-14,3.524,1.259596708073933,1.3064871830181417,3.6931774423792794
2020-12-15,3.542,1.2646915393606417,1.307361687829728,3.6964085564291556
2020-12-16,3.5575,1.2690580509818705,1.3082353874540122,3.6996395184357245
2020-12-17,3.6,1.2809338454620642,1.3091082630758577,3.7028702533907465
2020-12-18,3.63,1.2892326482767593,1.309980295844467,3.7061006859064043
2020-12-21,3.5755,1.2741050265063136,1.3108514668737572,3.7093307402161826
2020-12-22,3.519,1.2581768583394481,1.3117217572427309,3.712560340175758
2020-12-23,3.555,1.2683550632552043,1.3125911479958503,3.7157894092639197
2020-12-24,3.5615,1.2701818044362714,1.313459620143425,3.7190178705835657
2020-12-28,3.57,1.2725655957915476,1.314327154661994,3.722245646862702
2020-12-29,3.5535,1.2679330332848129,1.315193732494711,3.7254726604554778
2020-12-30,3.549,1.2666658736643595,1.31605933455174,3.7286988333432785
2020-12-31,3.519,1.2581768583394481,1.3169239417106477,3.731924087135839
2021-01-04,3.5545,1.2682144063874008,1.3177875348168024,3.735148343072396
2021-01-05,3.6395,1.2918463095761756,1.3186500946837807,3.7383715220229043
2021-01-06,3.6505,1.2948641445140034,1.319511602093765,3.7415935444892354
2021-01-07,3.696,1.3072511537794378,1.3203720377979595,3.744814330606474
2021-01-08,3.6735,1.3011448860781951,1.3212313825170048,3.7480338001442344
2021-01-11,3.5645,1.271023791575546,1.322089616941387,3.7512518725079804
2021-01-12,3.6055,1.2824604573746772,1.3229467217318645,3.7544684667404407
2021-01-13,3.617,1.285644952969961,1.323802677519886,3.7576835015230126
2021-01-14,3.6645,1.2986919003837678,1.324657464908027,3.760896895177266
2021-01-15,3.602,1.2814892467537642,1.3255110644704118,3.7641085656664153
2021-01-19,3.6335,1.2901963710745536,1.3263634567531555,3.7673184305968963
2021-01-20,3.6415,1.2923956846758329,1.3272146222747956,3.7705264072199305
2021-01-21,3.6475,1.2940420014148037,1.3280645415267411,3.773732412433181
2021-01-22,3.626,1.2881301123326592,1.3289131949737154,3.776936362782411
2021-01-25,3.6295,1.2890948977427583,1.3297605630542049,3.7801381744631977
2021-01-26,3.6195,1.286335894751059,1.330606626180917,3.783337763322704
2021-01-27,3.5575,1.2690580509818705,1.3314513647412296,3.786535044861444
2021-01-28,3.58,1.275362800412609,1.3322947590976606,3.789729934235161
2021-01-29,3.558,1.2691985892436433,1.3331367895883277,3.792922346256689
2021-02-01,3.5455,1.2656791937619143,1.3339774365274182,3.7961121953978836
2021-02-02,3.5245,1.2597385822317932,1.334816680205662,3.7992993957915964
2021-02-03,3.5655,1.2713042964862213,1.335654500890807,3.8024838612336826
2021-02-04,3.555,1.2683550632552043,1.3364908788280978,3.8056655051850545
2021-02-05,3.627,1.2884058603007653,1.3373257942407655,3.8088442407738055
2021-02-08,3.6665,1.2992375285517173,1.338159227330507,3.8120199807973223
2021-02-09,3.719,1.313454814942933,1.338991158277981,3.8151926377244934
2021-02-10,3.773,1.3278704409821735,1.3398215672433074,3.818362123697957
2021-02-11,3.7735,1.328002952742786,1.3406504343665582,3.8215283505363495
2021-02-12,3.7875,1.3317061708354876,1.3414777397682667,3.8246912297366555
2021-02-16,3.8345,1.3440390482227769,1.3423034635499342,3.827850672476574
2021-02-17,3.8235,1.3411662335021428,1.3431275857945373,3.8310065896169205
2021-02-18,3.905,1.3622577832916491,1.3439500865670484,3.8341588917041136
2021-02-19,4.077,1.4053614238371164,1.3447709459149508,3.837307488972666
2021-02-22,4.1465,1.4222646049091212,1.3455901438687623,3.840452291347744
2021-02-23,4.185,1.4315067039414386,1.3464076604425652,3.8435932084477815
2021-02-24,4.3015,1.4589637990792657,1.3472234756345314,3.8467301495871062
2021-02-25,4.2635,1.450090419199967,1.3480375694274622,3.8498630237786564
2021-02-26,4.0925,1.409156030263153,1.3488499217893248,3.8529917397367117
2021-03-01,4.113,1.4141526892482872,1.3496605126737964,3.8561162058796943
2021-03-02,4.222,1.440308949426129,1.3504693220208104,3.859236330333001
2021-03-03,4.142,1.4211787629733925,1.3512763297571082,3.862352020931896
2021-03-04,3.9785,1.3809048638354524,1.3520815157967934,3.8654631852244408
2021-03-05,4.0755,1.404993438552375,1.3528848600418901,3.868569730474478
2021-03-08,4.093,1.409278197510266,1.353686342382909,3.8716715636646724
2021-03-09,4.0085,1.3884171065008692,1.3544859426994096,3.8747685914995733
