window_start,window_end,tc_index,tc_days_ahead,tc_date_approx,m,w,A,B,C1,C2,r2,bubble_flag
2020-10-13,2021-06-29,299.0,120.0,2021-10-27,0.99,6.0,1.726120187919482,-0.0018640682872649546,0.0001876753752246521,-0.00016546389952551709,0.9264852616330516,1
2020-10-20,2021-07-07,299.0,120.0,2021-11-04,0.01,6.0,33.57784557661466,-30.556402075229148,0.062237674152421096,-0.027191970805418464,0.9199700572806091,1
2020-10-27,2021-07-14,299.0,120.0,2021-11-11,0.01,6.0,31.78066910424884,-28.845403393919852,0.06882949536655181,-0.0231532806732746,0.9158561851097651,1
2020-11-03,2021-07-21,299.0,120.0,2021-11-18,0.01,6.0,28.387273993132766,-25.61936689784635,0.07321739630448798,-0.022920837527370175,0.9127762191137125,1
2020-11-10,2021-07-28,286.15957809173256,107.15957809173256,2021-11-12,0.01,6.0,28.35196077987758,-25.590711796346532,0.057917224358913,-0.03724308173827717,0.9055906627576108,1
2020-11-17,2021-08-04,263.87011073834606,84.87011073834606,2021-10-28,0.01,6.0,24.735382231148947,-22.171880618612736,0.017951612007074402,-0.06267656615142903,0.9023246508472293,1
2020-11-24,2021-08-11,258.99847428779736,79.99847428779736,2021-10-30,0.01,6.0,22.242490971605168,-19.800570783228537,0.009442706787319732,-0.06485250814370103,0.8972193928612981,1
2020-12-01,2021-08-18,251.33675238673985,72.33675238673985,2021-10-29,0.99,6.0,1.5673708087296536,-0.000922382728893262,-0.0001391713555052646,-0.0004046248978673119,0.8836187295623686,1
2020-12-08,2021-08-25,299.0,120.0,2021-12-23,0.99,7.555389078328723,1.6014735695561317,-0.0008899927462142157,-0.00010506173333727327,0.00031879990140291654,0.866921727196773,1
2020-12-15,2021-09-01,299.0,120.0,2021-12-30,0.99,7.695654206428792,1.603657557650126,-0.000881874533771389,-0.00031245547866245104,0.0001047916641514658,0.8554309655965712,1
2020-12-22,2021-09-09,299.0,120.0,2022-01-07,0.99,7.4229917768420846,1.6044196401099986,-0.0008846599293424987,7.023863500033945e-06,0.00033409132462227173,0.8430556367212355,1
2020-12-30,2021-09-16,299.0,120.0,2022-01-14,0.99,7.456640421495175,1.6111491137802623,-0.0009053987299578618,-0.00011392312307210119,0.00031020508699201713,0.8254930986389593,1
2021-01-07,2021-09-23,299.0,120.0,2022-01-21,0.99,6.619187731681303,1.6171659422420352,-0.0009702378523542972,-0.0002643344705655382,-0.00024901776428048214,0.7947609771390782,1
2021-01-14,2021-09-30,299.0,120.0,2022-01-28,0.99,6.0,1.6407828711952996,-0.0011335642496211908,0.00029795213485231143,0.000293079630514425,0.7680844420982762,1
2021-01-22,2021-10-07,299.0,120.0,2022-02-04,0.99,6.0,1.6371688881848878,-0.0011053712688930046,0.0002715569512398199,0.00032787576454438346,0.7300284893053778,1
2021-01-29,2021-10-14,299.0,120.0,2022-02-11,0.99,6.0,1.6584434885716326,-0.0011965896506707888,0.00020592851023303795,0.0003762644520846384,0.6757157945661793,0
2021-02-05,2021-10-21,299.0,120.0,2022-02-18,0.20435412530856728,6.0,2.8004969373824418,-0.4605854194345274,0.006500281031015284,0.02972553676297142,0.5975789705878414,0
2021-02-12,2021-10-28,180.0,1.0,2021-10-29,0.99,9.882474942055937,1.4747852960894743,-6.791563003233166e-05,-0.00047775132056907796,0.0001240208432188502,0.5718868101532179,0
2021-02-22,2021-11-04,192.25559252986758,13.255592529867585,2021-11-17,0.99,12.158919331640558,1.4720761657537336,-1.3430175448471423e-05,-0.00042479969086788976,0.00015517983743154555,0.618813806413129,0
2021-03-01,2021-11-11,189.25161806128202,10.251618061282016,2021-11-21,0.99,12.570375253337504,1.4713508367431198,-1.8994235740800295e-07,0.00011879247066111458,-0.0004356633560457344,0.6232852590646755,0
2021-03-08,2021-11-18,186.77172052604996,7.771720526049961,2021-11-26,0.99,13.0,1.4698822226379007,2.4262986918560597e-05,0.00023780871009969676,0.0003755280860580725,0.6206385333902021,0
2021-03-15,2021-11-25,180.86170382417538,1.861703824175379,2021-11-27,0.99,13.0,1.4705475106111068,3.0134522126416694e-05,0.0002848910509518555,0.00033838231638225197,0.6056584413994897,0
2021-03-22,2021-12-02,210.1740547769889,31.174054776988896,2022-01-02,0.99,13.0,1.4737783961700242,-3.195899240338875e-05,-0.00027374470108792727,-0.00015867703209457052,0.4767355011999471,0
2021-03-29,2021-12-09,180.0,1.0,2021-12-10,0.99,13.0,1.4706477074393847,6.421416968060474e-06,-8.088682274383053e-05,0.0003660992198911156,0.4408620967400473,0
2021-04-06,2021-12-16,199.39239164275722,20.392391642757218,2022-01-05,0.99,13.0,1.4670667317230193,3.413792552162095e-05,-0.00026050786874552354,-0.00012634408117821963,0.3725085265473864,0
2021-04-13,2021-12-23,194.31203499404072,15.312034994040715,2022-01-07,0.99,12.934381849274473,1.4647187307053096,6.93350347216996e-05,-0.0002575693463643005,-4.47362656502232e-05,0.33991752109335693,0
2021-04-20,2021-12-31,202.91435575377292,23.914355753772924,2022-01-24,0.6082392811574533,6.0,1.4701730389611374,0.0001302438302760924,0.0014387591083350432,5.4845607272164095e-05,0.33484684096631623,0
2021-04-27,2022-01-07,202.05238067876573,23.05238067876573,2022-01-30,0.9602331202176344,6.0,1.4690809015209307,5.926194177990932e-05,0.0002510144019181487,0.0001143684205239944,0.4016801146366953,0
2021-05-04,2022-01-14,200.51647376972696,21.516473769726957,2022-02-05,0.99,6.0,1.4699794132191792,6.046228066020179e-05,0.00020200354926467093,0.00015282603008106503,0.39570287876711474,0
2021-05-11,2022-01-24,197.6872296921666,18.687229692166596,2022-02-12,0.99,6.0,1.4737932327042302,2.828693468377785e-05,0.00018880265335324565,0.0001623142232810243,0.3423597213596864,0
2021-05-18,2022-01-31,206.2222039425995,27.222203942599492,2022-02-27,0.6327045017028315,7.307389866558862,1.4815241434341668,-0.00038103631534256967,0.0001516132592977353,0.0010873991572987072,0.2671224247446081,0
2021-05-25,2022-02-07,192.83364287992404,13.833642879924042,2022-02-21,0.42795742472773696,6.90646612187172,1.4955927376853466,-0.003114693643674334,0.001195478686905891,-0.0024872552106475296,0.2378228232336097,0
2021-06-02,2022-02-14,193.56438474949513,14.564384749495133,2022-03-01,0.01,7.656057627017438,2.9378274328831226,-1.4006254091827108,-0.01448503899767254,0.0063573276676213986,0.26861698044700555,0
2021-06-09,2022-02-22,202.93979931391206,23.93979931391206,2022-03-18,0.01,10.014693036844339,3.903839111977737,-2.322592237490623,-0.008921754787377214,0.010537854076703324,0.31275284147819604,0
2021-06-16,2022-03-01,213.9998515983418,34.99985159834179,2022-04-05,0.4454844493966146,13.0,1.5552893870004951,-0.010016137426777719,0.001206279038132437,-0.0014776976252734476,0.3910919958842557,0
2021-06-23,2022-03-08,195.1299728611518,16.1299728611518,2022-03-24,0.01,10.840429332532654,4.61248109071146,-2.999151901662207,0.015415142474659888,-0.0010902612177569881,0.475483288156779,0
2021-06-30,2022-03-15,193.14136971292197,14.141369712921971,2022-03-29,0.01,11.414542355540366,4.704179371918381,-3.085552445443454,-0.015551100168593318,0.0023319742670490085,0.4920757790670278,0
2021-07-08,2022-03-22,188.85783942799603,9.857839427996026,2022-04-01,0.01,11.472134278360398,4.647477960363833,-3.0305418914736184,-0.015705445820317465,-0.004138243118744361,0.5423131488281081,0
2021-07-15,2022-03-29,181.84813255868897,2.848132558688974,2022-04-01,0.025921505814455684,10.983989664251151,2.594000375814985,-0.9936323849137647,0.009774720175862707,0.01221161387886796,0.5891277548885995,0
2021-07-22,2022-04-05,183.9364577554858,4.9364577554858045,2022-04-10,0.0427819556630694,12.586969460443145,2.2788713778079113,-0.6583314354193349,-0.014460335825707896,0.0015731479947126842,0.6220104101460102,0
2021-07-29,2022-04-12,180.9399914188117,1.939991418811701,2022-04-14,0.21815131576472077,13.0,1.6549088242957282,-0.06476184354813923,0.0032774209662762314,-0.0051590413423208345,0.6452841106643957,0
2021-08-05,2022-04-20,193.9704691269866,14.970469126986586,2022-05-05,0.05696418026366514,12.52271509611857,2.3231616865203195,-0.6442683956108245,0.00056487331786754,-0.009657832807110724,0.6645214835008761,0
2021-08-12,2022-04-27,299.0,120.0,2022-08-25,0.01,11.49743396334629,13.983140893203311,-11.848334486258072,0.009038865776582972,0.012833777033869342,0.6423620982782763,0
2021-08-19,2022-05-04,299.0,120.0,2022-09-01,0.01,12.186070236305255,13.191669840487148,-11.097264469494922,0.002347354085569353,-0.019434990626091553,0.5688513419884832,0
2021-08-26,2022-05-11,295.42953248385425,116.42953248385425,2022-09-04,0.01,6.0,-2.348634609144948,3.648629653416902,0.011575636742694462,-0.04381262619920234,0.47562662091825614,0
2021-09-02,2022-05-18,299.0,120.0,2022-09-15,0.01,6.0,-8.017977553556097,9.023286650142959,0.028790367935493166,-0.051885667165848526,0.49483727521297094,0
2021-09-10,2022-05-25,271.8858099433218,92.88580994332182,2022-08-26,0.01,6.0,-2.815683259107182,4.097673208853974,-0.014176467981585505,-0.04547711206633076,0.505901655990953,0
2021-09-17,2022-06-01,249.37281292816343,70.37281292816343,2022-08-10,0.01,6.0,0.21136745078316307,1.2260575126066175,-0.03493622818974726,-0.02177423733217196,0.5101823697132992,0
2021-09-24,2022-06-08,229.83909372733586,50.839093727335865,2022-07-29,0.01,6.0,1.030540353074432,0.45058783315094875,-0.04037831611542084,0.008663187047938217,0.5349118238790787,0
2021-10-01,2022-06-15,228.69257132682216,49.69257132682216,2022-08-04,0.01,6.0,-0.27370040103881577,1.6934899869887605,-0.04212378477681683,0.005322261621262203,0.5565167251504004,0
2021-10-08,2022-06-22,299.0,120.0,2022-10-20,0.5042574928908954,8.911040492517074,1.3586472772932672,0.00987883454719824,-0.0024523218507740445,0.0023521572440013475,0.6045748028732838,0
2021-10-15,2022-06-29,299.0,120.0,2022-10-27,0.99,6.899209581976338,1.2718927708716214,0.0011733688551423735,-0.0002219444530702177,-0.0003258156153368268,0.6789058589937262,0
2021-10-22,2022-07-06,299.0,120.0,2022-11-03,0.19540607477161157,6.0,0.16759570980710942,0.46428304500820944,0.028001176699176955,-0.014928096937676202,0.7621251524959477,0
2021-10-29,2022-07-13,299.0,120.0,2022-11-10,0.01,6.0,-26.98388586915507,26.979955594007635,0.08656158186203378,-0.03249111882614564,0.8273405154076059,0
2021-11-05,2022-07-20,299.0,120.0,2022-11-17,0.01,6.0,-32.49270772325763,32.19451536554074,0.0980491116628106,-0.02906858791476541,0.8735625828342116,0
2021-11-12,2022-07-27,299.0,120.0,2022-11-24,0.01,6.0,-32.38224101946693,32.07920515497062,0.10095897777033169,-0.010332443940213487,0.8950205824482979,0
2021-11-19,2022-08-03,278.16337445801213,99.16337445801213,2022-11-10,0.01,6.0,-24.284710082701675,24.4296189301363,0.0771528773316481,-0.041447993355640644,0.8919942066256413,0
2021-11-26,2022-08-10,261.9442449045066,82.9442449045066,2022-11-01,0.01,6.0,-20.894143648756113,21.230078181978097,0.056355130443596746,-0.062386404178984556,0.8937051013045247,0
2021-12-03,2022-08-17,250.0314986410422,71.03149864104219,2022-10-27,0.01,6.0,-20.60100518427702,20.96510332271734,0.03479735148866414,-0.07363166503665086,0.8968355129138333,0
2021-12-10,2022-08-24,243.36493669086082,64.36493669086082,2022-10-27,0.01,6.0,-20.71878767548594,21.08062157422829,0.0284040995572461,-0.0754679509941012,0.9013812323998085,0
2021-12-17,2022-08-31,231.04827665315977,52.048276653159775,2022-10-22,0.01,6.0,-22.123202313258226,22.433090478822155,-0.0041504127575029415,-0.07496372420315156,0.9070022954820111,0
2021-12-27,2022-09-07,221.08090689291015,42.08090689291015,2022-10-19,0.01,6.0,-22.747847879290166,23.039728567195322,-0.024502475393769707,-0.06767797801497277,0.9137130452024103,0
2022-01-03,2022-09-14,224.09325860229364,45.093258602293645,2022-10-29,0.01,6.0,-22.470364291229746,22.75776286123074,0.006532418935639939,-0.07300972488739177,0.9112114053032241,0
