t,rho_raw,row_err,diag_mean,offdiag_mean,tci
0,0.03528289351221049,2.220446049250313e-16,0.6558520952996902,0.057357984116718295,34.41479047003098
1,0.27622436215144897,2.220446049250313e-16,0.6512161717474546,0.05813063804209089,34.87838282525453
2,0.34750543388056526,1.1102230246251565e-16,0.6492868422612533,0.05845219295645777,35.07131577387466
3,0.34995198511111936,2.220446049250313e-16,0.632376938883527,0.06127051018607884,36.762306111647305
4,0.4978514897534539,2.220446049250313e-16,0.6441895973917303,0.059301733768044936,35.58104026082696
5,0.6178638446555709,2.220446049250313e-16,0.5149192202783327,0.08084679662027788,48.50807797216673
6,0.4919521457852791,1.1102230246251565e-16,0.5204169516004563,0.0799305080665906,47.958304839954366
7,0.49516095716573594,4.440892098500626e-16,0.5266002683075003,0.07889995528208325,47.33997316924995
8,0.9255883825135183,2.220446049250313e-16,0.47182775804990545,0.08802870699168244,52.81722419500946
9,0.5784260190816013,2.220446049250313e-16,0.4917977723249525,0.08470037127917458,50.82022276750475
10,0.5720630746970357,3.3306690738754696e-16,0.503357063942057,0.08277382267632383,49.6642936057943
11,0.5755476745789492,2.220446049250313e-16,0.5026019944079303,0.08289966759867828,49.73980055920698
12,0.7246524127303169,2.220446049250313e-16,0.4783736705720362,0.08693772157132731,52.162632942796385
13,0.898194171966981,2.220446049250313e-16,0.42286904928881214,0.09618849178519795,57.71309507111877
14,0.9162237014834225,2.220446049250313e-16,0.39267105395074803,0.10122149100820865,60.73289460492519
15,0.742847646882546,1.1102230246251565e-16,0.3590370609645359,0.10682715650591067,64.0962939035464
16,0.8449847601110769,2.220446049250313e-16,0.447451894303355,0.09209135094944083,55.25481056966449
17,0.7436599378516222,0.0,0.4650634672338449,0.08915608879435918,53.493653276615504
18,0.7480639514284635,2.220446049250313e-16,0.4617212426158838,0.08971312623068603,53.82787573841161
19,0.7438607625785039,2.220446049250313e-16,0.4566686088170143,0.09055523186383092,54.333139118298554
