Date,Stable,MaxAbsRoot
2021-05-18,True,0.29960549246976736
2021-05-19,True,0.3030695162194509
2021-05-20,True,0.2907410615264256
2021-05-21,True,0.2985695336408352
2021-05-24,True,0.29403955644355506
2021-05-25,True,0.2970626535994382
2021-05-26,True,0.30333198163625674
2021-05-27,True,0.29637215795158084
2021-05-28,True,0.29366189300014733
2021-06-01,True,0.298244594207736
2021-06-02,True,0.28837746701330463
2021-06-03,True,0.29949107071508957
2021-06-04,True,0.2995501549826898
2021-06-07,True,0.2972412401200313
2021-06-08,True,0.29958194397232685
2021-06-09,True,0.30778599684842695
2021-06-10,True,0.3014106261961793
2021-06-11,True,0.3017684076448151
2021-06-14,True,0.31943383225347416
2021-06-15,True,0.29884068747328446
2021-06-16,True,0.3063188598452284
2021-06-17,True,0.26708407331795286
2021-06-18,True,0.2647600536359513
2021-06-21,True,0.25622445067568295
2021-06-22,True,0.2567722864936796
2021-06-23,True,0.2544572463822145
2021-06-24,True,0.25317210309542487
2021-06-25,True,0.25347340456918344
2021-06-28,True,0.25260466965346823
2021-06-29,True,0.2538131562154541
2021-06-30,True,0.24865560075786172
2021-07-01,True,0.25427712742661657
2021-07-02,True,0.25245635872764915
2021-07-06,True,0.2574794597254762
2021-07-07,True,0.2592126737238825
2021-07-08,True,0.23616910856751638
2021-07-09,True,0.23550151532725014
2021-07-12,True,0.22914278182052572
2021-07-13,True,0.23301271224401712
2021-07-14,True,0.2331181781055414
2021-07-15,True,0.23332711984231636
2021-07-16,True,0.24453154521908566
2021-07-19,True,0.24322296793943757
2021-07-20,True,0.2509136307105889
2021-07-21,True,0.24768984262262453
2021-07-22,True,0.24695576382501
2021-07-23,True,0.2509629532663573
2021-07-26,True,0.24246196332508982
2021-07-27,True,0.2460343995326954
2021-07-28,True,0.24961542768609646
2021-07-29,True,0.25289423736657973
2021-07-30,True,0.2500173274071368
2021-08-02,True,0.25457687690684744
2021-08-03,True,0.24557673385401885
2021-08-04,True,0.24336058903563162
2021-08-05,True,0.24553029880104735
2021-08-06,True,0.2450156595977021
2021-08-09,True,0.24362800144423236
2021-08-10,True,0.2385504992372891
2021-08-11,True,0.2386118470745519
2021-08-12,True,0.24011195330651802
2021-08-13,True,0.24166400495450152
2021-08-16,True,0.23238557474536245
2021-08-17,True,0.20215749934583416
2021-08-18,True,0.20711177614094217
2021-08-19,True,0.22872554317229257
2021-08-20,True,0.23331102113699417
2021-08-23,True,0.2351062381486048
2021-08-24,True,0.23723115118441365
2021-08-25,True,0.24171208212767326
2021-08-26,True,0.23510282003137387
2021-08-27,True,0.23204778213132116
2021-08-30,True,0.23468166437651553
2021-08-31,True,0.23575049794253775
2021-09-01,True,0.2312754282264658
2021-09-02,True,0.2302144034754896
2021-09-03,True,0.2451357408830954
2021-09-07,True,0.24933753394928382
2021-09-08,True,0.25051546522245105
2021-09-09,True,0.2593081684398342
2021-09-10,True,0.24434356906648877
2021-09-13,True,0.2439858214195673
2021-09-14,True,0.24828829289063095
2021-09-15,True,0.2508146531673611
2021-09-16,True,0.22846287689525685
2021-09-17,True,0.23470492965909573
2021-09-20,True,0.2274234963153539
2021-09-21,True,0.2254569404403138
2021-09-22,True,0.3009407165058432
2021-09-23,True,0.2912092204809875
2021-09-24,True,0.2947664217574618
2021-09-27,True,0.2986506292015995
2021-09-28,True,0.29171013353446906
2021-09-29,True,0.3070259037467838
2021-09-30,True,0.30576878269587415
2021-10-01,True,0.30821613501895173
2021-10-04,True,0.30462768096436876
2021-10-05,True,0.30758363550394613
2021-10-06,True,0.3014579714749684
2021-10-07,True,0.30741278403447697
2021-10-08,True,0.32182249389241724
2021-10-11,True,0.30596049415056004
2021-10-12,True,0.3031957913037404
2021-10-13,True,0.2829002428771058
2021-10-14,True,0.26838329335401434
2021-10-15,True,0.2703536727008816
2021-10-18,True,0.2676255114981376
2021-10-19,True,0.26796227207426254
2021-10-20,True,0.27027755630212824
2021-10-21,True,0.28113643344357897
2021-10-22,True,0.27548823527256117
2021-10-25,True,0.27330362328940805
2021-10-26,True,0.2715838643022799
2021-10-27,True,0.2688963133344886
2021-10-28,True,0.24731863755087855
2021-10-29,True,0.2452744823459889
2021-11-01,True,0.24572326891590152
2021-11-02,True,0.24830458681307657
2021-11-03,True,0.27671264268360485
2021-11-04,True,0.26176663970264036
2021-11-05,True,0.2621634508700383
2021-11-08,True,0.2623467305399456
2021-11-09,True,0.26452433020495403
2021-11-10,True,0.23609274696980354
2021-11-11,True,0.22625273704464421
2021-11-12,True,0.22930439106168315
2021-11-15,True,0.22729597567227236
2021-11-16,True,0.22896018428463832
2021-11-17,True,0.23174994872049834
2021-11-18,True,0.22142146391936024
2021-11-19,True,0.2278669995158263
2021-11-22,True,0.21449104242824937
2021-11-23,True,0.21316745037318424
2021-11-24,True,0.21288495201326374
2021-11-25,True,0.21006910634667408
2021-11-26,True,0.236996216839748
2021-11-29,True,0.26764192088161237
2021-11-30,True,0.2389859450751862
2021-12-01,True,0.24396523112726373
2021-12-02,True,0.2426517341932508
2021-12-03,True,0.24797247980558024
2021-12-06,True,0.2351590922925158
2021-12-07,True,0.23596990468059065
2021-12-08,True,0.22939308943609124
2021-12-09,True,0.2262931504211318
2021-12-10,True,0.2409494852413083
2021-12-13,True,0.25340019896585253
2021-12-14,True,0.25226554181033406
2021-12-15,True,0.2530545307607231
2021-12-16,True,0.25250842453150507
2021-12-17,True,0.265640540586285
2021-12-20,True,0.2660884427343202
2021-12-21,True,0.265841709847524
2021-12-22,True,0.2622042413821433
2021-12-23,True,0.27112756359012846
2021-12-27,True,0.2666564827424696
2021-12-28,True,0.2657652746167542
2021-12-29,True,0.2689296368161659
2021-12-30,True,0.2704270018454591
2021-12-31,True,0.2627137798561733
2022-01-03,True,0.26384616344894063
2022-01-04,True,0.28755917343421367
2022-01-05,True,0.2562137326517612
2022-01-06,True,0.25624059064622456
2022-01-07,True,0.25740679657725235
2022-01-10,True,0.2608579036416757
2022-01-11,True,0.25975419802937505
2022-01-12,True,0.26036281565857194
2022-01-13,True,0.2621048306680846
2022-01-14,True,0.2614552861711129
2022-01-18,True,0.2691926297441556
2022-01-19,True,0.27758561711169266
2022-01-20,True,0.27767165678254135
2022-01-21,True,0.2727162154019567
2022-01-24,True,0.25892119207445313
2022-01-25,True,0.2849098226245361
2022-01-26,True,0.3333451439077194
