Date,Equation,Intercept,L1_dlog_SOLVPN,L1_dlog_COPPER,L1_dlog_DXY,L1_d_UST10Y,L1_dlog_VIX
2020-10-13,dlog_SOLVPN,-0.012434331955874338,0.06934961712924786,-0.17136076245665005,-0.39982334074925757,-0.008079555430785946,-0.0026217132017692848
2020-10-13,dlog_COPPER,0.0010470916910758836,-0.04414613494516875,-0.008632493207586259,-0.09997467123784792,-0.0569762998025892,-0.022472493360975294
2020-10-13,dlog_DXY,-0.0010601933321798917,-0.012230770342193055,-0.012066015444751875,-0.05943407797704917,0.02157428717285996,0.0034509624608381703
2020-10-13,d_UST10Y,-0.008051002091545651,-0.6434829902963426,0.6434323451776459,1.4134858894846056,-0.11007027346977029,-0.0863667391865212
2020-10-13,dlog_VIX,0.03314434164779559,-0.040866314435423545,1.0959969025274718,-2.174930549200018,0.02734921193776958,-0.07109878073252719
2020-10-14,dlog_SOLVPN,-0.002274663140315077,0.04253687818332472,-0.14500561017402624,-0.4201711560808405,0.09593684732547593,-0.08614743026524177
2020-10-14,dlog_COPPER,0.009025110508695575,-0.06520120472607518,0.012063250390865973,-0.11595307137666022,0.024704002340693365,-0.08806220446130508
2020-10-14,dlog_DXY,0.003944362085220953,-0.025438468386608862,0.0009162797980255596,-0.06945721665397067,0.07281176955173252,-0.037693004671448836
2020-10-14,d_UST10Y,0.0030671067516658424,-0.672825181995431,0.6722737825293117,1.3912185075762857,0.003758799929979448,-0.1777720822521116
2020-10-14,dlog_VIX,0.018865833324085826,-0.0031834014221073653,1.0589570867547597,-2.1463335096846783,-0.11883656434295818,0.04628916448357562
2020-10-15,dlog_SOLVPN,0.0022831439726234666,0.09776407377504805,-0.08902843042418632,-0.391221735552372,0.20052275496173583,-0.06994729127339959
2020-10-15,dlog_COPPER,0.0040524685338699145,-0.12545497680250073,-0.04900876664693979,-0.1475373618259176,-0.08940093044835642,-0.1057368205985612
2020-10-15,dlog_DXY,0.0017611515857772868,-0.051892548228733404,-0.02589704589365862,-0.08332412178717495,0.022714640386888245,-0.04545294550769753
2020-10-15,d_UST10Y,0.001229223223576644,-0.6950949162262743,0.6497016257745714,1.3795449852400814,-0.03841426973970497,-0.18430460279720906
2020-10-15,dlog_VIX,0.017739284778816672,-0.01683385114748823,1.0451212642083345,-2.153488908492616,-0.14468695668817527,0.04228499261710726
2020-10-16,dlog_SOLVPN,-0.0012270756874924425,0.034583599075725585,-0.023238750812279232,-0.36550449095017656,0.14680585002965285,-0.046817663399309956
2020-10-16,dlog_COPPER,0.005672811509415529,-0.09629040925879775,-0.07937776219265731,-0.15940862934658886,-0.06460481567419495,-0.11641362538049545
2020-10-16,dlog_DXY,0.0003575770989064815,-0.0771554978281403,0.0004092040689514208,-0.07304098514863605,0.001235734626943128,-0.036204477115888666
2020-10-16,d_UST10Y,0.013574850552864719,-0.4728858607680204,0.4183158592852324,1.2890960821693356,0.15051091266679853,-0.26565272161812503
2020-10-16,dlog_VIX,0.034479279982048305,0.2844694705282932,0.7313748244515972,-2.276132672406488,0.11148525416025529,-0.06801860577707645
2020-10-19,dlog_SOLVPN,-0.001451607254265054,0.03242742398776611,-0.02213378273252041,-0.3679692671007518,0.15537743929853018,-0.031055684946130594
2020-10-19,dlog_COPPER,0.001977065811518598,-0.13178062971990934,-0.061190203597754955,-0.19997836297336383,0.07648186812681558,0.14302545882486817
2020-10-19,dlog_DXY,0.0008100129174258375,-0.07281075978166358,-0.0018173297979312349,-0.06807440948543844,-0.01603619761233833,-0.0679651944415317
2020-10-19,d_UST10Y,0.01158698393049825,-0.49197533023969364,0.428098578018752,1.2672744456317198,0.22639857716384382,-0.12610570237309338
2020-10-19,dlog_VIX,0.04038192846599937,0.34115256323109405,0.7023266231026619,-2.2113368514108354,-0.11385089402700099,-0.48238091375023434
2020-10-20,dlog_SOLVPN,-0.0020369160655079846,0.027347900579012475,-0.04050845932157439,-0.3621670077368292,0.1527648226810185,-0.019359373472565725
2020-10-20,dlog_COPPER,0.005484807902652466,-0.10133916408410543,0.04892880579410175,-0.23475116837721005,0.09213921874448454,0.07292973622723399
2020-10-20,dlog_DXY,-0.000639185019939434,-0.08538742820927953,-0.04731219148652263,-0.05370827977623607,-0.022504917270229723,-0.0390056603687791
2020-10-20,d_UST10Y,0.016654700348273474,-0.44799583825434164,0.5871900668755816,1.217037366548117,0.24901911502624272,-0.227374619811953
2020-10-20,dlog_VIX,0.017153458523974208,0.1395674263706209,-0.026887792680539757,-1.9810693334069565,-0.21753477064767596,-0.01820300581933426
2020-10-21,dlog_SOLVPN,-0.006719809884760931,0.04133547926537899,-0.04360626335954266,-0.35002410309641113,0.0645820574476621,0.11856553827030175
2020-10-21,dlog_COPPER,-1.2536452312361668e-06,-0.08495256200831575,0.04529969433620247,-0.2205256222088275,-0.01116785935833442,0.2345102853519861
2020-10-21,dlog_DXY,0.0005181981891393948,-0.08884447620825639,-0.04654656524835757,-0.05670941422060135,-0.000710433826761718,-0.07309397907217861
2020-10-21,d_UST10Y,0.017964590954648522,-0.451908418516545,0.5880565790294644,1.213640775180361,0.27368543894510894,-0.2659547271665783
2020-10-21,dlog_VIX,0.008085723355834233,0.16665231534461958,-0.0328862346062574,-1.957556384426863,-0.3882877264893906,0.248868301164286
2020-10-22,dlog_SOLVPN,-0.005640356219819556,-0.0063452918414317674,-0.12332350105970696,-0.3209776450781156,0.10726322592210016,0.08982895825867118
2020-10-22,dlog_COPPER,-0.00033128098663492094,-0.0703748560487802,0.06967208647927757,-0.22940615652753993,-0.02421700914318095,0.2432960789532221
2020-10-22,dlog_DXY,-0.00020420589792416064,-0.0569350158575218,0.006802698545325676,-0.07614821059383545,-0.029274004036379503,-0.05386256273365683
2020-10-22,d_UST10Y,0.010822573381833036,-0.13643688306279345,1.1154918279910797,1.0214599337674224,-0.008707094586462294,-0.0758241397301736
2020-10-22,dlog_VIX,0.008306299342604984,0.1569092078093403,-0.04917568633488464,-1.95162101976262,-0.37956623972387094,0.24299625709389386
2020-10-23,dlog_SOLVPN,-0.004449134185047466,0.008409987400784713,-0.13828951819977334,-0.33121051439129845,0.07649323442601359,0.0643641049240801
2020-10-23,dlog_COPPER,-0.002185172178708622,-0.09333840224356385,0.09296360270924847,-0.21348080782209855,0.023670130743122055,0.28292686643565756
2020-10-23,dlog_DXY,0.00014472717420727408,-0.052612895576117806,0.0024188488633860765,-0.0791456253678591,-0.03828715804863029,-0.0613217342785446
2020-10-23,d_UST10Y,0.0014888393338911062,-0.25205080576555505,1.2327569722419127,1.1016388407458082,0.23238894704011412,0.12370387575049616
2020-10-23,dlog_VIX,0.043335018472336825,0.5907985392430486,-0.48926191340878006,-2.2525257164519434,-1.2843794133207393,-0.5058156092915936
2020-10-26,dlog_SOLVPN,-0.004345435370825373,0.004737229900531096,-0.11561932444650648,-0.32738781344915346,0.08154940255278602,0.0163809898407217
2020-10-26,dlog_COPPER,-0.001786042932542282,-0.107474580592609,0.1802195410829255,-0.1987675079950632,0.04313095667510286,0.09824332211935727
2020-10-26,dlog_DXY,7.25906351147513e-05,-0.05005799640025088,-0.01335133452960011,-0.08180483047083623,-0.04180440626859675,-0.027942993326130816
2020-10-26,d_UST10Y,0.0018174913416283953,-0.26369085329594794,1.3046054764769515,1.113754103095139,0.24841342927538956,-0.02836871281219447
2020-10-26,dlog_VIX,0.04313649820687877,0.5978296398335706,-0.5326615695730754,-2.259843867691128,-1.294058905282698,-0.41395707826296146
2020-10-27,dlog_SOLVPN,-0.006298896831320544,0.05959479494127373,-0.1575818882181769,-0.3050042761823671,0.17268704756569045,0.03752447217182486
2020-10-27,dlog_COPPER,-0.002982969699187712,-0.07386220109185673,0.15450819904157978,-0.18505264572179833,0.09897290133129455,0.11119837675134224
2020-10-27,dlog_DXY,0.0005512188089816447,-0.06349894556112115,-0.003069859478786163,-0.08728914218281024,-0.06413453434391511,-0.0331234724612337
