Date,Var_dlog_SOLVPN,Var_dlog_COPPER,Var_dlog_DXY,Var_d_UST10Y,Var_dlog_VIX
2020-10-13,0.00014967879200152395,0.0001996553487821743,1.310588819867123e-05,0.0017700299138762668,0.008481816083258547
2020-10-14,0.00014978429863423136,0.00019757325701963267,1.3595748265302261e-05,0.0017383406994555671,0.008318301005853622
2020-10-15,0.00014956186051749655,0.0001969228349086487,1.3960142239637727e-05,0.0017040248192496527,0.008152104410397197
2020-10-16,0.0001485587586128728,0.0001934080126417344,1.3998808471034908e-05,0.0016945368792108647,0.008034277891923989
2020-10-19,0.00014562513874344675,0.00019971452900036758,1.3871318456887168e-05,0.001663589823936366,0.007899546692407262
2020-10-20,0.00014280114815592767,0.000198899221801008,1.4136502800459459e-05,0.0016369532815428529,0.00788095941235629
2020-10-21,0.00014771277533348409,0.0002055818554838519,1.4328249990353678e-05,0.0016048219744806884,0.007752464738343766
2020-10-22,0.00014624884890203536,0.00020160952571610457,1.470915929688586e-05,0.0016379658415085043,0.007597477672262147
2020-10-23,0.00014383253204756439,0.0001988093352878393,1.4458620309641341e-05,0.0016364351667592382,0.00788536411597636
2020-10-26,0.0001431672771511744,0.00022759330695098048,1.5239560542157937e-05,0.0016259186579564088,0.007735761377637588
2020-10-27,0.00014591534085673508,0.00022514811515872272,1.527163656257076e-05,0.0015946415860478855,0.007855884415672266
2020-10-28,0.00014300555911689043,0.0002277723634414037,1.7349781055783516e-05,0.0016376463205710432,0.007698790920353604
2020-10-29,0.00014436527477904425,0.00022327050104725723,1.719070569010206e-05,0.0016192452307697686,0.007577556305287063
2020-10-30,0.0001444817643778448,0.00022058733927529192,1.684725490696421e-05,0.0016401341741584796,0.007426257292518678
2020-11-02,0.00015725071068982782,0.00021730384977514483,1.713807025622096e-05,0.0016441761631198195,0.007749728546054484
2020-11-03,0.00016478501994501854,0.0002131431546413573,1.6812250943739256e-05,0.0019552758807233742,0.008351800053199377
2020-11-04,0.00018243654840713753,0.00021438477137417512,1.719954368217646e-05,0.001919340236595251,0.010915365381361482
2020-11-05,0.00017879234751727864,0.00021294201676015675,1.6855862639462853e-05,0.0020617358094005603,0.01085598718082027
2020-11-06,0.00020294540334412107,0.00020886228418312948,1.776237994654522e-05,0.002232634283935791,0.010846973848259214
2020-11-09,0.00020116080360044945,0.00020469566072262095,1.810182098247507e-05,0.0021881264879738513,0.010686167885897248
2020-11-10,0.00022885323135931097,0.0002012792341245555,1.7776660550336465e-05,0.0021469898473347746,0.010599367523732358
2020-11-11,0.00022473009806382821,0.00019726865259079952,1.7564190921345827e-05,0.0022408780097937083,0.010749939234930386
2020-11-12,0.0002209796362646539,0.00019425604657598986,1.7218181600491294e-05,0.0021964980791173145,0.010867702188981938
2020-11-13,0.00021718682283404636,0.0001932092666833617,1.687641284055387e-05,0.002152604238412473,0.010652715957406519
2020-11-16,0.00021290762556213258,0.00019136956295897324,1.6632861677750975e-05,0.002262443300490219,0.01045934576454043
2020-11-17,0.0002099746810716868,0.00018756798136928973,1.6300355150640884e-05,0.0022205743666388546,0.010291727798895523
2020-11-18,0.00020595823333431198,0.00018390022606787882,1.5978073282888355e-05,0.0021912539280531753,0.010103821421671993
2020-11-19,0.0002036032759664297,0.0001938539692552144,1.5825205707487602e-05,0.002158966595304012,0.009918880617755753
2020-11-20,0.00019956781043909671,0.000194543753642667,1.5638656997078606e-05,0.002122752567770383,0.009728879012031245
2020-11-23,0.00019689221773033091,0.00019338625509801488,1.5554747314854104e-05,0.0021050561657222394,0.009583880992659161
2020-11-24,0.00019508347483974579,0.00018959827407330295,1.54330184383621e-05,0.0020804598043449828,0.00939220847470674
2020-11-25,0.00019118195663334528,0.00018617408219438975,1.5152808563403877e-05,0.0020451009183989513,0.009205496029963853
2020-11-26,0.00018982364275470294,0.00018773798416128558,1.4856153434695235e-05,0.0020199607677851878,0.009023000853732385
2020-11-27,0.00018695688579495773,0.00018401424869657923,1.4686741137401848e-05,0.001981379079634311,0.008843765442458839
2020-11-30,0.00018810982644482712,0.0001827948299061351,1.5042076680772044e-05,0.0020472059846952996,0.008675449088423659
2020-12-01,0.00018503868641679366,0.00017970890144252235,1.4939979862017995e-05,0.0020179711780286946,0.008537706974690387
2020-12-02,0.00018144644880141344,0.00017624339827189046,1.5093874049153503e-05,0.002009788050641236,0.008368467327782259
2020-12-03,0.00017974056011790937,0.0001730456344990995,1.4811709401236936e-05,0.002066019513051325,0.008213317158614087
2020-12-04,0.00017625625501618527,0.00017032334342535654,1.4585473709940015e-05,0.002062128206035565,0.008077789708148606
2020-12-07,0.00017355924255130242,0.00016877912464070886,1.4505000949239703e-05,0.0020260699154126325,0.007930031550939794
2020-12-08,0.00017854377524659568,0.00016541346530595216,1.4331330774709313e-05,0.0019903894765946313,0.007898597974524744
2020-12-09,0.00017560052712791766,0.0001674472727583134,1.4354906126424302e-05,0.0020075129492388272,0.007746674574900509
2020-12-10,0.00017219422217174533,0.00017081643605436377,1.4264536232874296e-05,0.0019803022085712442,0.007638643550352509
2020-12-11,0.00016875168983377636,0.0001680075887430697,1.4072878091287355e-05,0.0019459263071170496,0.007535932320253519
2020-12-14,0.00016555940786743486,0.00016465779732611374,1.4029114057110989e-05,0.0019162140364454331,0.007528660616817997
2020-12-15,0.0001623143431174836,0.00016136783476038952,1.3757251837457003e-05,0.001878184977387652,0.007381162673338954
2020-12-16,0.0001706425172301676,0.00015954789913069403,1.417985338349366e-05,0.0018437646806824944,0.007242421706531614
2020-12-17,0.00016772256540572485,0.0001564848124582307,1.4228683553595201e-05,0.0018192757590486414,0.007099345271470816
2020-12-18,0.00016442953943920257,0.00015945836866851313,1.3959847670873305e-05,0.0017928548944853118,0.007494575814531764
2020-12-21,0.00016222412443098858,0.00016565227057778277,1.4501620328809916e-05,0.0017571543150678257,0.007387895027993565
2020-12-22,0.0001593650927086783,0.00016350262967901183,1.4214948462451996e-05,0.0017444984683599074,0.007286227087955604
2020-12-23,0.00015646611153202392,0.00016027535016476768,1.393106338962809e-05,0.0017300890413286315,0.007262355265857074
2020-12-24,0.00015372743940067157,0.00015720984038323954,1.3778129519731297e-05,0.0016977861550538833,0.0071192111001212284
2020-12-28,0.00015066204931269263,0.0001552492782413669,1.3703561369378467e-05,0.001670871055187294,0.007065213707835581
2020-12-29,0.00014830733713077433,0.0001524554471970664,1.3696560179713934e-05,0.0016379340744287895,0.006926475748990845
2020-12-30,0.00014736018270147813,0.0001525755191899232,1.3726760126577813e-05,0.0016058183916168262,0.006787959400951701
2020-12-31,0.0001521934627401503,0.00015060728756714255,1.3462312302401295e-05,0.0015763066932919076,0.00722468958861012
2021-01-04,0.00014989665631751697,0.00016094841279751078,1.3998581057569184e-05,0.001559482101865622,0.0071318584607258555
2021-01-05,0.0001532867005082202,0.0001577417267693553,1.3824551877313307e-05,0.0016338042406686293,0.006989731733386556
