Date,Total_Spillover,Stable,MaxAbsRoot,dlog_SOLVPN_TO,dlog_SOLVPN_FROM,dlog_SOLVPN_NET,dlog_COPPER_TO,dlog_COPPER_FROM,dlog_COPPER_NET,dlog_DXY_TO,dlog_DXY_FROM,dlog_DXY_NET,d_UST10Y_TO,d_UST10Y_FROM,d_UST10Y_NET,dlog_VIX_TO,dlog_VIX_FROM,dlog_VIX_NET
2021-05-18,31.502895941904132,True,0.29960549246976736,30.94795678158967,31.9993454164186,-1.0513886348289283,33.41383711253323,31.857531061362398,1.5563060511708322,41.68442845387552,39.29418430432676,2.3902441495487565,16.54316106374445,16.968834018891286,-0.4256729551468368,34.925096297777834,37.39458490852166,-2.4694886107438236
2021-05-19,31.5015547065474,True,0.3030695162194509,31.206765912756616,32.376379025899816,-1.1696131131431997,33.705985885844406,31.142964215817194,2.5630216700272115,41.42432770619392,38.43596216675776,2.9883655394361597,16.580235860194914,18.22950268863973,-1.6492668284448158,34.59045816774704,37.32296543562239,-2.7325072678753557
2021-05-20,31.196093299355617,True,0.2907410615264256,31.109381881636512,32.41214705371059,-1.3027651720740785,35.125382217355025,30.522370238989748,4.603011978365277,42.24125732936381,38.13900328071212,4.1022540486516945,15.029613311830936,17.960424794954676,-2.9308114831237404,32.47483175659177,36.94652112841096,-4.471689371819188
2021-05-21,31.584534730573647,True,0.2985695336408352,31.17984394812482,32.70467389387355,-1.5248299457487278,36.061683788398625,30.738245246428864,5.323438541969761,42.56123046776992,38.3798143535926,4.181416114177317,15.259754201419684,18.487013088062053,-3.2272588866423693,32.860161247155126,37.612927070911105,-4.752765823755979
2021-05-24,31.279686670108283,True,0.29403955644355506,31.473160080084828,32.72861478158897,-1.2554547015041457,35.0701175460868,29.931285824467114,5.138831721619685,42.280670871310654,38.30202274607698,3.9786481252336756,15.62895876809387,18.078939734546495,-2.4499809664526246,31.94552608496527,37.35757026386184,-5.4120441788965685
2021-05-25,30.297012818395512,True,0.2970626535994382,31.167437016819434,32.28338501983783,-1.1159480030183957,34.79566699205817,29.08099169769508,5.714675294363094,39.6926299748587,36.15663267386891,3.5359973009897843,15.001921541478469,17.782743292251947,-2.7808217507734785,30.827408566762713,36.18131140832372,-5.353902841561009
2021-05-26,30.061366960144262,True,0.30333198163625674,30.999682354644264,32.254945439724814,-1.25526308508055,34.47717366065221,28.260330120507724,6.216843540144488,38.73410537576791,35.39757656805664,3.336528807711268,14.791146318870984,18.09975531378819,-3.308608994917206,31.304727090785946,36.2942273586439,-4.989500267857956
2021-05-27,29.948793716621417,True,0.29637215795158084,31.730490697580315,32.22894318539099,-0.49845248781067397,32.5490702863386,28.292046872970754,4.257023413367843,38.1361871818316,35.21236674132835,2.923820440503249,15.621981300209399,17.880601382311013,-2.258620082101615,31.706239117147227,36.13001040110602,-4.423771283958793
2021-05-28,29.40333117727131,True,0.29366189300014733,30.329035237051873,31.129032646335318,-0.7999974092834456,32.28864079053223,27.867594822304596,4.421045968227631,37.56357237432083,34.887370784616664,2.6762015897041636,15.539800837971285,17.723111722749994,-2.1833108847787095,31.295606646480334,35.40954591034996,-4.113939263869629
2021-06-01,29.18516868289054,True,0.298244594207736,29.492959872875,30.63101151758326,-1.1380516447082591,32.09943603847404,27.50434060270691,4.595095435767128,37.3253443709497,34.66871113570078,2.6566332352489184,15.679408712794352,17.836114813739336,-2.1567061009449837,31.328694419359604,35.2856653447224,-3.9569709253628
2021-06-02,30.42945702454632,True,0.28837746701330463,28.440752921267087,30.54942180278485,-2.1086688815177617,34.482206267073856,29.424243547397854,5.057962719676002,41.6580572163225,36.51470063296771,5.143356583354787,15.601144941716482,18.900884430680918,-3.299739488964436,31.96512377635169,36.7580347089003,-4.792910932548608
2021-06-03,31.422382560359335,True,0.29949107071508957,28.209176322423566,30.891666737672896,-2.6824904152493296,36.86593991626677,29.976253879904636,6.889686036362132,44.22745338526273,37.285723869927565,6.941729515335162,15.88309325390631,21.261173490056674,-5.378080236150364,31.9262499239373,37.697094824234924,-5.770844900297625
2021-06-04,31.04674758973838,True,0.2995501549826898,27.651737312680634,30.24641869732665,-2.594681384646016,35.5126976936879,29.22041380748437,6.292283886203528,44.11453985987123,37.24442879849995,6.870111061371276,16.082704813221195,21.218594300896655,-5.13588948767546,31.872058269230962,37.30388234448429,-5.431824075253331
2021-06-07,30.773610033138272,True,0.2972412401200313,27.729841387719524,30.180571230100995,-2.4507298423814703,35.19156523043265,28.76488632219891,6.42667890823374,43.69383200598931,36.922090248306326,6.771741757682982,15.799405003733003,20.887044194840577,-5.087639191107574,31.45340653781693,37.113458170244606,-5.660051632427674
2021-06-08,30.370730616746137,True,0.29958194397232685,27.622052086041382,29.883234498220002,-2.26118241217862,35.35212347470264,28.88333298763346,6.468790487069178,43.49310893684801,36.711068151546165,6.782040785301845,14.45879033581754,19.620423950933606,-5.161633615116067,30.927578250321154,36.75559349539748,-5.8280152450763225
2021-06-09,30.770282695092693,True,0.30778599684842695,28.523305065417926,30.83129344952389,-2.3079883841059647,34.70566114717276,28.184831423449065,6.520829723723697,42.68480543594574,36.49725841755278,6.187547018392962,15.909625187830112,21.158026577120438,-5.248401389290326,32.02801663909699,37.18000360781733,-5.151986968720344
2021-06-10,29.837829742479567,True,0.3014106261961793,29.414421935542812,30.94493937441799,-1.5305174388751794,32.26115735360343,26.155923123385204,6.105234230218226,41.343709727257924,34.26980259747382,7.073907129784104,15.441471385599147,21.334260201240074,-5.892788815640927,30.728388310394493,36.484223415880756,-5.755835105486263
2021-06-11,29.260571565938783,True,0.3017684076448151,27.08578681847741,29.1327873308319,-2.04700051235449,32.747034406567685,26.05070057487119,6.696333831696496,40.63956957119078,34.18606212618855,6.453507445002231,15.203877049525548,21.167501066154838,-5.963624016629289,30.626589983932494,35.765806731647444,-5.139216747714951
2021-06-14,28.95920441438535,True,0.31943383225347416,28.10793790322572,29.93351295137481,-1.825575048149087,32.457559868774965,24.863206888544077,7.594352980230887,36.81615728667524,31.9078259059993,4.908331380675943,15.708331709464751,21.537432096463395,-5.829100386998643,31.706035303786038,36.554044229545156,-4.8480089257591175
2021-06-15,30.484103395445043,True,0.29884068747328446,33.177557640784805,33.339373596439536,-0.16181595565473117,20.528408378102313,21.228228599705258,-0.6998202216029448,39.545397837119175,34.66003082745818,4.885367009660996,23.13098596993609,26.02606216577802,-2.895076195841927,36.038167151282785,37.166821787844206,-1.1286546365614214
2021-06-16,31.347492985972405,True,0.3063188598452284,31.176296526308136,31.9982484505391,-0.8219519242309659,25.538587972414295,27.23214926215555,-1.693561289741254,39.012749149758264,34.66864712791943,4.344102021838836,24.85070393055778,24.65287129828061,0.19783263227717285,36.15912735082365,38.1855487909674,-2.02642144014375
2021-06-17,29.359933901469226,True,0.26708407331795286,32.0890325896747,31.1520417843008,0.9369908053739024,24.7601674338373,28.060279540706134,-3.300112106868834,39.74592086837813,35.23338215713204,4.512538711246087,16.29866191572423,19.62078049907976,-3.322118583355529,33.905886699731845,32.73318552612741,1.1727011736044375
2021-06-18,28.788333561024803,True,0.2647600536359513,31.480263257826092,30.68937851328688,0.7908847445392126,25.185078187020636,28.21801781376969,-3.032939626749055,39.99132619140293,35.2885351941566,4.702790997246332,15.183050967991507,16.899002046370725,-1.7159510783792182,32.10194920088275,32.84673423754002,-0.7447850366572695
2021-06-21,28.534791798589822,True,0.25622445067568295,30.011425011347214,29.563116254745903,0.4483087566013104,25.058384289138058,28.587591154937208,-3.52920686579915,39.97588004949323,35.61199841670526,4.363881632787965,15.109778535590346,16.505926308743913,-1.396147773153567,32.51849110738024,32.40532685781679,0.11316424956345372
2021-06-22,28.211315845564435,True,0.2567722864936796,29.762707709160242,29.26985864735817,0.49284906180207244,24.38156198125123,28.245954648828707,-3.8643926675774765,39.13122188952666,34.960318552954284,4.170903336572373,15.252462076082928,16.51841011656621,-1.2659480404832806,32.52862557180111,32.06203726211479,0.4665883096863155
