,Factor1,Factor2
dlog_SOLVPN,0.5602026700354173,0.16333722383206378
dlog_COPPER,0.4044339870243122,0.1554149828271312
dlog_DXY,-0.47972419008464784,0.3985390320514865
d_UST10Y,-0.28633331209343676,0.7159023714445272
dlog_VIX,-0.4587854122114596,-0.5270840245304764
