Date,Factor1,Factor2
2020-10-13,-0.9568597943441208,-0.43383879232868755
2020-10-14,-0.4421180880489629,-0.4778133457038865
2020-10-15,-0.5278101467864744,0.5197071430120738
2020-10-16,0.1377430026433361,-0.20610375314684118
2020-10-19,-0.2958560880796601,-0.46009754745783077
2020-10-20,0.8482765832673945,-0.08879470844086398
2020-10-21,0.8460609241082012,0.23196580103275713
2020-10-22,-1.516209228699778,0.5819343098814459
2020-10-23,0.28638712465185046,-0.3929532734338379
2020-10-26,-1.5763912512985847,-1.5073732044649353
2020-10-27,-0.1581197422138408,-0.7953802033073529
2020-10-28,-2.9874863498487496,-1.2408258073226555
2020-10-29,-0.5865752994921241,1.618904150890111
2020-10-30,-1.1114918254233797,0.2150940179568811
2020-11-02,0.7743572170764638,0.17147349328793848
2020-11-03,1.4526562348169003,0.43509881207356194
2020-11-04,3.077682625573971,-0.012582731362778262
2020-11-05,2.2111608201769206,-0.2665044731738436
2020-11-06,1.4928743953341654,1.2828960978267714
2020-11-09,-2.670253939110193,1.0011707118678672
2020-11-10,-1.1503891286329069,0.3141409960434085
2020-11-11,1.0090328606588226,1.1225560234853675
2020-11-12,0.23205741092630372,-1.6859135117037378
2020-11-13,1.396573668234275,0.7937122286100926
2020-11-16,0.31594375714556583,0.24063611082320444
2020-11-17,0.046050371173496606,-1.047185246386073
2020-11-18,-0.2999606954301997,-0.388667733600059
2020-11-19,0.4181190414416572,-0.15821142969814195
2020-11-20,0.10850578605271452,-0.17030906938741497
2020-11-23,-0.4840555578295957,0.6133795721193095
2020-11-24,0.34635087814032584,0.30519058543718175
2020-11-25,0.8040762339950891,-0.08015218801463128
2020-11-26,0.3303317902241298,-0.2269967437068683
2020-11-27,1.306118381383863,0.0409288896847706
2020-11-30,-0.1732787219312938,0.06335919435089692
2020-12-01,1.138259204435787,0.6655287300960633
2020-12-02,-0.5274923925714449,-0.4151443657086004
2020-12-03,0.6793316676790746,-0.7510275185344426
2020-12-04,0.7104146446664324,1.085166374977739
2020-12-07,-0.37904814854297203,-0.743477231603532
2020-12-08,-0.24428609343157764,0.1746774071516477
2020-12-09,-1.4636872321782683,-0.4663333505229098
2020-12-10,0.883908028292995,-0.5719903445545991
2020-12-11,-0.6846181038258748,-0.3789450934240521
2020-12-14,-0.13385343887238463,-0.6770203577140049
2020-12-15,1.0030732465469798,0.39717154632150553
2020-12-16,0.3171536870106002,0.19910573787085897
2020-12-17,2.10598095661529,0.09552291866469576
2020-12-18,-0.23022405176777802,0.41046076839021733
2020-12-21,-1.4489429277793524,-1.3872496733241397
2020-12-22,-0.5001451278504688,0.5494715983744004
2020-12-23,0.37326886649532987,0.32642402795199554
2020-12-24,0.819811377178516,0.24081160021877848
2020-12-28,0.28994645899407284,0.0014278370562794429
2020-12-29,-0.21766411113801476,-0.690446298323846
2020-12-30,0.7134441368590023,-0.3129374532691988
2020-12-31,0.12661225625271058,0.18029701214006597
2021-01-04,-1.6632493968380098,-1.4210576186080015
2021-01-05,1.5252020288134878,0.6702816696992789
2021-01-06,-1.2663683939956931,0.8745915779362857
2021-01-07,0.9691586631083622,1.793603807322061
2021-01-08,-0.026171784910426595,0.9964524777659317
2021-01-11,-2.3321352600479606,-0.5287133494034632
2021-01-12,0.8976544048381633,-0.29550959530120696
2021-01-13,0.5582803457377662,0.2594040724049539
2021-01-14,0.21987791360749956,0.13916965252824826
2021-01-15,-0.7066435676508787,-0.3499090194417325
2021-01-19,1.5238529663915346,0.3534010786502323
2021-01-20,0.9667486130376592,0.42061142661354195
2021-01-21,0.465122443332384,0.11952700990510118
2021-01-22,-0.3153294440170495,-0.47419693464739404
2021-01-25,0.09060037882158038,-0.7831410486531809
2021-01-26,0.4173314341540748,-0.19030103737468052
2021-01-27,-4.599308523677525,-3.4961688538723656
2021-01-28,1.2988750553586486,1.6485911299597251
2021-01-29,-0.9038462008220048,-0.34962350793232655
2021-02-01,1.2774059743259951,1.432290739905244
2021-02-02,0.8792503653422771,1.560501843279146
2021-02-03,0.2906867705345612,1.1523852323894157
2021-02-04,-0.5071641009387824,0.5200672846060082
2021-02-05,1.3180516084515663,0.38783575073051285
2021-02-08,0.410322385499359,-0.04807544038620947
2021-02-09,1.004364790591676,-0.675125538505638
2021-02-10,0.5205323684355562,-0.5029046245884702
2021-02-11,-0.5021130741916162,0.5910668093257796
2021-02-12,0.0783871595399937,0.9733859533116692
2021-02-16,-1.2075642582963317,0.6270645471806191
2021-02-17,-0.3571412917664108,0.05364682913426161
2021-02-18,0.6122371115676928,-0.31845006454306213
2021-02-19,1.2673931666061375,0.7686656524217865
2021-02-22,-0.4008408437918534,-0.5482850685576904
2021-02-23,-0.20400082260129923,-0.12044818422109753
2021-02-24,0.7956699424893583,1.0434155458163399
2021-02-25,-3.0792403656377045,-0.49995257333827353
2021-02-26,-1.3958404710186085,-0.9777540655587535
2021-03-01,0.8618394781597987,1.5992799165579121
2021-03-02,-0.05525079948803389,-0.8574108072081049
2021-03-03,-3.0076710812737586,-0.1556382110485948
2021-03-04,-3.2570167621261623,0.4510172189618358
2021-03-05,1.4711959354280293,1.9148811411053972
2021-03-08,-1.4211384371547506,0.17821380284216362
2021-03-09,1.7999358592159775,-0.7299642156211577
2021-03-10,0.7770701811991523,0.25186184767634945
2021-03-11,2.2646785110564247,0.46719465635774426
2021-03-12,-0.11011087751797523,1.741834381339051
2021-03-15,0.5303775112391422,0.273823056576545
2021-03-16,-0.046865133172239795,0.18946330244963971
2021-03-17,0.6620372356776151,0.06335744655474872
2021-03-18,-2.0502220273872833,0.11960877720591069
2021-03-19,0.08191923761962148,0.5232221237651291
2021-03-22,1.6793916937528903,0.2970707667661025
2021-03-23,-0.9987433332725523,-0.8963280216620526
2021-03-24,-1.3726773379317174,-0.5390367836877883
2021-03-25,-0.5234306243524253,0.7426197321835492
2021-03-26,1.9579748570151707,1.3003153533908394
2021-03-29,-1.0828497478524783,-0.06701652478378002
2021-03-30,-0.8350288257459386,0.35698204204059364
2021-03-31,0.35155615944799423,0.45996497897021854
2021-04-01,2.07194062571942,-0.16447063615455434
2021-04-05,1.3756554365631009,0.2531013395367135
2021-04-06,0.27905432667373425,-0.9961713167362056
2021-04-07,-0.5910647619725605,0.47042804613137956
2021-04-08,0.9218594264923214,-0.9093149313379957
2021-04-09,-0.4992568277319045,0.45291103938946037
2021-04-12,-0.04166149448351226,-0.06311204615833714
2021-04-13,1.095237483865089,-0.6708165146199061
2021-04-14,0.16246759317088458,-0.08911725034417683
2021-04-15,1.9078080657767864,-0.16757954787847065
2021-04-16,-0.22637191727090397,0.07711369642401623
2021-04-19,0.6895748988183114,-0.5169246168907338
2021-04-20,-0.2296662491693599,-0.8599032388113403
2021-04-21,0.9606326549174407,0.38601171906867826
2021-04-22,-0.9069245290086222,-0.6216620592904594
2021-04-23,1.7316879795710831,0.4705296998441295
2021-04-26,0.5909888834664013,0.12925782312771258
2021-04-27,-0.24294717999530208,0.8265491710125789
2021-04-28,0.32617527525422735,-0.44077019061459577
2021-04-29,-0.41670524054452457,0.12565215887128448
2021-04-30,-0.782037122438416,0.14140355132761523
2021-05-03,0.2473415951564951,-0.6656585909590182
2021-05-04,-1.3261929773017485,-0.3933773454255092
2021-05-05,-0.1745975597162551,-0.24150644232558463
2021-05-06,0.7393131550869829,-0.06772620538132479
2021-05-07,2.727978194009964,0.476578772749222
2021-05-10,-1.5232496348289069,-1.059213131065779
2021-05-11,-0.7641306256537499,-0.6316352633565894
2021-05-12,-3.371275305295981,-0.559591077342938
2021-05-13,1.0267617328050473,0.7647586172206166
2021-05-14,2.3720084323479065,0.8257366832114652
2021-05-17,0.027091058315917287,-0.26463882383513443
2021-05-18,0.4924113025881126,-1.0045123692118063
2021-05-19,-1.784758258474285,0.25418390514237843
2021-05-20,1.463077066756292,-0.41680009523119194
2021-05-21,-0.6503686062566865,0.07470652339912977
2021-05-24,1.356974316906604,0.3566262200069076
2021-05-25,0.46888930647817445,-0.8817927731543046
2021-05-26,0.19267083394525608,1.2626434163161993
2021-05-27,0.8229480480792847,0.6814230338521537
2021-05-28,0.37783673312487936,-0.21224821736897248
