horizon,response,shock,fevd
4,dlog_VIX,d_UST10Y,0.011607400398644148
4,dlog_VIX,dlog_VIX,0.6869775390694727
5,dlog_SOLVPN,dlog_SOLVPN,0.9943329745908691
5,dlog_SOLVPN,dlog_COPPER,4.130479998375012e-05
5,dlog_SOLVPN,dlog_DXY,0.00017810831279525734
5,dlog_SOLVPN,d_UST10Y,0.0027749573241219933
5,dlog_SOLVPN,dlog_VIX,0.00267265497223015
5,dlog_COPPER,dlog_SOLVPN,0.053675852365366206
5,dlog_COPPER,dlog_COPPER,0.937692655221888
5,dlog_COPPER,dlog_DXY,0.001371234597612627
5,dlog_COPPER,d_UST10Y,5.6407217987258185e-05
5,dlog_COPPER,dlog_VIX,0.007203850597145874
5,dlog_DXY,dlog_SOLVPN,0.09784388088311896
5,dlog_DXY,dlog_COPPER,0.07030634510717168
5,dlog_DXY,dlog_DXY,0.8212946218163977
5,dlog_DXY,d_UST10Y,0.0069382700734995995
5,dlog_DXY,dlog_VIX,0.003616882119812086
5,d_UST10Y,dlog_SOLVPN,0.05287671577357039
5,d_UST10Y,dlog_COPPER,0.003068179592934356
5,d_UST10Y,dlog_DXY,0.08675475860358135
5,d_UST10Y,d_UST10Y,0.8568107127619361
5,d_UST10Y,dlog_VIX,0.0004896332679777809
5,dlog_VIX,dlog_SOLVPN,0.28318822387237996
5,dlog_VIX,dlog_COPPER,0.015240152330309956
5,dlog_VIX,dlog_DXY,0.002986683836337424
5,dlog_VIX,d_UST10Y,0.011607404170267616
5,dlog_VIX,dlog_VIX,0.6869775357907054
6,dlog_SOLVPN,dlog_SOLVPN,0.9943329745749626
6,dlog_SOLVPN,dlog_COPPER,4.13048000024407e-05
6,dlog_SOLVPN,dlog_DXY,0.00017810831368873626
6,dlog_SOLVPN,d_UST10Y,0.0027749573383448302
6,dlog_SOLVPN,dlog_VIX,0.00267265497300169
6,dlog_COPPER,dlog_SOLVPN,0.05367585234794545
6,dlog_COPPER,dlog_COPPER,0.9376926548950261
6,dlog_COPPER,dlog_DXY,0.0013712346769888407
6,dlog_COPPER,d_UST10Y,5.64074854061414e-05
6,dlog_COPPER,dlog_VIX,0.007203850594633658
6,dlog_DXY,dlog_SOLVPN,0.09784388088191091
6,dlog_DXY,dlog_COPPER,0.07030634510432227
6,dlog_DXY,dlog_DXY,0.8212946217837376
6,dlog_DXY,d_UST10Y,0.006938270109558257
6,dlog_DXY,dlog_VIX,0.0036168821204710976
6,d_UST10Y,dlog_SOLVPN,0.05287671576746049
6,d_UST10Y,dlog_COPPER,0.0030681795944968652
6,d_UST10Y,dlog_DXY,0.08675475863874178
6,d_UST10Y,d_UST10Y,0.8568107127311833
6,d_UST10Y,dlog_VIX,0.0004896332681175404
6,dlog_VIX,dlog_SOLVPN,0.2831882238576223
6,dlog_VIX,dlog_COPPER,0.015240152330133004
6,dlog_VIX,dlog_DXY,0.0029866838500793138
6,dlog_VIX,d_UST10Y,0.011607404209684634
6,dlog_VIX,dlog_VIX,0.6869775357524811
7,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748593
7,dlog_SOLVPN,dlog_COPPER,4.130480000419519e-05
7,dlog_SOLVPN,dlog_DXY,0.00017810831373308602
7,dlog_SOLVPN,d_UST10Y,0.00277495733839522
7,dlog_SOLVPN,dlog_VIX,0.002672654973008467
7,dlog_COPPER,dlog_SOLVPN,0.05367585234766276
7,dlog_COPPER,dlog_COPPER,0.9376926548901314
7,dlog_COPPER,dlog_DXY,0.0013712346781170458
7,dlog_COPPER,d_UST10Y,5.64074894869445e-05
7,dlog_COPPER,dlog_VIX,0.007203850594601945
7,dlog_DXY,dlog_SOLVPN,0.09784388088188918
7,dlog_DXY,dlog_COPPER,0.07030634510429329
7,dlog_DXY,dlog_DXY,0.8212946217834477
7,dlog_DXY,d_UST10Y,0.0069382701098983195
7,dlog_DXY,dlog_VIX,0.0036168821204714823
7,d_UST10Y,dlog_SOLVPN,0.052876715767285004
7,d_UST10Y,dlog_COPPER,0.0030681795945152073
7,d_UST10Y,dlog_DXY,0.08675475863914844
7,d_UST10Y,d_UST10Y,0.8568107127309302
7,d_UST10Y,dlog_VIX,0.0004896332681210548
7,dlog_VIX,dlog_SOLVPN,0.28318822385737413
7,dlog_VIX,dlog_COPPER,0.015240152330127885
7,dlog_VIX,dlog_DXY,0.0029866838502571073
7,dlog_VIX,d_UST10Y,0.011607404210366129
7,dlog_VIX,dlog_VIX,0.686977535751875
8,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
8,dlog_SOLVPN,dlog_COPPER,4.1304800004206696e-05
8,dlog_SOLVPN,dlog_DXY,0.00017810831373341813
8,dlog_SOLVPN,d_UST10Y,0.002774957338397356
8,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
8,dlog_COPPER,dlog_SOLVPN,0.05367585234765881
8,dlog_COPPER,dlog_COPPER,0.9376926548900613
8,dlog_COPPER,dlog_DXY,0.001371234678134032
8,dlog_COPPER,d_UST10Y,5.640748954454876e-05
8,dlog_COPPER,dlog_VIX,0.007203850594601426
8,dlog_DXY,dlog_SOLVPN,0.09784388088188839
