Date,Magnitude,Peak,PeakHorizon,HalfLife,AUC,Cluster,ClusterLabel
2020-10-22,1.5067612615427504,2.53024326886556,9,2.0,15.027130019067274,0,Transient Shock
2020-10-28,1.792369097903208,2.604841999952389,6,2.0,14.900864039333085,0,Transient Shock
2020-11-04,1.5630634914163894,2.565466801382909,2,5.0,12.45282159255472,0,Transient Shock
2020-11-09,2.874064226296976,1.757554722270238,0,3.0,16.4016079433836,0,Transient Shock
2021-02-01,1.5764218712410825,1.0454493000150509,1,2.0,7.086117463739859,2,Minor / Local
2021-06-17,1.9528410075981244,1.2906505123306706,0,1.0,7.723276659527108,2,Minor / Local
2022-03-01,1.7542547162877469,1.5166249054487926,1,3.0,10.692238681264962,2,Minor / Local
2022-03-02,2.625763698988451,1.5851618342826654,20,2.0,22.530986188044917,3,Structural Persistent
2022-03-07,1.4272127059856172,0.6437230916929829,0,1.0,5.514090987796811,2,Minor / Local
2022-06-13,1.649687574720431,1.4486003041320672,0,1.0,11.234768101881278,2,Minor / Local
2022-07-28,1.4751367482057527,1.1771931169806722,0,1.0,7.332975543574385,2,Minor / Local
2022-09-13,1.8388763211553063,0.8550569555931528,16,7.0,12.153747725546928,1,Delayed Response
2022-11-10,1.5326092762232646,1.2515543106143865,1,2.0,9.607354048777392,2,Minor / Local
2022-11-17,1.6776962550163554,1.1772698908509125,17,1.0,10.191636694942988,1,Delayed Response
2022-12-15,1.6357617519257166,0.9511700757481404,18,14.0,12.639942701321932,1,Delayed Response
2022-12-20,1.8804423567765929,1.2818061117930313,0,1.0,6.960326568076154,2,Minor / Local
2023-01-03,1.4849943735885918,0.7530919638332109,0,2.0,6.989627591181081,2,Minor / Local
2023-05-11,1.5331712696897026,1.1407737274601284,0,1.0,5.894038986592773,2,Minor / Local
2023-10-02,1.9999223003802344,1.590282111107551,0,2.0,8.827131535017376,2,Minor / Local
2023-10-16,1.4928313749145314,1.123189197807734,1,2.0,6.920108647937667,2,Minor / Local
2024-02-15,1.9970310857880025,1.464115364461052,0,2.0,6.693508244129576,2,Minor / Local
2024-04-10,1.5383171426595226,1.2564449805942326,11,1.0,8.939168077583918,1,Delayed Response
2024-04-30,1.5512542622136265,1.1373080810511866,0,1.0,6.623462336506717,2,Minor / Local
2024-08-05,2.3512050576100947,1.5560155247836978,0,2.0,10.545384591476491,0,Transient Shock
2024-11-06,2.0281088874671847,1.699720634768449,1,2.0,5.9336279872038125,2,Minor / Local
2024-12-18,2.227944252296012,1.9499733265108257,0,2.0,13.577789503932252,0,Transient Shock
2025-01-13,1.631532434468171,1.3148693262986202,0,1.0,10.92391896259866,2,Minor / Local
2025-02-03,1.550285049901912,1.0512528233474816,0,1.0,7.246435877453471,2,Minor / Local
2025-04-03,2.268956414103629,2.145371355892221,1,5.0,17.495660493554222,0,Transient Shock
2025-04-08,1.8161503712587928,2.0368768300383984,16,2.0,30.70565098174797,3,Structural Persistent
2025-07-08,2.6226640301584108,2.6225738093676028,14,2.0,14.309732673466725,3,Structural Persistent
2025-07-09,2.0348951629841747,2.3742555156937786,17,13.0,38.78378623528754,3,Structural Persistent
2025-07-31,2.8407847779301725,2.515935387898531,0,2.0,11.13979329320403,0,Transient Shock
2025-09-02,1.4298339323969202,0.849805241740946,7,8.0,9.749374992318929,1,Delayed Response
2025-11-13,1.586987412708092,1.1460585842136632,2,3.0,8.327620964329032,2,Minor / Local
2025-11-17,1.8905487502374383,1.276343995037872,8,4.0,17.480517395859533,1,Delayed Response
2025-11-24,1.4520681793532206,0.8850446124446978,4,12.0,11.103696083979544,1,Delayed Response
2025-12-29,1.5394538426361677,1.1337787205345036,0,1.0,2.385120145331072,2,Minor / Local
